case_id,sequence,camera,frame,hand_side,existing_qc_label,existing_case_label,stratum,rgb_source,2d_source,reference_3d_source,loco_status,loco_ok,loco_n_inlier_cameras,loco_reproj_to_this_camera_px,audit_image,panel_exists,RGB_MATCH,2D_ON_CORRECT_HAND,HAND_SIDE_CORRECT,MAJOR_2D_FAILURE,MAJOR_OCCLUSION,LOCO_3D_REPROJECTION_PLAUSIBLE,NOT_REVIEWABLE,NOTES,reviewer,review_method
C000,p36-tea-0010,brics-odroid-010_cam0,22,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q1_low|t_early,p36-tea-0010 / brics-odroid-010_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,16,6.135,manual_qc/panels/C000.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C001,p36-tea-0010,brics-odroid-025_cam0,351,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q1_low|t_late,p36-tea-0010 / brics-odroid-025_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,9.958,manual_qc/panels/C001.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C002,p36-tea-0010,brics-odroid-014_cam1,130,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q1_low|t_mid,p36-tea-0010 / brics-odroid-014_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,4.068,manual_qc/panels/C002.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C003,p36-tea-0010,brics-odroid-012_cam0,79,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q2_mid|t_early,p36-tea-0010 / brics-odroid-012_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,12,5.902,manual_qc/panels/C003.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C004,p36-tea-0010,brics-odroid-029_cam1,339,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q2_mid|t_late,p36-tea-0010 / brics-odroid-029_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,15,10.263,manual_qc/panels/C004.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C005,p36-tea-0010,brics-odroid-009_cam1,237,left,PASS_SINGLE_HAND,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_SINGLE_HAND|q2_mid|t_mid,p36-tea-0010 / brics-odroid-009_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,10,5.801,manual_qc/panels/C005.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C006,p36-tea-0010,brics-odroid-001_cam1,39,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q1_low|t_early,p36-tea-0010 / brics-odroid-001_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,5.155,manual_qc/panels/C006.png,1,1,1,unverifiable_single_view,0,1,1,0,full-resolution check: heavily occluded left hand gripping the teapot; overlay correct,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C007,p36-tea-0010,brics-odroid-012_cam1,305,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q1_low|t_late,p36-tea-0010 / brics-odroid-012_cam1 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,14,4.925,manual_qc/panels/C007.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C008,p36-tea-0010,brics-odroid-007_cam0,125,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q1_low|t_mid,p36-tea-0010 / brics-odroid-007_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,9,2.077,manual_qc/panels/C008.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
C009,p36-tea-0010,brics-odroid-023_cam0,68,left,PASS_STRICT,MULTIVIEW_CONFIRMED_GOOD,p36-tea-0010|left|PASS_STRICT|q2_mid|t_early,p36-tea-0010 / brics-odroid-023_cam0 video,dataset-provided 2D observation,OTHER_CAMERA_ONLY_REFERENCE_3D (this camera excluded),ok,1,11,7.675,manual_qc/panels/C009.png,1,1,1,1,0,0,1,0,,claude_opus_5_visual_review,"contact sheet at 640x400 per cell, plus full-resolution panel where ambiguous"
