quantity,value,source
gigahands_qc_total_observations,108240,experiments/manifests/gigahands_demo_qc_v1.csv.gz
gigahands_qc_pass_strict_n,32826,experiments/manifests/gigahands_demo_qc_v1.csv.gz
gigahands_qc_pass_single_hand_n,16005,experiments/manifests/gigahands_demo_qc_v1.csv.gz
gigahands_qc_review_n,10236,experiments/manifests/gigahands_demo_qc_v1.csv.gz
gigahands_qc_exclude_n,49173,experiments/manifests/gigahands_demo_qc_v1.csv.gz
gigahands_qc_zero_pattern_n,26083,experiments/manifests/gigahands_demo_qc_v1.csv.gz
camera_benchmark_views_usable,175,experiments/manifests/gigahands_demo_camera_benchmark_v1.csv.gz
camera_benchmark_views_excluded,25,experiments/manifests/gigahands_demo_camera_benchmark_v1.csv.gz
gigahands_bimanual_clean_frames,16413,experiments/manifests/gigahands_demo_bimanual_clean_v1.csv.gz
gigahands_bimanual_clean_views,154,experiments/manifests/gigahands_demo_bimanual_clean_v1.csv.gz
gigahands_unique_physical_cameras,40,experiments/manifests/gigahands_demo_camera_benchmark_v1.csv.gz
