estimator,N,n_views,median_rel_err_pct,mean_rel_err_pct,p90_rel_err_pct,within_5_pct,within_10_pct,source_run
anycalib_gen,1,175,9.618,10.309,18.301,18.86,52.0,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,2,175,9.618,10.276,18.301,18.86,52.0,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,4,175,9.767,10.301,18.623,20.0,50.86,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,8,175,9.89,10.304,18.681,20.0,51.43,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,16,175,9.966,10.374,18.513,19.43,50.86,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,32,175,9.954,10.344,18.539,20.57,50.29,CAM-EXP-004.1 extended predictions (single run)
anycalib_gen,64,175,9.966,10.317,18.672,20.57,50.29,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,1,175,13.889,31.441,53.465,14.86,36.0,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,2,175,13.449,30.246,53.465,17.14,38.29,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,4,175,11.572,25.717,44.618,20.0,41.71,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,8,175,10.86,23.503,46.995,22.29,43.43,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,16,175,10.92,23.769,35.174,21.71,45.14,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,32,175,10.786,23.607,37.429,22.29,46.86,CAM-EXP-004.1 extended predictions (single run)
geocalib_distorted,64,175,11.283,21.788,38.743,22.29,44.57,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,1,175,7.762,12.668,29.921,34.86,62.86,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,2,175,7.239,11.948,26.377,36.0,64.57,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,4,175,6.775,10.959,19.624,37.71,67.43,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,8,175,6.46,10.589,19.272,40.0,68.0,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,16,175,6.61,10.475,18.763,41.71,69.71,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,32,175,6.703,10.634,20.591,40.0,69.71,CAM-EXP-004.1 extended predictions (single run)
E2_frozen,64,175,6.74,10.045,19.648,40.0,70.29,CAM-EXP-004.1 extended predictions (single run)
