sequence,camera,frame,hand,view_class,median_err_px,err_mirror_x_px,err_mirror_y_px,err_swap_uv_px,err_negate_x_px,resid_after_similarity_px,resid_after_translation_px,err_vs_other_hand_3d_px
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,6.6529,565.1641,109.2475,76.1975,714.8471,8.335,6.0278,537.2081
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,7.925,496.586,229.2379,93.3479,783.4228,7.2722,5.7656,366.6833
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,4.5047,769.3514,240.0823,47.0237,510.6513,4.2422,4.4259,145.0021
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,5.1219,598.6059,30.3489,817.8224,1878.6059,2.8555,3.1505,166.1251
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,3.3473,516.5764,218.0546,907.37,1796.5728,2.4664,1.9706,339.2043
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,2.4835,85.5689,285.4893,540.508,1194.4593,1.3514,1.2287,304.9839
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,5.3642,95.2799,333.2266,119.9391,1253.6596,5.046,3.6,220.6335
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,3.4024,510.5318,43.2509,49.2021,769.4703,4.0022,3.6768,30.5611
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,3.7989,746.622,59.5426,157.2583,533.3834,2.7593,1.9398,261.1479
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,6.9237,679.7991,64.7014,96.4015,600.2061,6.2611,5.7405,157.4976
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,5.7698,374.4357,511.7507,484.7268,905.6688,5.5931,5.5001,113.4565
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,3.1274,366.8404,325.7121,373.4687,913.1615,3.4581,2.8372,177.353
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,5.6049,56.1785,337.9589,657.5359,1336.1037,7.8961,5.146,184.5041
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,7.2818,96.2287,222.1098,599.4008,1342.9978,6.8129,7.1693,277.1128
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,6.9573,769.2435,72.7182,98.1073,510.7572,5.4136,5.6481,249.782
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,2.9102,640.787,465.3471,499.6624,1920.7849,2.28,1.8487,220.3413
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,3.8612,187.2686,201.1597,680.3143,1467.2444,3.2095,3.717,
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,9.6866,681.8414,49.1807,92.3635,598.2671,10.9848,9.2863,270.5756
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,6.4346,422.8898,658.6936,563.0038,857.2653,5.4814,6.0275,325.5033
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,4.8551,145.7043,322.9731,720.2214,1425.6618,3.8672,3.1193,211.4647
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,6.9687,927.6293,578.7021,682.4687,352.3746,4.7192,4.9886,260.1104
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,7.2852,79.2219,149.7587,456.5707,1200.968,5.3919,5.233,118.8191
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,5.4179,314.9046,281.1062,384.5695,965.1219,2.8029,5.1289,141.6785
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,6.3928,422.5376,666.3426,566.8353,857.5797,5.694,6.3834,372.8913
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,8.3792,793.1077,204.2519,1106.2629,2073.0943,6.3672,6.3915,307.2427
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,4.0321,657.1892,410.4076,559.4422,1937.1892,3.2555,3.3423,274.6564
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,6.7164,452.8896,446.3936,421.8485,1732.8653,3.0545,3.5121,332.2884
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,8.6189,740.4599,144.4567,836.0121,2020.4537,4.1252,3.2843,472.6245
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,2.5946,266.2186,462.0356,911.9497,1546.2179,2.7731,3.2092,431.8179
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,8.0217,67.9891,101.8265,287.9978,1212.0922,6.9899,6.5455,136.1398
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,9.8192,125.6998,141.2251,583.7837,1388.5006,3.5384,6.0631,102.7917
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,6.2705,142.777,92.8397,298.4397,1137.2433,4.6971,4.772,511.6548
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,6.5492,703.2623,67.7829,849.6035,1983.2466,5.0768,5.9476,
p52-instrument-0034/034,brics-odroid-025_cam0,6,right,good,8.555,107.088,497.8007,793.5146,1387.086,6.7749,8.0645,543.5145
p41-boxing-0021/021,brics-odroid-029_cam1,72,right,good,6.6349,698.6117,100.1416,824.1697,1978.5954,6.0351,6.2545,195.9947
p52-instrument-0034/034,brics-odroid-016_cam0,84,right,good,4.362,217.9745,151.7559,441.2646,1497.932,1.9078,2.9524,308.2315
p44-dog-0004/004,brics-odroid-006_cam0,160,right,good,5.2359,251.5629,99.3647,623.3009,1531.4148,4.8929,3.1339,122.1941
p52-instrument-0034/034,brics-odroid-014_cam1,54,left,good,5.3614,464.7597,389.5663,997.4199,1744.7384,13.3957,5.1078,356.2823
p36-tea-0010/010,brics-odroid-007_cam1,252,right,good,6.699,709.0692,417.8193,192.4229,570.9315,8.5006,6.7125,
p36-tea-0010/010,brics-odroid-015_cam0,303,right,good,5.0903,407.599,521.4472,475.0453,872.4126,4.6889,4.8842,
p41-boxing-0021/021,brics-odroid-029_cam1,342,right,good,9.0684,694.3479,109.926,799.454,1974.3217,5.5714,7.636,270.9235
p44-dog-0004/004,brics-odroid-016_cam0,16,left,good,4.8891,591.5383,427.6598,508.9877,1871.5378,3.7957,4.8759,195.5385
p36-tea-0010/010,brics-odroid-012_cam1,286,right,good,3.5759,335.0104,501.1434,509.5117,945.2913,4.8398,2.9344,
p44-dog-0004/004,brics-odroid-006_cam0,0,right,good,6.39,251.8211,81.8995,554.2747,1531.4823,5.5581,4.0719,193.5318
p52-instrument-0034/034,brics-odroid-015_cam0,12,left,good,3.4319,380.3728,499.7285,1016.5388,1660.3727,3.439,3.3611,376.4217
p52-instrument-0034/034,brics-odroid-012_cam1,0,left,good,4.562,403.6831,486.9428,1021.6646,1683.6802,4.4286,4.1227,358.7563
p36-tea-0010/010,brics-odroid-015_cam1,153,right,good,4.1855,109.1776,547.3331,701.643,1170.8287,2.6903,2.3811,191.0321
p52-instrument-0034/034,brics-odroid-021_cam0,72,right,good,5.0688,191.4989,298.7282,728.4577,1471.4986,3.2166,2.2087,417.6784
p52-instrument-0034/034,brics-odroid-025_cam0,102,left,good,7.623,992.9439,402.6308,69.6184,287.062,5.8059,5.4471,592.2483
p52-instrument-0034/034,brics-odroid-002_cam0,102,right,good,6.0985,487.671,192.674,66.4686,792.3653,6.9999,4.7819,361.0189
p44-dog-0004/004,brics-odroid-012_cam0,144,right,good,5.9732,70.569,220.6685,486.8081,1209.4757,3.7207,6.3736,154.6742
p41-boxing-0021/021,brics-odroid-029_cam1,270,left,good,9.0016,666.049,398.8821,1140.1907,1946.0426,7.0703,5.7203,168.6506
p41-boxing-0021/021,brics-odroid-007_cam0,54,right,good,2.9383,917.9295,126.3567,324.2144,362.0768,2.5697,2.6841,212.245
p41-plant-0004/004,brics-odroid-011_cam0,96,left,good,4.9655,75.985,57.3475,390.2225,1204.2706,3.5851,4.6601,106.4578
p41-plant-0004/004,brics-odroid-007_cam1,144,left,good,7.4478,501.7937,158.1583,173.0454,778.2995,4.3077,5.2859,115.8118
p52-instrument-0034/034,brics-odroid-007_cam1,114,left,good,2.6733,271.7147,540.1668,577.713,1008.2942,2.4773,2.4153,246.9009
p36-tea-0010/010,brics-odroid-019_cam1,303,right,good,8.6552,74.9158,550.1033,785.281,1247.4574,6.9647,7.515,
p41-boxing-0021/021,brics-odroid-030_cam0,270,left,good,5.0328,212.3169,46.8616,524.7408,1492.2789,4.4502,5.0477,226.8173
p52-instrument-0034/034,brics-odroid-009_cam1,0,left,good,4.24,86.3021,251.6461,504.9649,1193.7017,1.9175,2.6671,244.0696
p52-instrument-0034/034,brics-odroid-006_cam0,102,right,good,4.7323,310.0299,127.4473,699.7947,1590.0244,7.3128,3.9765,242.8242
p36-tea-0010/010,brics-odroid-026_cam0,171,right,good,5.1899,795.8307,114.4114,240.1638,484.1739,3.1712,3.0218,
p41-plant-0004/004,brics-odroid-012_cam0,112,left,good,6.9921,62.602,252.103,596.8242,1328.8287,5.463,6.04,86.7144
p41-plant-0004/004,brics-odroid-021_cam0,152,right,good,4.8305,321.816,296.7218,819.349,1601.8122,3.1769,3.6312,74.1368
p44-dog-0004/004,brics-odroid-012_cam1,160,right,good,5.5976,258.7692,401.8421,501.5552,1021.2825,4.3023,3.526,165.2544
p41-plant-0004/004,brics-odroid-007_cam0,104,right,good,4.844,774.2146,103.0783,244.2677,505.7996,3.0633,4.3379,101.8179
p52-instrument-0034/034,brics-odroid-024_cam1,48,right,good,3.1196,419.8855,130.9824,213.1847,860.2274,3.2125,3.4976,339.8031
p44-dog-0004/004,brics-odroid-020_cam0,112,left,good,8.9177,337.152,97.6363,696.6681,1616.9388,9.3335,8.8735,282.86
p52-instrument-0034/034,brics-odroid-024_cam0,84,left,good,6.2832,420.5039,663.9476,565.6855,859.6002,6.3108,6.1239,367.1502
p41-plant-0004/004,brics-odroid-022_cam1,40,right,good,6.351,315.4355,365.4713,456.1721,964.6457,5.6821,5.1582,108.3022
p41-boxing-0021/021,brics-odroid-020_cam1,0,left,good,4.849,645.0264,34.462,846.7791,1925.0222,4.2581,3.5853,144.2826
p41-plant-0004/004,brics-odroid-009_cam1,48,right,good,5.219,693.5406,154.1265,59.8706,586.4594,2.311,3.2106,111.6336
p44-dog-0004/004,brics-odroid-024_cam0,96,right,good,6.1966,124.7129,89.2909,241.4143,1155.5715,7.8843,7.115,233.5752
p36-tea-0010/010,brics-odroid-002_cam0,0,left,good,9.6594,1037.6882,591.3265,775.9492,243.0924,11.1851,5.072,561.9913
p44-dog-0004/004,brics-odroid-014_cam1,256,left,good,9.5687,98.6064,117.3193,538.1699,1378.4274,5.7575,6.1106,149.1176
p52-instrument-0034/034,brics-odroid-020_cam1,60,left,good,9.0406,785.8389,198.9841,1101.3705,2065.8236,8.7771,7.7914,299.0062
p52-instrument-0034/034,brics-odroid-011_cam0,48,right,good,2.098,157.8195,95.5437,364.5997,1122.1817,1.669,1.7079,270.9377
p52-instrument-0034/034,brics-odroid-015_cam0,42,right,good,4.9941,342.0367,568.0485,552.3923,937.971,3.2544,3.7397,387.727
p44-dog-0004/004,brics-odroid-020_cam1,32,left,good,6.4487,554.2885,109.9501,698.4795,1834.2391,8.4467,7.9997,225.1379
p36-tea-0010/010,brics-odroid-002_cam0,68,right,good,7.8546,564.1242,52.2763,63.7468,715.9035,6.8489,7.2023,250.9294
p44-dog-0004/004,brics-odroid-007_cam1,80,right,good,5.3156,434.9665,94.7117,96.2564,845.0349,3.8949,4.6876,158.9371
p44-dog-0004/004,brics-odroid-011_cam0,304,right,good,3.1593,263.7147,88.4912,159.5703,1016.3015,2.144,2.6999,81.8286
p44-dog-0004/004,brics-odroid-016_cam0,176,right,good,7.9936,287.3237,241.6382,425.0205,1567.1516,9.593,7.5764,126.2069
p52-instrument-0034/034,brics-odroid-022_cam1,12,right,good,4.4684,268.4978,445.196,530.2251,1011.5106,2.6085,2.4629,363.5013
p36-tea-0010/010,brics-odroid-009_cam1,0,right,good,4.1821,1142.8,58.4897,391.2126,137.2257,3.3318,2.9485,353.9016
p41-plant-0004/004,brics-odroid-015_cam1,56,right,good,4.9377,46.1291,422.4202,733.0604,1326.1221,3.8848,4.5549,120.1687
p41-boxing-0021/021,brics-odroid-030_cam1,252,right,good,10.618,480.9745,502.5052,1094.0429,1760.8723,5.5494,10.0296,519.4891
p36-tea-0010/010,brics-odroid-022_cam1,252,right,good,7.6083,360.1443,665.3095,614.3831,919.9482,7.0507,4.6608,
p41-boxing-0021/021,brics-odroid-006_cam0,252,right,good,9.2309,440.0633,386.3312,175.9861,839.9702,6.5531,6.8139,552.8472
p41-plant-0004/004,brics-odroid-010_cam0,80,right,good,8.7328,128.1838,589.2889,673.9908,1151.9725,6.4541,5.6488,193.9918
p41-plant-0004/004,brics-odroid-017_cam1,24,right,good,6.1013,182.357,58.3137,559.5466,1462.3564,4.7334,5.2495,62.4336
p36-tea-0010/010,brics-odroid-021_cam0,34,right,good,3.9855,95.5449,255.6533,545.7918,1239.2184,3.5882,3.5485,278.2657
p41-plant-0004/004,brics-odroid-020_cam0,112,left,good,4.1419,113.0569,424.8498,659.0363,1233.9701,4.9952,3.4209,57.6258
p36-tea-0010/010,brics-odroid-024_cam0,322,left,good,6.7036,259.6516,252.9692,394.2046,1020.3696,6.8088,7.2919,
p41-plant-0004/004,brics-odroid-016_cam0,16,left,good,4.8933,411.0791,278.0485,491.8116,1691.0104,4.9297,4.6548,82.8874
p44-dog-0004/004,brics-odroid-006_cam0,256,right,good,6.7411,100.5918,222.8182,270.4551,1360.2627,6.0836,6.3798,185.3273
p52-instrument-0034/034,brics-odroid-001_cam1,6,right,good,8.4886,739.2709,156.7663,833.0202,2019.2671,4.9229,4.5656,480.23
p36-tea-0010/010,brics-odroid-023_cam0,305,left,good,9.1871,334.7361,138.9992,80.6944,945.2714,6.3971,6.1361,
p44-dog-0004/004,brics-odroid-020_cam0,240,left,good,8.0281,325.8554,104.0966,694.3921,1605.8554,6.7444,7.6551,210.7681
p52-instrument-0034/034,brics-odroid-024_cam0,12,right,good,7.8182,179.2395,116.3648,357.9458,1100.8188,6.2518,5.3233,317.2425
p41-boxing-0021/021,brics-odroid-030_cam1,90,right,good,8.4026,212.449,181.9785,679.2496,1492.4219,7.5736,7.6393,341.4212
p41-plant-0004/004,brics-odroid-012_cam0,32,right,good,4.5251,99.145,234.9598,484.6057,1180.891,4.4613,3.4058,82.8117
p52-instrument-0034/034,brics-odroid-016_cam0,36,left,good,4.6208,817.9513,372.4778,700.7017,2097.9411,2.3362,3.4199,336.6331
p52-instrument-0034/034,brics-odroid-007_cam1,90,left,good,2.1665,272.584,541.1867,576.9596,1007.4503,2.5384,2.0932,243.0652
p44-dog-0004/004,brics-odroid-025_cam0,256,left,good,9.4194,219.4571,83.0549,179.1081,1060.5545,5.336,5.926,206.7688
p36-tea-0010/010,brics-odroid-020_cam0,286,right,good,9.1328,367.4651,553.5872,529.5258,912.6419,8.7385,8.4413,
p36-tea-0010/010,brics-odroid-017_cam1,271,left,good,9.5448,196.3142,249.5528,367.7603,1476.3085,9.1989,6.6372,
p44-dog-0004/004,brics-odroid-007_cam1,176,right,good,7.3877,446.1536,95.9208,133.3601,833.9425,3.3274,2.9604,97.1107
p41-plant-0004/004,brics-odroid-006_cam0,80,right,good,7.4286,111.2967,132.2243,515.5837,1324.5374,6.9858,6.5023,87.5947
p36-tea-0010/010,brics-odroid-025_cam1,85,left,good,7.8949,576.2625,216.052,952.0122,1856.2621,6.0083,6.907,305.9675
p41-plant-0004/004,brics-odroid-017_cam1,16,right,good,4.4305,174.4211,64.7289,550.4092,1454.4025,3.8933,4.291,69.8119
p44-dog-0004/004,brics-odroid-024_cam0,272,right,good,4.8532,268.3054,207.2658,97.8479,1011.7576,4.4261,4.611,193.3425
p44-dog-0004/004,brics-odroid-017_cam0,160,right,good,8.3965,227.87,57.4977,523.8006,1507.8316,4.414,6.3743,162.9902
p41-boxing-0021/021,brics-odroid-024_cam1,234,left,good,6.2576,588.1454,472.7286,291.5475,691.9139,6.4925,7.7299,296.3647
p52-instrument-0034/034,brics-odroid-009_cam1,72,right,good,3.0243,543.5428,209.3703,171.0355,736.4605,2.6546,2.4196,251.275
p52-instrument-0034/034,brics-odroid-011_cam0,6,right,good,3.1899,178.0153,121.0599,360.2865,1101.9857,1.3826,1.6942,278.4348
p41-plant-0004/004,brics-odroid-023_cam0,64,right,good,8.4308,113.764,383.9071,658.465,1261.9806,6.7024,7.3714,130.5778
p41-plant-0004/004,brics-odroid-012_cam1,80,left,good,5.6299,117.0195,452.6639,616.4126,1163.0111,3.3309,2.7683,115.6071
p52-instrument-0034/034,brics-odroid-017_cam1,0,right,good,2.4669,98.2523,134.5802,551.5884,1378.2523,2.6497,1.5562,329.644
p41-boxing-0021/021,brics-odroid-020_cam1,18,right,good,3.4944,382.4707,16.9812,673.7541,1662.4693,3.0986,2.5652,99.3081
p41-plant-0004/004,brics-odroid-017_cam1,0,left,good,7.5638,233.2882,52.922,532.0186,1513.2718,7.0215,6.9879,56.9015
p41-boxing-0021/021,brics-odroid-010_cam0,234,left,good,5.8974,94.7438,601.475,749.9507,1185.2724,4.8458,5.1214,371.2459
p52-instrument-0034/034,brics-odroid-010_cam1,0,right,good,8.7846,205.5882,290.0482,726.1801,1481.5256,10.6806,8.44,163.0804
p52-instrument-0034/034,brics-odroid-012_cam0,42,right,good,4.0208,109.6764,347.7341,587.1815,1170.3236,2.3914,2.1144,317.8304
p41-plant-0004/004,brics-odroid-020_cam1,40,left,good,7.3351,361.6634,111.213,728.0459,1640.7592,14.3605,8.1571,89.9816
p41-boxing-0021/021,brics-odroid-030_cam0,216,left,good,5.6763,226.6696,83.1658,503.1118,1506.6182,5.7446,6.3444,227.6739
p52-instrument-0034/034,brics-odroid-024_cam1,36,left,good,8.7243,109.9665,711.875,811.1064,1170.036,3.5104,5.2097,378.1447
p52-instrument-0034/034,brics-odroid-030_cam0,54,left,good,9.0627,752.0368,523.5123,1281.4325,2031.9915,9.6393,7.2852,543.0434
p52-instrument-0034/034,brics-odroid-002_cam0,6,right,good,6.8328,559.6297,161.4279,142.3634,720.3884,9.275,7.087,327.2907
p44-dog-0004/004,brics-odroid-007_cam1,224,right,good,7.0763,500.3849,89.7937,91.7309,779.6718,4.1457,4.8208,115.7205
p52-instrument-0034/034,brics-odroid-020_cam1,114,left,good,8.9108,798.7484,204.4295,1106.0028,2078.7315,11.7795,7.0287,339.1246
p36-tea-0010/010,brics-odroid-015_cam0,354,right,good,4.4025,395.053,494.2578,463.2017,884.9471,4.4767,4.0669,
p52-instrument-0034/034,brics-odroid-025_cam0,24,right,good,7.8698,110.0529,448.86,739.7008,1329.1092,5.3312,5.9415,524.9727
p36-tea-0010/010,brics-odroid-020_cam0,354,right,good,6.9588,329.835,489.2096,512.9739,950.1687,6.5925,7.2808,
p52-instrument-0034/034,brics-odroid-007_cam1,108,right,good,3.6791,467.19,133.0552,154.8992,812.8122,2.7099,3.1498,243.8514
p41-plant-0004/004,brics-odroid-007_cam0,96,right,good,4.8193,779.5181,123.7611,257.6015,500.4884,4.7733,3.7609,97.6133
p44-dog-0004/004,brics-odroid-021_cam0,256,left,good,4.0569,600.5864,40.3842,844.8206,1880.5771,3.801,3.6641,168.2416
p41-plant-0004/004,brics-odroid-009_cam1,144,left,good,8.3663,456.6932,155.1465,201.1489,823.4315,6.2041,6.9946,116.0201
p41-plant-0004/004,brics-odroid-007_cam0,56,left,good,7.4286,698.7529,95.5018,47.5762,581.3359,5.4409,5.6806,111.8896
p41-plant-0004/004,brics-odroid-001_cam1,128,right,good,9.0649,825.4933,298.993,760.45,2105.491,6.6184,6.2158,99.6132
p36-tea-0010/010,brics-odroid-023_cam0,119,right,good,8.1755,133.5912,605.3872,941.4635,1413.5125,6.898,9.32,192.4448
p41-plant-0004/004,brics-odroid-014_cam1,64,right,good,4.7291,225.6834,367.2516,494.9697,1054.3169,7.2194,4.952,81.4854
p44-dog-0004/004,brics-odroid-012_cam0,112,right,good,5.99,113.453,115.8072,396.3963,1166.8186,3.2296,3.9859,193.1021
p52-instrument-0034/034,brics-odroid-024_cam0,72,left,good,5.7013,420.9646,659.1185,563.9891,859.1276,5.2604,5.8168,360.3276
p41-plant-0004/004,brics-odroid-017_cam0,56,left,good,5.8027,305.0228,79.108,621.1525,1585.0199,7.824,7.0321,75.0394
p44-dog-0004/004,brics-odroid-016_cam0,96,right,good,7.2399,249.2567,321.5922,341.4805,1529.2385,5.0574,7.4235,202.1349
p44-dog-0004/004,brics-odroid-022_cam1,16,left,good,9.2308,44.3887,357.1929,671.3851,1322.7381,5.3159,5.7058,190.3046
p44-dog-0004/004,brics-odroid-025_cam0,304,right,good,8.5894,107.4335,177.6233,564.5108,1387.0379,5.2798,4.1636,220.2262
p52-instrument-0034/034,brics-odroid-007_cam1,84,right,good,3.6949,444.9798,126.915,169.8301,835.0202,2.7575,2.6945,246.0535
p41-boxing-0021/021,brics-odroid-007_cam0,234,right,good,3.1562,1054.1045,158.0645,465.7895,225.8955,2.9987,3.1141,221.6901
p36-tea-0010/010,brics-odroid-015_cam1,85,left,good,4.9445,480.7908,436.3419,1048.0455,1760.7657,3.9521,5.0646,153.9753
p36-tea-0010/010,brics-odroid-021_cam0,136,right,good,7.1528,357.5102,700.3057,1122.8141,1637.4955,6.7305,7.4522,192.412
p44-dog-0004/004,brics-odroid-025_cam0,96,left,good,7.6124,370.2953,77.38,146.3827,909.8298,5.9687,6.2529,303.36
p52-instrument-0034/034,brics-odroid-007_cam1,78,left,good,3.1562,272.1517,534.5867,574.4825,1007.893,2.2958,2.6968,252.9746
p41-boxing-0021/021,brics-odroid-012_cam0,108,right,good,7.6007,38.773,238.5908,578.6959,1288.7309,4.6194,6.1543,155.0593
p44-dog-0004/004,brics-odroid-020_cam0,160,left,good,5.5262,101.0657,306.6154,596.1891,1312.4278,4.3041,4.2373,142.6865
p41-boxing-0021/021,brics-odroid-020_cam0,90,left,good,2.9143,451.1506,336.212,984.2259,1731.1493,3.9003,3.4515,147.9589
p41-boxing-0021/021,brics-odroid-030_cam0,90,left,good,9.5086,209.8807,87.7141,489.152,1489.6995,4.2161,7.8365,255.1827
p52-instrument-0034/034,brics-odroid-015_cam1,36,right,good,5.7127,130.8905,455.7281,790.6237,1410.7828,4.1507,3.8928,329.6824
p41-plant-0004/004,brics-odroid-006_cam0,40,right,good,7.5777,142.955,61.5195,432.6068,1373.7533,5.0133,4.5996,127.9031
p44-dog-0004/004,brics-odroid-010_cam0,288,right,good,7.5718,187.1516,123.7912,164.24,1092.849,5.8932,7.5622,82.7235
p41-boxing-0021/021,brics-odroid-019_cam1,108,right,good,5.1099,572.8797,221.281,966.2155,1852.8678,4.89,3.8903,387.4889
p41-boxing-0021/021,brics-odroid-015_cam1,342,right,good,3.1918,49.1374,210.1933,575.848,1319.0735,2.714,3.2422,190.0586
p41-plant-0004/004,brics-odroid-022_cam1,88,right,good,4.8084,304.3975,454.7298,499.5758,975.6919,5.0736,5.8686,115.5377
p41-plant-0004/004,brics-odroid-025_cam0,96,right,good,9.7287,156.6404,275.5119,685.9253,1436.5515,8.2455,7.8913,174.6315
p52-instrument-0034/034,brics-odroid-024_cam0,66,right,good,6.364,202.891,108.5772,338.9115,1077.112,6.6488,5.6224,323.0985
p44-dog-0004/004,brics-odroid-009_cam1,304,right,good,2.268,670.5776,51.7882,96.4394,609.4322,2.2888,2.4304,48.8166
p41-plant-0004/004,brics-odroid-023_cam0,0,left,good,9.7996,129.3087,122.0057,405.4214,1160.5099,12.5299,10.465,111.8185
p52-instrument-0034/034,brics-odroid-012_cam0,102,right,good,2.9268,168.3517,299.0773,491.8289,1111.6533,2.4878,2.8227,338.497
p41-boxing-0021/021,brics-odroid-030_cam0,162,left,good,5.5012,194.7252,445.6251,226.1169,1474.7198,5.0311,5.7888,565.7385
p41-plant-0004/004,brics-odroid-007_cam0,8,right,good,7.9329,802.323,100.5273,253.3654,477.7236,6.5107,8.9028,95.4893
