sequence,camera,frame,hand,view_class,median_err_distortion_on_px,median_err_distortion_off_px,delta_px,distortion_helps
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,6.6529,19.1762,12.5232,1
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,7.925,13.6233,5.6983,1
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,4.5047,37.9632,33.4585,1
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,5.1219,20.2632,15.1412,1
p52-instrument-0034/034,brics-odroid-012_cam0,114,left,good,3.3473,15.0666,11.7193,1
p52-instrument-0034/034,brics-odroid-012_cam0,24,right,good,2.4835,2.2274,-0.2561,0
p36-tea-0010/010,brics-odroid-017_cam0,34,left,good,5.3642,3.042,-2.3221,0
p36-tea-0010/010,brics-odroid-007_cam0,51,right,good,3.4024,14.3519,10.9495,1
p52-instrument-0034/034,brics-odroid-007_cam0,108,right,good,3.7989,32.3796,28.5807,1
p41-plant-0004/004,brics-odroid-007_cam1,64,right,good,6.9237,26.0874,19.1636,1
p41-plant-0004/004,brics-odroid-022_cam1,56,right,good,5.7698,17.5068,11.737,1
p41-boxing-0021/021,brics-odroid-015_cam0,36,right,good,3.1274,6.4941,3.3667,1
p44-dog-0004/004,brics-odroid-012_cam1,112,left,good,5.6049,8.3022,2.6973,1
p41-boxing-0021/021,brics-odroid-030_cam1,216,right,good,7.2818,8.3305,1.0487,1
p41-boxing-0021/021,brics-odroid-024_cam1,54,right,good,6.9573,27.5119,20.5546,1
p44-dog-0004/004,brics-odroid-016_cam0,128,left,good,2.9102,30.7233,27.8132,1
p36-tea-0010/010,brics-odroid-021_cam1,322,left,good,3.8612,3.9145,0.0533,1
p36-tea-0010/010,brics-odroid-028_cam0,85,left,good,9.6866,14.8599,5.1732,1
p52-instrument-0034/034,brics-odroid-024_cam0,24,left,good,6.4346,19.2102,12.7756,1
p36-tea-0010/010,brics-odroid-012_cam1,34,left,good,4.8551,6.4667,1.6116,1
p44-dog-0004/004,brics-odroid-002_cam0,32,left,good,6.9687,164.5684,157.5996,1
p41-boxing-0021/021,brics-odroid-011_cam0,90,left,good,7.2852,7.2737,-0.0115,0
p44-dog-0004/004,brics-odroid-012_cam1,288,right,good,5.4179,6.8775,1.4596,1
p52-instrument-0034/034,brics-odroid-024_cam0,102,left,good,6.3928,22.3164,15.9236,1
p52-instrument-0034/034,brics-odroid-020_cam1,42,left,good,8.3792,49.4051,41.0259,1
p36-tea-0010/010,brics-odroid-016_cam0,17,left,good,4.0321,38.2437,34.2116,1
p52-instrument-0034/034,brics-odroid-017_cam1,12,left,good,6.7164,26.0428,19.3264,1
p52-instrument-0034/034,brics-odroid-001_cam1,0,right,good,8.6189,21.1513,12.5324,1
p36-tea-0010/010,brics-odroid-023_cam0,0,right,good,2.5946,6.4542,3.8596,1
p41-boxing-0021/021,brics-odroid-026_cam1,180,right,good,8.0217,8.2269,0.2052,1
p41-plant-0004/004,brics-odroid-006_cam0,120,left,good,9.8192,10.7634,0.9443,1
p52-instrument-0034/034,brics-odroid-025_cam1,72,right,good,6.2705,7.1014,0.831,1
p36-tea-0010/010,brics-odroid-001_cam1,320,right,good,6.5492,31.6646,25.1155,1
