sequence,camera,frame,hand,hand_size_px,centroid_dist_to_own_projection_px,centroid_dist_to_other_hand_projection_px,other_hand_is_closer,annotation_on_other_hand
p44-dog-0004/004,brics-odroid-020_cam0,192,right,240.95,110.8,6.39,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,72,right,149.93,326.72,15.6,1,1
p44-dog-0004/004,brics-odroid-028_cam0,160,left,381.01,75.84,233.95,0,0
p44-dog-0004/004,brics-odroid-019_cam1,272,right,275.89,176.41,52.8,1,1
p41-boxing-0021/021,brics-odroid-014_cam1,342,right,114.58,187.37,4.7,1,1
p44-dog-0004/004,brics-odroid-014_cam1,176,right,150.05,146.03,3.17,1,1
p44-dog-0004/004,brics-odroid-010_cam1,128,left,330.22,235.95,22.13,1,1
p44-dog-0004/004,brics-odroid-030_cam1,240,left,451.2,367.8,22.35,1,1
p52-instrument-0034/034,brics-odroid-026_cam1,0,left,150.82,344.61,10.47,1,1
p41-plant-0004/004,brics-odroid-015_cam1,96,right,165.66,93.55,27.2,1,1
p41-boxing-0021/021,brics-odroid-021_cam1,126,right,134.93,176.34,24.08,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,114,right,177.0,338.53,16.69,1,1
p44-dog-0004/004,brics-odroid-028_cam0,0,left,339.02,129.83,247.44,0,0
p44-dog-0004/004,brics-odroid-029_cam1,304,right,273.07,192.65,5.95,1,1
p44-dog-0004/004,brics-odroid-015_cam1,288,left,106.39,98.87,6.29,1,1
p41-boxing-0021/021,brics-odroid-029_cam0,234,left,201.7,281.89,8.64,1,1
p44-dog-0004/004,brics-odroid-029_cam1,272,right,271.06,193.73,13.89,1,1
p41-boxing-0021/021,brics-odroid-027_cam0,144,right,123.24,169.1,6.55,1,1
p44-dog-0004/004,brics-odroid-019_cam1,80,right,302.64,168.32,27.86,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,72,right,224.21,439.8,9.35,1,1
p41-plant-0004/004,brics-odroid-020_cam1,16,right,213.26,65.43,7.9,1,1
p44-dog-0004/004,brics-odroid-029_cam1,0,right,294.97,152.3,13.39,1,1
p36-tea-0010/010,brics-odroid-026_cam0,51,left,130.27,191.13,19.03,1,1
p36-tea-0010/010,brics-odroid-026_cam0,102,right,166.01,192.53,16.65,1,1
p52-instrument-0034/034,brics-odroid-027_cam0,84,right,152.1,334.34,18.58,1,1
p44-dog-0004/004,brics-odroid-026_cam0,224,left,119.47,497.64,310.37,1,0
p44-dog-0004/004,brics-odroid-020_cam0,96,right,239.67,172.71,88.72,1,1
p41-plant-0004/004,brics-odroid-015_cam1,152,right,171.63,102.74,7.37,1,1
p41-boxing-0021/021,brics-odroid-029_cam0,180,left,198.58,167.09,4.82,1,1
p41-boxing-0021/021,brics-odroid-026_cam0,288,right,150.37,157.12,18.04,1,1
p44-dog-0004/004,brics-odroid-019_cam1,256,right,277.81,127.15,4.06,1,1
p44-dog-0004/004,brics-odroid-029_cam0,64,right,264.18,247.41,11.61,1,1
p44-dog-0004/004,brics-odroid-012_cam1,240,left,123.86,33.4,165.12,0,0
p52-instrument-0034/034,brics-odroid-029_cam0,108,right,259.18,444.19,11.95,1,1
p52-instrument-0034/034,brics-odroid-029_cam0,12,right,211.32,397.38,17.49,1,1
p41-plant-0004/004,brics-odroid-010_cam0,48,left,336.53,77.72,169.91,0,0
p36-tea-0010/010,brics-odroid-020_cam1,153,right,97.73,166.13,7.96,1,1
p44-dog-0004/004,brics-odroid-011_cam0,112,left,143.58,49.09,150.07,0,0
p41-boxing-0021/021,brics-odroid-029_cam0,234,right,160.72,287.54,3.71,1,1
