sequence,camera,frame,hand,view_class,lag,median_err_px
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-5,94.5918
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-4,89.5532
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-3,79.6869
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-2,60.5012
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,-1,35.6448
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,0,6.6529
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,1,34.4798
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,2,73.7299
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,3,109.5565
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,4,148.1965
p36-tea-0010/010,brics-odroid-026_cam1,17,right,good,5,185.5325
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-5,10.6275
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-4,9.7715
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-3,11.0825
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-2,10.7518
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,-1,8.7836
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,0,7.925
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,1,6.0084
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,2,7.0708
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,3,9.2465
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,4,13.2768
p52-instrument-0034/034,brics-odroid-002_cam0,78,right,good,5,17.6771
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-5,62.3379
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-4,42.3242
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-3,27.2775
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-2,16.5801
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,-1,5.6465
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,0,4.5047
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,1,9.5411
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,2,11.4862
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,3,11.4679
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,4,12.2893
p41-boxing-0021/021,brics-odroid-007_cam1,90,left,good,5,13.6643
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-5,14.4647
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-4,11.4319
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-3,10.5902
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-2,11.4762
p44-dog-0004/004,brics-odroid-021_cam0,288,left,good,-1,8.8576
