sequence,camera,frame,n_hands,n_zero_sentinel_hands,classes,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px
p36-tea-0010/010,brics-odroid-001_cam0,0,2,0,medium|medium,1,29.8507,29.8507,29.8507,29.8507,29.8507
p36-tea-0010/010,brics-odroid-001_cam0,102,2,0,bad|medium,2,313.0401,313.0401,549.2714,578.8004,608.3293
p36-tea-0010/010,brics-odroid-001_cam0,119,2,0,medium|medium,2,37.4583,37.4583,45.2196,46.1897,47.1599
p36-tea-0010/010,brics-odroid-001_cam0,136,2,0,medium|medium,2,35.6858,35.6858,36.8898,37.0403,37.1908
p36-tea-0010/010,brics-odroid-001_cam0,153,2,0,medium|medium,2,34.609,34.609,42.4141,43.3898,44.3654
p36-tea-0010/010,brics-odroid-001_cam0,17,2,0,medium|medium,1,21.8201,21.8201,21.8201,21.8201,21.8201
p36-tea-0010/010,brics-odroid-001_cam0,170,1,0,medium,1,53.3705,53.3705,53.3705,53.3705,53.3705
p36-tea-0010/010,brics-odroid-001_cam0,171,1,0,medium,1,20.9163,20.9163,20.9163,20.9163,20.9163
p36-tea-0010/010,brics-odroid-001_cam0,187,1,0,medium,1,54.0274,54.0274,54.0274,54.0274,54.0274
p36-tea-0010/010,brics-odroid-001_cam0,218,1,0,medium,1,23.1566,23.1566,23.1566,23.1566,23.1566
p36-tea-0010/010,brics-odroid-001_cam0,220,1,0,bad,1,60.8577,60.8577,60.8577,60.8577,60.8577
p36-tea-0010/010,brics-odroid-001_cam0,235,1,0,medium,1,33.9032,33.9032,33.9032,33.9032,33.9032
p36-tea-0010/010,brics-odroid-001_cam0,237,1,0,medium,1,32.1979,32.1979,32.1979,32.1979,32.1979
p36-tea-0010/010,brics-odroid-001_cam0,252,1,0,medium,1,32.9776,32.9776,32.9776,32.9776,32.9776
p36-tea-0010/010,brics-odroid-001_cam0,254,1,0,medium,1,38.1855,38.1855,38.1855,38.1855,38.1855
p36-tea-0010/010,brics-odroid-001_cam0,269,1,0,medium,1,24.9966,24.9966,24.9966,24.9966,24.9966
p36-tea-0010/010,brics-odroid-001_cam0,271,1,0,medium,1,20.8974,20.8974,20.8974,20.8974,20.8974
p36-tea-0010/010,brics-odroid-001_cam0,286,1,0,medium,1,29.3675,29.3675,29.3675,29.3675,29.3675
p36-tea-0010/010,brics-odroid-001_cam0,288,1,0,medium,1,21.7754,21.7754,21.7754,21.7754,21.7754
p36-tea-0010/010,brics-odroid-001_cam0,303,1,0,medium,1,26.5024,26.5024,26.5024,26.5024,26.5024
p36-tea-0010/010,brics-odroid-001_cam0,305,1,0,medium,1,19.8605,19.8605,19.8605,19.8605,19.8605
p36-tea-0010/010,brics-odroid-001_cam0,320,1,0,medium,1,29.569,29.569,29.569,29.569,29.569
