camera_family,n_views,n_zero_sentinel,zero_sentinel_rate,n_good,n_medium,n_bad,bad_rate_excl_sentinel,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px
brics-odroid-001,400,134,0.335,78,176,12,0.0451,254,25.894,12.7722,39.4903,54.0981,608.3293
brics-odroid-002,200,47,0.235,55,97,1,0.0065,150,16.2232,11.3476,21.7829,33.0306,483.6823
brics-odroid-006,200,4,0.02,110,85,1,0.0051,196,11.4012,9.3805,18.604,21.7692,70.2706
brics-odroid-007,400,21,0.0525,308,65,6,0.0158,379,9.269,5.3267,16.6511,33.3944,113.7761
brics-odroid-008,200,171,0.855,6,14,9,0.3103,27,72.0165,22.0171,267.3386,268.7224,269.0073
brics-odroid-009,200,8,0.04,156,25,11,0.0573,192,13.2003,5.0039,33.818,76.964,124.504
brics-odroid-010,400,57,0.1425,95,177,71,0.207,343,41.5505,19.3275,115.3532,152.8896,261.9134
brics-odroid-011,200,11,0.055,167,12,10,0.0529,189,10.4047,3.9249,16.7481,60.6925,134.1227
brics-odroid-012,400,46,0.115,299,41,14,0.0395,350,12.8736,4.8773,13.8033,39.4219,311.3219
brics-odroid-014,200,53,0.265,64,31,52,0.3537,147,85.6747,12.6578,260.5003,341.55,365.3217
brics-odroid-015,400,97,0.2425,253,25,25,0.0825,303,14.9463,4.7765,43.2174,103.5858,186.858
brics-odroid-016,200,6,0.03,164,15,15,0.0773,194,15.9309,5.2771,14.7817,82.8637,245.1933
brics-odroid-017,400,12,0.03,239,123,26,0.067,388,15.9677,7.7797,30.5222,82.6441,121.5857
brics-odroid-019,200,67,0.335,18,90,25,0.188,129,42.1378,18.4501,133.6557,172.8156,218.979
brics-odroid-020,400,62,0.155,189,84,65,0.1923,338,50.9811,9.0462,210.2197,247.0419,695.8143
brics-odroid-021,400,36,0.09,292,47,25,0.0687,364,15.1897,5.7786,34.2591,79.0225,193.7882
brics-odroid-022,400,176,0.44,148,58,18,0.0804,224,22.251,5.1933,56.7059,88.6155,148.3963
brics-odroid-023,200,3,0.015,111,86,0,0.0,197,13.1756,9.5517,29.7459,32.1134,45.5141
brics-odroid-024,400,11,0.0275,294,94,1,0.0026,389,8.6694,6.9207,14.3601,17.8172,69.6145
brics-odroid-025,400,22,0.055,229,142,7,0.0185,378,14.6389,8.9252,17.6514,24.9939,497.9999
brics-odroid-026,400,131,0.3275,91,27,151,0.5613,269,155.2545,147.0751,356.0393,395.535,493.0614
brics-odroid-027,400,243,0.6075,31,17,109,0.6943,153,201.7828,199.2897,392.8898,402.9849,424.1876
brics-odroid-028,200,106,0.53,15,28,51,0.5426,93,136.9681,64.1687,375.5717,392.5816,454.4875
brics-odroid-029,400,192,0.48,35,43,130,0.625,208,182.1775,168.4335,429.1794,444.6334,492.2293
brics-odroid-030,400,163,0.4075,69,83,85,0.3586,236,127.8629,15.7675,369.407,419.3523,852.8653
