camera,n_views,n_zero_sentinel,zero_sentinel_rate,n_good,n_medium,n_bad,bad_rate_excl_sentinel,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px
brics-odroid-001_cam0,200,70,0.35,25,102,3,0.0231,123,29.7747,23.9215,41.7183,50.8639,608.3293
brics-odroid-001_cam1,200,64,0.32,53,74,9,0.0662,131,22.2502,10.6894,30.5682,128.9332,404.7021
brics-odroid-002_cam0,200,47,0.235,55,97,1,0.0065,150,16.2232,11.3476,21.7829,33.0306,483.6823
brics-odroid-006_cam0,200,4,0.02,110,85,1,0.0051,196,11.4012,9.3805,18.604,21.7692,70.2706
brics-odroid-007_cam0,200,11,0.055,161,27,1,0.0053,189,7.3783,4.6974,11.9581,26.1,113.7761
brics-odroid-007_cam1,200,10,0.05,147,38,5,0.0263,190,11.1498,6.5419,21.044,43.4049,102.1309
brics-odroid-008_cam0,200,171,0.855,6,14,9,0.3103,27,72.0165,22.0171,267.3386,268.7224,269.0073
brics-odroid-009_cam1,200,8,0.04,156,25,11,0.0573,192,13.2003,5.0039,33.818,76.964,124.504
brics-odroid-010_cam0,200,25,0.125,86,64,25,0.1429,175,26.1435,10.1364,93.3182,116.7623,173.96
brics-odroid-010_cam1,200,32,0.16,9,113,46,0.2738,168,57.5995,37.9927,149.3823,188.7281,261.9134
brics-odroid-011_cam0,200,11,0.055,167,12,10,0.0529,189,10.4047,3.9249,16.7481,60.6925,134.1227
brics-odroid-012_cam0,200,19,0.095,149,23,9,0.0497,181,16.5338,4.5251,14.9948,53.4571,311.3219
brics-odroid-012_cam1,200,27,0.135,150,18,5,0.0289,169,8.9534,5.0721,10.3425,26.5127,148.4233
brics-odroid-014_cam1,200,53,0.265,64,31,52,0.3537,147,85.6747,12.6578,260.5003,341.55,365.3217
brics-odroid-015_cam0,200,88,0.44,103,6,3,0.0268,112,8.7851,4.5658,8.1844,13.8946,135.4822
brics-odroid-015_cam1,200,9,0.045,150,19,22,0.1152,191,18.5591,4.9164,66.3512,111.1532,186.858
brics-odroid-016_cam0,200,6,0.03,164,15,15,0.0773,194,15.9309,5.2771,14.7817,82.8637,245.1933
brics-odroid-017_cam0,200,3,0.015,99,83,15,0.0761,197,17.8039,9.9466,42.1351,81.719,116.3788
brics-odroid-017_cam1,200,9,0.045,140,40,11,0.0576,191,14.0738,6.4909,27.6785,78.6283,121.5857
brics-odroid-019_cam1,200,67,0.335,18,90,25,0.188,129,42.1378,18.4501,133.6557,172.8156,218.979
brics-odroid-020_cam0,200,29,0.145,84,61,26,0.152,171,47.2204,10.0844,189.8262,238.1002,695.8143
brics-odroid-020_cam1,200,33,0.165,105,23,39,0.2335,167,54.832,7.7358,219.961,249.7668,540.0443
brics-odroid-021_cam0,200,9,0.045,152,30,9,0.0471,191,12.7619,6.2913,29.4646,53.953,121.0069
brics-odroid-021_cam1,200,27,0.135,140,17,16,0.0925,173,17.87,4.9881,50.0488,109.6402,193.7882
brics-odroid-022_cam0,200,113,0.565,25,47,15,0.1724,87,45.7776,50.1985,99.3576,114.0812,148.3963
brics-odroid-022_cam1,200,63,0.315,123,11,3,0.0219,137,7.3107,4.4993,10.0939,19.0216,88.6105
brics-odroid-023_cam0,200,3,0.015,111,86,0,0.0,197,13.1756,9.5517,29.7459,32.1134,45.5141
brics-odroid-024_cam0,200,1,0.005,136,62,1,0.005,199,9.8032,7.5773,14.4908,23.8592,69.6145
brics-odroid-024_cam1,200,10,0.05,158,32,0,0.0,190,7.4818,6.0889,12.8813,16.7941,35.0486
brics-odroid-025_cam0,200,5,0.025,84,107,4,0.0205,195,19.0717,10.7854,18.7667,31.362,497.9999
brics-odroid-025_cam1,200,17,0.085,145,35,3,0.0164,183,9.9153,7.3777,14.1754,24.3829,140.4245
brics-odroid-026_cam0,200,62,0.31,49,12,77,0.558,138,142.4969,136.9906,319.2224,453.6672,493.0614
brics-odroid-026_cam1,200,69,0.345,42,15,74,0.5649,131,168.6937,176.1397,363.1894,368.3201,477.1712
brics-odroid-027_cam0,200,107,0.535,30,17,46,0.4946,89,123.713,111.4284,330.9474,338.9685,353.1127
brics-odroid-027_cam1,200,136,0.68,1,0,63,0.9844,64,310.3485,367.1627,403.8074,409.9497,424.1876
brics-odroid-028_cam0,200,106,0.53,15,28,51,0.5426,93,136.9681,64.1687,375.5717,392.5816,454.4875
brics-odroid-029_cam0,200,90,0.45,12,13,85,0.7727,110,249.1074,248.7979,444.3921,446.1002,492.2293
brics-odroid-029_cam1,200,102,0.51,23,30,45,0.4592,98,107.052,22.9209,272.7306,347.3354,440.5188
brics-odroid-030_cam0,200,73,0.365,44,56,27,0.2126,127,65.1633,12.6724,277.039,297.7196,480.1867
brics-odroid-030_cam1,200,90,0.45,25,27,58,0.5273,109,200.9165,248.1486,419.3107,506.1106,852.8653
