sequence,camera,frame,hand,n_valid_joints,n_zero_sentinel_joints,n_compared_joints,zero_sentinel_ratio,is_zero_sentinel_view,image_width,image_height,distortion_applied,err_n,err_mean_px,err_median_px,err_p90_px,err_p95_px,err_max_px,err_median_including_sentinel,camera_family,view_class
p36-tea-0010/010,brics-odroid-030_cam1,0,right,21,0,21,0.0,0,1280,720,1,21,847.0476,852.8653,941.0223,961.8856,962.5192,852.8653,brics-odroid-030,bad
p36-tea-0010/010,brics-odroid-030_cam1,17,right,21,0,21,0.0,0,1280,720,1,21,707.1564,717.2533,817.2204,837.4397,840.414,717.2533,brics-odroid-030,bad
p36-tea-0010/010,brics-odroid-020_cam0,17,right,21,0,18,0.0,0,1280,720,1,18,680.0186,695.8143,732.7597,737.7,740.5734,708.6933,brics-odroid-020,bad
p36-tea-0010/010,brics-odroid-001_cam0,102,left,21,0,20,0.0,0,1280,720,1,20,630.545,608.3293,837.5736,868.9527,972.9287,620.9701,brics-odroid-001,bad
p36-tea-0010/010,brics-odroid-020_cam0,0,right,21,0,3,0.0,0,1280,720,1,3,585.5306,582.3517,631.9371,638.1353,644.3335,720.2993,brics-odroid-020,bad
p52-instrument-0034/034,brics-odroid-030_cam1,36,right,21,0,21,0.0,0,1280,720,1,21,573.5985,570.9696,691.7895,698.6254,724.4295,570.9696,brics-odroid-030,bad
p52-instrument-0034/034,brics-odroid-030_cam1,96,right,21,0,21,0.0,0,1280,720,1,21,556.6795,550.086,683.9973,687.8617,723.4807,550.086,brics-odroid-030,bad
p36-tea-0010/010,brics-odroid-020_cam1,0,right,21,0,21,0.0,0,1280,720,1,21,536.4908,540.0443,569.3421,569.9766,573.456,540.0443,brics-odroid-020,bad
p52-instrument-0034/034,brics-odroid-030_cam1,0,right,21,0,21,0.0,0,1280,720,1,21,528.7359,531.137,656.7635,658.7746,695.8229,531.137,brics-odroid-030,bad
p52-instrument-0034/034,brics-odroid-030_cam1,6,right,21,0,21,0.0,0,1280,720,1,21,519.8905,516.7533,648.8431,659.3168,686.783,516.7533,brics-odroid-030,bad
p41-boxing-0021/021,brics-odroid-025_cam0,252,left,21,0,21,0.0,0,1280,720,1,21,509.6302,497.9999,580.1161,603.542,630.9063,497.9999,brics-odroid-025,bad
p44-dog-0004/004,brics-odroid-026_cam0,48,left,21,0,5,0.0,0,1280,720,1,5,481.3752,493.0614,498.32,499.2232,500.1264,501.3255,brics-odroid-026,bad
p36-tea-0010/010,brics-odroid-029_cam0,187,left,21,0,21,0.0,0,1280,720,1,21,487.5148,492.2293,553.9697,569.3135,581.7629,492.2293,brics-odroid-029,bad
p52-instrument-0034/034,brics-odroid-030_cam1,12,right,21,0,21,0.0,0,1280,720,1,21,504.8014,490.1466,630.1132,663.2662,668.1966,490.1466,brics-odroid-030,bad
p36-tea-0010/010,brics-odroid-002_cam0,17,right,21,0,7,0.0,0,1280,720,1,7,465.8948,483.6823,557.6675,566.6504,575.6333,514.0381,brics-odroid-002,bad
p44-dog-0004/004,brics-odroid-026_cam0,32,left,21,0,5,0.0,0,1280,720,1,5,470.6305,480.7804,484.8239,486.0148,487.2057,498.4915,brics-odroid-026,bad
p36-tea-0010/010,brics-odroid-030_cam0,0,right,21,0,21,0.0,0,1280,720,1,21,489.8979,480.1867,552.3109,573.935,574.067,480.1867,brics-odroid-030,bad
