sequence,camera,rgb_frame_index,rgb_timestamp_us,sidecar_frame_index,kp2d_row,kp3d_row,union_position,left_chosen,right_chosen,mapping_source,mapping_confidence,notes
p36-tea-0010,brics-odroid-001_cam0,0,1727030430679748,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,15,1727030431179800,15,15,15,15,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,30,1727030431679908,30,30,30,30,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,45,1727030432179714,45,45,45,45,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,60,1727030432679802,60,60,60,60,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,75,1727030433179711,75,75,75,75,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,90,1727030433680453,90,90,90,90,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,105,1727030434179802,105,105,105,105,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,120,1727030434675810,120,120,120,120,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,135,1727030435175894,135,135,135,135,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,150,1727030435675802,150,150,150,150,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,165,1727030436175794,165,165,165,165,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,180,1727030436675829,180,180,180,180,1,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,195,1727030437175817,195,195,195,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,210,1727030437675810,210,210,210,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,225,1727030438175829,225,225,225,209,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,240,1727030438675867,240,240,240,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,255,1727030439175864,255,255,255,239,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,270,1727030439675871,270,270,270,254,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,285,1727030440175917,285,285,285,269,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,300,1727030440675884,300,300,300,284,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,315,1727030441175994,315,315,315,299,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,330,1727030441675889,330,330,330,314,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,345,1727030442175848,345,345,345,329,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,360,1727030442675916,360,360,360,344,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam0,375,1727030443175918,375,375,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,0,1727030430684813,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,15,1727030431184003,15,15,15,15,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,30,1727030431685852,30,30,30,30,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,45,1727030432183749,45,45,45,45,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,60,1727030432684213,60,60,60,60,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,75,1727030433184068,75,75,75,75,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,90,1727030433685332,90,90,90,90,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,105,1727030434183669,105,105,105,105,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,120,1727030434683662,120,120,120,120,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,135,1727030435183626,135,135,135,135,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,150,1727030435683696,150,150,150,150,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,165,1727030436183622,165,165,165,165,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,180,1727030436683712,180,180,180,180,1,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,195,1727030437183728,195,195,195,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,210,1727030437683716,210,210,210,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,225,1727030438183784,225,225,225,209,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,240,1727030438683728,240,240,240,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,255,1727030439183779,255,255,255,239,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,270,1727030439683761,270,270,270,254,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,285,1727030440183664,285,285,285,269,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,300,1727030440683763,300,300,300,284,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,315,1727030441183799,315,315,315,299,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,330,1727030441683769,330,330,330,314,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,345,1727030442183746,345,345,345,329,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,360,1727030442683767,360,360,360,344,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-001_cam1,375,1727030443183867,375,375,,-1,0,0,OUT_OF_3D_RANGE,n/a,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,0,1727030430685987,0,0,0,0,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,15,1727030431185978,15,15,15,15,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,30,1727030431686061,30,30,30,30,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,45,1727030432186047,45,45,45,45,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,60,1727030432686156,60,60,60,60,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,75,1727030433186043,75,75,75,75,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,90,1727030433686048,90,90,90,90,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,105,1727030434182059,105,105,105,105,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,120,1727030434682126,120,120,120,120,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,135,1727030435182166,135,135,135,135,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,150,1727030435685049,150,150,150,150,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,165,1727030436182126,165,165,165,165,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,180,1727030436686343,180,180,180,180,1,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,195,1727030437182194,195,195,195,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,210,1727030437682173,210,210,210,-1,0,0,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,225,1727030438182147,225,225,225,209,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,240,1727030438682293,240,240,240,224,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,255,1727030439182118,255,255,255,239,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,270,1727030439682324,270,270,270,254,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,285,1727030440182216,285,285,285,269,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,300,1727030440682209,300,300,300,284,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,315,1727030441182231,315,315,315,299,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,330,1727030441682226,330,330,330,314,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,345,1727030442182221,345,345,345,329,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
p36-tea-0010,brics-odroid-002_cam0,360,1727030442682189,360,360,360,344,1,1,DIRECT_INDEX,high,rgb/2d/3d share one 0-based frame index; params and repro videos use union_position
