sequence,take,camera,rgb_frame_count,timestamp_count,kp2d_left_rows,kp2d_right_rows,kp3d_left_rows,kp3d_right_rows,chosen_left_count,chosen_right_count,chosen_union_count,chosen_intersect_count,chosen_max_frame_id,params_entries,repro2d_frame_count,repro3d_frame_count,mano_vid_frame_count,kp2d_rows_eq_rgb,kp3d_rows_eq_maxchosen_plus1,repro_eq_union,params_eq_union,notes
p36-tea-0010,010,brics-odroid-001_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-001_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-002_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-006_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-007_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-007_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-008_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-009_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-010_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-010_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-011_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-012_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-012_cam1,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-014_cam1,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-015_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-015_cam1,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-016_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-017_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-017_cam1,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-019_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-020_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-020_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-021_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-021_cam1,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-022_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-022_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-023_cam0,380,380,380,380,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-024_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-024_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-025_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-025_cam1,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
p36-tea-0010,010,brics-odroid-026_cam0,381,381,381,381,375,375,359,344,359,344,374,359,359,359,359,1,1,1,1,
