sequence,camera,frame,hand,role,old_class,new_class,old_error_px,new_error_px,chosen_frame,opposite_hand_distance_px,mapping_changed,reason
p36-tea-0010/010,brics-odroid-015_cam0,136,left,good,good,MEDIUM_CONFIRMED,1.6904,31.5173,1,242.41,0,moderate disagreement
p52-instrument-0034/034,brics-odroid-016_cam0,114,right,good,good,GOOD_CONFIRMED,1.7837,1.7837,1,322.61,0,reprojection agrees under the audited mapping
p44-dog-0004/004,brics-odroid-009_cam1,32,right,good,good,GOOD_CONFIRMED,1.9517,1.9517,1,87.81,0,reprojection agrees under the audited mapping
p41-boxing-0021/021,brics-odroid-015_cam1,324,right,good,good,GOOD_CONFIRMED,2.0435,2.0435,1,164.51,0,reprojection agrees under the audited mapping
p41-plant-0004/004,brics-odroid-024_cam1,112,left,good,good,GOOD_CONFIRMED,2.9144,2.9144,1,143.16,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-015_cam0,136,left,good,good,MEDIUM_CONFIRMED,1.6904,31.5173,1,242.41,0,moderate disagreement
p36-tea-0010/010,brics-odroid-030_cam1,0,right,bad,bad,LIKELY_HAND_IDENTITY_ERROR,852.8653,852.8653,1,15.64,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-030_cam1,17,right,bad,bad,LIKELY_HAND_IDENTITY_ERROR,717.2533,717.2533,1,19.51,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-020_cam0,17,right,bad,bad,UNRESOLVED,695.8143,708.6933,1,444.63,0,large error with no clean hand-swap explanation
p52-instrument-0034/034,brics-odroid-030_cam1,36,right,bad,bad,LIKELY_HAND_IDENTITY_ERROR,570.9696,570.9696,1,19.94,0,annotation sits on the other hand; mapping verified correct
p41-boxing-0021/021,brics-odroid-025_cam0,252,left,bad,bad,LIKELY_HAND_IDENTITY_ERROR,497.9999,497.9999,1,5.16,0,annotation sits on the other hand; mapping verified correct
p44-dog-0004/004,brics-odroid-026_cam0,48,left,bad,bad,UNRESOLVED,493.0614,501.3255,1,328.65,0,large error with no clean hand-swap explanation
p36-tea-0010/010,brics-odroid-011_cam0,0,left,pair_good,good,GOOD_CONFIRMED,2.1266,2.1266,1,342.13,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-026_cam0,0,left,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,411.7102,423.8562,1,15.59,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-016_cam0,0,right,pair_good,good,GOOD_CONFIRMED,1.7263,1.7263,1,298.09,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-030_cam1,0,right,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,852.8653,852.8653,1,15.64,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-020_cam1,102,left,pair_good,good,GOOD_CONFIRMED,3.2863,3.2863,1,194.54,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-001_cam0,102,left,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,608.3293,620.9701,1,1.92,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-012_cam0,102,right,pair_good,good,GOOD_CONFIRMED,3.0499,3.0499,1,201.52,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-030_cam1,102,right,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,302.7041,302.7041,1,10.28,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-007_cam0,119,left,pair_good,good,GOOD_CONFIRMED,3.1492,3.1492,1,179.22,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-030_cam1,119,left,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,296.8924,296.8924,1,6.34,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-011_cam0,119,right,pair_good,good,GOOD_CONFIRMED,2.9316,2.9316,1,194.0,0,reprojection agrees under the audited mapping
p36-tea-0010/010,brics-odroid-030_cam1,119,right,pair_bad,bad,LIKELY_HAND_IDENTITY_ERROR,300.6326,300.6326,1,3.51,0,annotation sits on the other hand; mapping verified correct
p36-tea-0010/010,brics-odroid-001_cam1,136,left,zero_sentinel,zero_sentinel,INVALID_OR_MISSING_2D,,,1,,0,"all 21 joints exactly (0,0)"
p36-tea-0010/010,brics-odroid-001_cam1,170,left,zero_sentinel,zero_sentinel,INVALID_OR_MISSING_2D,,,1,,0,"all 21 joints exactly (0,0)"
