sequence,camera,n_timestamps,rgb_frame_count,frame_index_is_0_based_contiguous,first_timestamp_us,last_timestamp_us,median_delta_us,implied_fps,filename_timestamp,filename_ts_minus_first_frame_ts_us
p36-tea-0010,brics-odroid-001_cam0,381,381,1,1727030430679748,1727030443343870,32032,31.218,1727030430682715,2967
p36-tea-0010,brics-odroid-001_cam1,381,381,1,1727030430684813,1727030443347835,32438,30.828,1727030430696341,11528
p36-tea-0010,brics-odroid-002_cam0,381,381,1,1727030430685987,1727030443350248,32049,31.202,1727030430696724,10737
p41-boxing-0021,brics-odroid-001_cam0,367,367,1,1726962101753779,1726962113953908,32101,31.151,1726962101790659,36880
p41-boxing-0021,brics-odroid-001_cam1,367,367,1,1726962101745702,1726962113941799,32099,31.154,1726962101749017,3315
p41-boxing-0021,brics-odroid-002_cam0,367,367,1,1726962101753219,1726962113950555,32077,31.175,1726962101790421,37202
p41-plant-0004,brics-odroid-001_cam0,174,174,1,1726963265343019,1726963271107996,32025,31.226,1726963265349585,6566
p41-plant-0004,brics-odroid-001_cam1,174,174,1,1726963265351667,1726963271115065,32142,31.112,1726963265354849,3182
p41-plant-0004,brics-odroid-002_cam0,174,174,1,1726963265347102,1726963271111314,32015,31.235,1726963265350194,3092
p44-dog-0004,brics-odroid-001_cam0,337,337,1,1725202053179072,1725202064379096,32076,31.176,1725202053205270,26198
p44-dog-0004,brics-odroid-001_cam1,338,338,1,1725202053174870,1725202064407205,32037,31.214,1725202053202566,27696
p44-dog-0004,brics-odroid-002_cam0,337,337,1,1725202053176070,1725202064376195,32038,31.213,1725202053202970,26900
p52-instrument-0034,brics-odroid-002_cam0,139,139,1,1726248075901718,1726248080501812,32021,31.23,1726248075916486,14768
