sequence,camera,n_comparable,n_swapped,swap_rate,verdict
p36-tea-0010,brics-odroid-001_cam0,34,3,0.0882,no_systematic_swap
p36-tea-0010,brics-odroid-001_cam1,32,3,0.0938,no_systematic_swap
p36-tea-0010,brics-odroid-002_cam0,33,1,0.0303,no_systematic_swap
p36-tea-0010,brics-odroid-006_cam0,35,1,0.0286,no_systematic_swap
p36-tea-0010,brics-odroid-007_cam0,35,2,0.0571,no_systematic_swap
p36-tea-0010,brics-odroid-007_cam1,31,3,0.0968,no_systematic_swap
p36-tea-0010,brics-odroid-008_cam0,11,5,0.4545,occasional_swap
p36-tea-0010,brics-odroid-009_cam1,35,1,0.0286,no_systematic_swap
p36-tea-0010,brics-odroid-010_cam0,18,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-010_cam1,21,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-011_cam0,35,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-012_cam0,31,1,0.0323,no_systematic_swap
p36-tea-0010,brics-odroid-012_cam1,31,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-014_cam1,17,6,0.3529,occasional_swap
p36-tea-0010,brics-odroid-015_cam0,27,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-015_cam1,34,1,0.0294,no_systematic_swap
p36-tea-0010,brics-odroid-016_cam0,33,1,0.0303,no_systematic_swap
p36-tea-0010,brics-odroid-017_cam0,34,3,0.0882,no_systematic_swap
p36-tea-0010,brics-odroid-017_cam1,32,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-019_cam1,20,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-020_cam0,15,1,0.0667,no_systematic_swap
p36-tea-0010,brics-odroid-020_cam1,29,10,0.3448,occasional_swap
p36-tea-0010,brics-odroid-021_cam0,30,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-021_cam1,22,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-022_cam0,8,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-022_cam1,22,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-023_cam0,35,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-024_cam0,34,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-024_cam1,32,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-025_cam0,35,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-025_cam1,35,0,0.0,no_systematic_swap
p36-tea-0010,brics-odroid-026_cam0,24,13,0.5417,occasional_swap
p36-tea-0010,brics-odroid-026_cam1,26,10,0.3846,occasional_swap
p36-tea-0010,brics-odroid-027_cam0,19,10,0.5263,occasional_swap
p36-tea-0010,brics-odroid-027_cam1,23,22,0.9565,systematic_swap
p36-tea-0010,brics-odroid-028_cam0,12,1,0.0833,no_systematic_swap
p36-tea-0010,brics-odroid-029_cam0,10,3,0.3,occasional_swap
p36-tea-0010,brics-odroid-029_cam1,22,9,0.4091,occasional_swap
p36-tea-0010,brics-odroid-030_cam0,33,3,0.0909,no_systematic_swap
p36-tea-0010,brics-odroid-030_cam1,31,27,0.871,systematic_swap
p41-boxing-0021,brics-odroid-001_cam0,9,4,0.4444,occasional_swap
p41-boxing-0021,brics-odroid-001_cam1,20,9,0.45,occasional_swap
p41-boxing-0021,brics-odroid-002_cam0,13,1,0.0769,no_systematic_swap
p41-boxing-0021,brics-odroid-006_cam0,36,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-007_cam0,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-007_cam1,35,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-008_cam0,8,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-009_cam1,37,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-010_cam0,34,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-010_cam1,25,6,0.24,occasional_swap
p41-boxing-0021,brics-odroid-011_cam0,37,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-012_cam0,34,2,0.0588,no_systematic_swap
p41-boxing-0021,brics-odroid-012_cam1,16,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-014_cam1,30,5,0.1667,no_systematic_swap
p41-boxing-0021,brics-odroid-015_cam0,35,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-015_cam1,37,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-016_cam0,33,6,0.1818,no_systematic_swap
p41-boxing-0021,brics-odroid-017_cam0,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-017_cam1,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-019_cam1,36,8,0.2222,occasional_swap
p41-boxing-0021,brics-odroid-020_cam0,35,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-020_cam1,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-021_cam0,38,2,0.0526,no_systematic_swap
p41-boxing-0021,brics-odroid-021_cam1,29,11,0.3793,occasional_swap
p41-boxing-0021,brics-odroid-023_cam0,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-024_cam0,38,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-024_cam1,33,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-025_cam0,33,1,0.0303,no_systematic_swap
p41-boxing-0021,brics-odroid-025_cam1,17,0,0.0,no_systematic_swap
p41-boxing-0021,brics-odroid-026_cam0,35,20,0.5714,occasional_swap
p41-boxing-0021,brics-odroid-026_cam1,38,10,0.2632,occasional_swap
p41-boxing-0021,brics-odroid-027_cam0,25,13,0.52,occasional_swap
p41-boxing-0021,brics-odroid-028_cam0,23,3,0.1304,no_systematic_swap
