sequence,take,camera,frame,left_tri_status,left_n_available_cameras,left_n_inlier_cameras,left_n_ok_joints,left_tri_median_reproj_px,left_tri_p90_reproj_px,left_max_ray_angle_deg,left_annotation_present,left_zero_pattern,left_chosen,right_tri_status,right_n_available_cameras,right_n_inlier_cameras,right_n_ok_joints,right_tri_median_reproj_px,right_tri_p90_reproj_px,right_max_ray_angle_deg,right_annotation_present,right_zero_pattern,right_chosen,E_LL_px,E_LR_px,E_RR_px,E_RL_px,n_joints_LL,n_joints_RR,C_LL_px,C_LR_px,C_RR_px,C_RL_px,left_vs_provided_left_mpjpe_mm,left_vs_provided_left_root_aligned_mpjpe_mm,left_vs_provided_left_wrist_mm,left_vs_provided_left_centroid_mm,left_vs_provided_left_n_joints,left_vs_provided_right_mpjpe_mm,left_vs_provided_right_centroid_mm,right_vs_provided_right_mpjpe_mm,right_vs_provided_right_root_aligned_mpjpe_mm,right_vs_provided_right_wrist_mm,right_vs_provided_right_centroid_mm,right_vs_provided_right_n_joints,right_vs_provided_left_mpjpe_mm,right_vs_provided_left_centroid_mm,status,census_status_001_2,group,hand_of_interest,left_case,left_case_reason,left_qc_status,left_qc_reason,left_identity_margin_px,right_case,right_case_reason,right_qc_status,right_qc_reason,right_identity_margin_px
p52-instrument-0034,034,brics-odroid-010_cam1,0,ok,35,15,21,3.2736,4.9355,125.8204,1,0,1,ok,34,16,21,2.859,4.3784,138.3089,1,0,1,153.9213,106.4375,11.7375,163.2048,21,21,120.6012,22.755,9.2822,136.1155,2.5964,4.3487,4.6665,1.1118,21.0,309.533,307.1688,2.8578,15.8472,15.8294,1.58,21.0,310.0139,307.6349,ok,good,good_control,right,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 23 px from the right reconstruction but 121 px from its own; reconstruction agrees with provided left 3D (2.6 mm),EXCLUDE,per-camera 2D hand identity swap,-97.85,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (11.7 px),PASS_STRICT,multi-view consistent in 2D and 3D,126.83
p41-boxing-0021,021,brics-odroid-026_cam0,0,ok,30,14,21,3.0032,4.7205,136.4925,1,0,1,ok,29,14,21,2.8823,4.5107,140.1582,1,0,1,170.6589,34.5517,4.612,185.1734,21,21,175.8229,7.2305,5.4272,180.9578,4.2087,8.4049,9.259,1.9787,21.0,181.8336,181.3883,3.3463,5.6542,5.0671,1.2567,21.0,181.7508,181.3545,ok,good,good_control,right,CONFIRMED_2D_HAND_IDENTITY_SWAP,held-out left annotation is 7 px from the right reconstruction but 176 px from its own; reconstruction agrees with provided left 3D (4.2 mm),EXCLUDE,per-camera 2D hand identity swap,-168.59,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.6 px),PASS_STRICT,multi-view consistent in 2D and 3D,175.53
p52-instrument-0034,034,brics-odroid-007_cam1,0,ok,35,15,21,3.1207,4.9138,136.0693,1,0,1,ok,34,16,21,2.8119,4.4854,150.185,1,0,1,3.0754,232.6092,3.433,229.9496,21,21,0.6932,227.3066,1.2321,225.5106,2.7846,4.241,4.6665,1.4174,21.0,309.6748,307.3176,2.4722,6.0931,4.5721,1.4239,21.0,309.7914,307.4286,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (3.1 px),PASS_STRICT,multi-view consistent in 2D and 3D,226.61,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (3.4 px),PASS_STRICT,multi-view consistent in 2D and 3D,224.28
p36-tea-0010,010,brics-odroid-012_cam0,0,ok,29,15,21,2.9424,4.7575,147.323,1,0,1,ok,29,15,21,3.0463,4.7773,120.9232,1,0,1,5.2489,316.8128,2.306,313.6493,21,21,2.1937,321.9453,0.7356,321.6102,2.4276,6.1942,6.1202,0.4849,21.0,387.1439,386.8699,2.8166,17.0823,19.0805,2.0967,21.0,386.1689,385.8839,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (5.2 px),PASS_STRICT,multi-view consistent in 2D and 3D,319.75,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (2.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,320.87
p52-instrument-0034,034,brics-odroid-017_cam1,0,ok,35,15,21,3.1207,4.9184,134.832,1,0,1,ok,34,16,21,2.8451,4.4912,144.5059,1,0,1,7.8645,332.2011,2.7236,325.9483,21,21,6.2056,346.2558,3.7601,336.9248,2.9616,15.9555,16.6226,1.1787,21.0,308.793,306.3685,2.6047,6.9023,8.2913,2.1384,21.0,309.786,307.4612,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (7.9 px),PASS_STRICT,multi-view consistent in 2D and 3D,340.05,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (2.7 px),PASS_STRICT,multi-view consistent in 2D and 3D,333.16
p41-plant-0004,004,brics-odroid-024_cam0,0,ok,25,9,21,2.8415,4.7501,125.655,1,0,1,ok,26,9,21,2.9472,4.5227,121.6993,1,0,1,13.1305,141.1679,7.7566,134.0096,21,21,7.3481,130.346,3.4651,128.176,6.2162,9.4498,5.7563,2.8864,21.0,92.9942,90.7623,6.1795,9.0283,7.0284,3.5406,21.0,93.205,90.3318,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (13.1 px),PASS_STRICT,multi-view consistent in 2D and 3D,123.0,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (7.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,124.71
p52-instrument-0034,034,brics-odroid-016_cam0,0,ok,35,14,21,3.1146,4.9524,136.1238,1,0,1,ok,34,17,21,2.8424,4.4274,149.8561,1,0,1,4.0453,298.6465,2.8893,297.3517,21,21,2.7265,301.252,2.5208,302.5961,2.9841,16.1761,16.2889,0.8204,21.0,309.2819,306.8591,2.4714,7.2847,5.8521,1.4314,21.0,309.7631,307.4086,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (4.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,298.53,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (2.9 px),PASS_STRICT,multi-view consistent in 2D and 3D,300.08
p52-instrument-0034,034,brics-odroid-014_cam1,40,ok,35,15,21,3.2865,4.9532,123.9397,1,0,1,ok,35,17,21,3.2876,5.0175,152.1346,1,1,1,5.2015,338.8712,,,21,0,1.2125,344.6254,,,2.6118,8.3396,7.6665,0.5146,21.0,322.3101,319.9803,2.0109,2.7616,1.9483,0.8888,21.0,322.2099,319.9338,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (5.2 px),PASS_STRICT,multi-view consistent in 2D and 3D,343.41,NO_USABLE_2D_ANNOTATION,"held-out 2D is absent or the all-(0,0) pattern",EXCLUDE,"2D annotation absent or all-(0,0)",
p41-plant-0004,004,brics-odroid-021_cam0,0,ok,25,9,21,2.9931,4.513,125.655,1,0,1,ok,26,8,21,2.9528,4.4811,124.2966,1,0,1,15.3121,89.0934,8.7985,91.7945,21,21,13.6975,81.7747,2.127,96.0116,5.5504,8.708,5.3108,2.4153,21.0,92.6473,90.4045,4.2523,6.3981,5.3037,1.4522,21.0,92.2856,89.7717,ok,good,good_control,right,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (15.3 px),PASS_STRICT,multi-view consistent in 2D and 3D,68.08,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.8 px),PASS_STRICT,multi-view consistent in 2D and 3D,93.88
p41-plant-0004,004,brics-odroid-012_cam0,0,ok,25,9,21,2.8575,4.5303,124.1875,1,0,1,ok,26,9,21,3.0321,4.6652,126.4666,1,0,1,6.952,77.2596,8.4799,80.1261,21,21,6.2513,74.8323,2.406,75.0994,5.9918,10.5716,8.0432,2.6203,21.0,92.9263,90.3891,4.3807,10.2364,11.7407,2.4418,21.0,92.5985,90.2721,ok,good,good_control,left,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (7.0 px),PASS_STRICT,multi-view consistent in 2D and 3D,68.58,MULTIVIEW_CONFIRMED_GOOD,held-out annotation agrees with the reconstruction (8.5 px),PASS_STRICT,multi-view consistent in 2D and 3D,72.69
