camera,n,pass_strict,pass_single_hand,review,exclude,pass_strict_rate,confirmed_swap,swap_rate
brics-odroid-001_cam0,2706,226,0,170,2310,0.0835,29,0.0107
brics-odroid-001_cam1,2706,1058,0,133,1515,0.391,129,0.0477
brics-odroid-002_cam0,2706,1050,0,207,1449,0.388,22,0.0081
brics-odroid-006_cam0,2706,1666,0,387,653,0.6157,0,0.0
brics-odroid-007_cam0,2706,2035,0,330,341,0.752,5,0.0018
brics-odroid-007_cam1,2706,1896,0,302,508,0.7007,32,0.0118
brics-odroid-008_cam0,2706,203,0,109,2394,0.075,110,0.0407
brics-odroid-009_cam1,2706,1858,0,348,500,0.6866,111,0.041
brics-odroid-010_cam0,2706,1499,0,165,1042,0.554,124,0.0458
brics-odroid-010_cam1,2706,300,0,247,2159,0.1109,220,0.0813
brics-odroid-011_cam0,2706,2059,0,265,382,0.7609,66,0.0244
brics-odroid-012_cam0,2706,1893,0,292,521,0.6996,18,0.0067
brics-odroid-012_cam1,2706,1819,0,175,712,0.6722,5,0.0018
brics-odroid-014_cam1,2706,869,0,319,1518,0.3211,419,0.1548
brics-odroid-015_cam0,2706,1296,0,126,1284,0.4789,3,0.0011
brics-odroid-015_cam1,2706,1889,0,356,461,0.6981,175,0.0647
brics-odroid-016_cam0,2706,1954,0,382,370,0.7221,40,0.0148
brics-odroid-017_cam0,2706,1551,0,379,776,0.5732,7,0.0026
brics-odroid-017_cam1,2706,1838,0,364,504,0.6792,3,0.0011
brics-odroid-019_cam1,2706,683,0,201,1822,0.2524,172,0.0636
brics-odroid-020_cam0,2706,1242,0,214,1250,0.459,183,0.0676
brics-odroid-020_cam1,2706,1234,0,370,1102,0.456,346,0.1279
brics-odroid-021_cam0,2706,1968,0,322,416,0.7273,1,0.0004
brics-odroid-021_cam1,2706,1674,0,231,801,0.6186,124,0.0458
brics-odroid-022_cam0,2706,400,0,46,2260,0.1478,86,0.0318
brics-odroid-022_cam1,2706,1402,0,101,1203,0.5181,0,0.0
brics-odroid-023_cam0,2706,1548,0,343,815,0.5721,0,0.0
brics-odroid-024_cam0,2706,1927,0,391,388,0.7121,0,0.0
brics-odroid-024_cam1,2706,2093,0,321,292,0.7735,0,0.0
brics-odroid-025_cam0,2706,1456,0,317,933,0.5381,33,0.0122
brics-odroid-025_cam1,2706,1894,0,309,503,0.6999,1,0.0004
brics-odroid-026_cam0,2706,563,0,299,1844,0.2081,769,0.2842
brics-odroid-026_cam1,2706,679,0,284,1743,0.2509,703,0.2598
brics-odroid-027_cam0,2706,331,0,190,2185,0.1223,396,0.1463
brics-odroid-027_cam1,2706,14,0,68,2624,0.0052,531,0.1962
brics-odroid-028_cam0,2706,298,0,226,2182,0.1101,242,0.0894
brics-odroid-029_cam0,2706,255,0,215,2236,0.0942,780,0.2882
brics-odroid-029_cam1,2706,639,0,282,1785,0.2361,421,0.1556
brics-odroid-030_cam0,2706,1023,0,157,1526,0.378,113,0.0418
brics-odroid-030_cam1,2706,549,0,293,1864,0.2029,691,0.2554
