key,sequence,camera,frame,status,n_hands,image_width,image_height,pipeline_focal,cache_file
p36-tea-0010__brics-odroid-001_cam1__000021,p36-tea-0010,brics-odroid-001_cam1,21,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000021.npz
p36-tea-0010__brics-odroid-001_cam1__000022,p36-tea-0010,brics-odroid-001_cam1,22,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000022.npz
p36-tea-0010__brics-odroid-001_cam1__000023,p36-tea-0010,brics-odroid-001_cam1,23,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000023.npz
p36-tea-0010__brics-odroid-001_cam1__000024,p36-tea-0010,brics-odroid-001_cam1,24,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000024.npz
p36-tea-0010__brics-odroid-001_cam1__000025,p36-tea-0010,brics-odroid-001_cam1,25,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000025.npz
p36-tea-0010__brics-odroid-001_cam1__000026,p36-tea-0010,brics-odroid-001_cam1,26,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000026.npz
p36-tea-0010__brics-odroid-001_cam1__000027,p36-tea-0010,brics-odroid-001_cam1,27,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000027.npz
p36-tea-0010__brics-odroid-001_cam1__000028,p36-tea-0010,brics-odroid-001_cam1,28,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000028.npz
p36-tea-0010__brics-odroid-001_cam1__000029,p36-tea-0010,brics-odroid-001_cam1,29,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000029.npz
p36-tea-0010__brics-odroid-001_cam1__000030,p36-tea-0010,brics-odroid-001_cam1,30,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-001_cam1__000030.npz
p36-tea-0010__brics-odroid-002_cam0__000020,p36-tea-0010,brics-odroid-002_cam0,20,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000020.npz
p36-tea-0010__brics-odroid-002_cam0__000024,p36-tea-0010,brics-odroid-002_cam0,24,ok,2,1280,720,5000.0,experiments/runs/CAM-EXP-002_camera_focal_sensitivity/cache/hand_inference/p36-tea-0010__brics-odroid-002_cam0__000024.npz
