camera,n_hands,PIPELINE_BASELINE_abs_z_error_mm_median,PIPELINE_BASELINE_root_xyz_error_mm_median,GT_x1.00_abs_z_error_mm_median,GT_x1.00_root_xyz_error_mm_median,GT_x1.10_abs_z_error_mm_median,GT_x1.10_root_xyz_error_mm_median,GT_x0.90_abs_z_error_mm_median,GT_x0.90_root_xyz_error_mm_median
brics-odroid-001_cam1,42,2206.077,2207.68,87.873,109.392,135.758,151.69,40.291,77.93
brics-odroid-002_cam0,80,2045.37,2045.728,81.763,104.817,124.834,136.699,40.93,80.245
brics-odroid-006_cam0,78,2098.82,2099.106,49.419,82.774,33.873,68.227,113.168,128.172
brics-odroid-007_cam0,93,3764.696,3765.853,35.963,72.549,88.564,122.692,72.567,105.852
brics-odroid-007_cam1,96,2544.896,2545.235,33.896,61.776,82.1,94.112,66.169,75.874
brics-odroid-008_cam0,30,2332.312,2332.689,76.304,81.697,118.436,121.979,49.425,52.926
brics-odroid-009_cam1,68,3543.275,3543.64,79.931,107.332,130.793,138.939,84.834,106.79
brics-odroid-010_cam0,66,1871.967,1872.57,53.714,65.287,51.878,62.639,117.298,120.626
brics-odroid-011_cam0,72,3935.629,3935.765,80.827,87.976,83.052,90.251,154.881,155.009
brics-odroid-012_cam0,66,4402.889,4402.995,93.097,96.52,82.947,88.356,176.167,178.242
brics-odroid-012_cam1,87,3550.345,3550.536,57.072,67.18,99.754,105.268,106.965,115.061
brics-odroid-014_cam1,40,3506.324,3506.391,92.746,96.575,66.898,72.553,173.334,175.101
brics-odroid-015_cam0,56,3053.539,3053.653,86.64,89.698,60.983,63.666,160.981,162.652
brics-odroid-015_cam1,66,3140.628,3141.312,114.588,123.246,65.042,94.016,186.517,189.95
brics-odroid-016_cam0,82,3747.627,3747.891,75.445,132.25,59.818,127.737,137.73,170.964
brics-odroid-017_cam0,70,2510.297,2511.042,50.776,79.944,97.147,113.923,61.798,87.413
brics-odroid-017_cam1,74,2791.43,2792.021,71.255,98.236,56.681,97.633,154.996,170.218
brics-odroid-019_cam1,56,1851.766,1852.405,38.01,56.505,39.605,58.101,77.07,82.207
brics-odroid-020_cam0,45,2797.015,2797.453,66.877,89.293,71.975,72.573,102.769,107.079
brics-odroid-020_cam1,58,3247.403,3247.467,85.455,113.466,47.441,72.539,144.767,146.273
brics-odroid-021_cam0,96,2610.383,2611.147,46.415,77.952,60.901,92.052,77.204,102.024
brics-odroid-021_cam1,62,4136.584,4136.616,81.364,90.837,92.614,95.386,106.109,107.595
brics-odroid-022_cam0,37,3808.46,3808.608,36.393,56.195,84.249,89.846,88.237,94.485
brics-odroid-022_cam1,53,3838.327,3838.343,48.948,53.023,94.104,99.767,93.088,98.909
brics-odroid-023_cam0,88,2448.247,2448.401,77.846,81.544,43.325,58.097,101.576,105.206
brics-odroid-024_cam0,94,2298.128,2298.778,39.271,65.851,24.946,60.606,85.007,99.335
brics-odroid-024_cam1,65,2582.892,2583.248,47.325,62.651,32.501,67.893,100.021,107.303
brics-odroid-025_cam0,74,1987.544,1988.659,45.917,66.569,35.507,63.856,89.181,101.724
brics-odroid-025_cam1,93,2526.707,2526.715,75.344,79.942,55.51,69.828,97.596,97.813
brics-odroid-026_cam0,7,3353.864,3355.166,22.868,95.638,55.086,108.495,97.515,133.322
brics-odroid-026_cam1,48,2354.674,2355.065,48.551,57.481,24.05,49.596,78.626,91.567
brics-odroid-027_cam0,8,3042.431,3042.458,71.004,72.569,58.049,63.66,138.709,139.517
brics-odroid-028_cam0,29,2395.2,2395.466,29.835,46.205,83.372,91.114,26.224,41.475
brics-odroid-029_cam0,18,2623.968,2624.453,44.064,64.94,21.894,55.147,101.745,114.102
brics-odroid-029_cam1,32,2330.05,2330.282,33.71,42.764,74.792,83.48,34.003,50.76
brics-odroid-030_cam0,55,2280.614,2281.185,34.674,58.661,33.307,65.597,78.067,90.034
brics-odroid-030_cam1,26,1650.957,1651.333,32.15,35.899,70.179,71.721,18.729,35.302
