sequence,camera,frame,hand,condition,alpha,pipeline_focal,gt_native_fx,gt_native_fy,gt_effective_focal,focal_used_px,bbox_size,pred_cam_scale,detector_score,pred_is_right,pred_root_x,pred_root_y,pred_root_z,ref_root_x,ref_root_y,ref_root_z,signed_z_error_mm,abs_z_error_mm,root_xyz_error_mm,absolute_mpjpe_mm,root_aligned_mpjpe_mm,delta_from_gt_focal_z_mm,delta_from_gt_focal_root_mm,delta_from_gt_focal_joint_mm,pred_z_ratio_vs_alpha1
p36-tea-0010,brics-odroid-001_cam1,21,right,PIPELINE_BASELINE,,5000.0,918.3541,916.5334,918.3541,5000.0,295.0,10.084738,0.8293,1,0.431677,0.088145,3.367548,0.459188,0.140058,0.448386,2919.162,2919.162,2919.753,2859.151,63.724,2743.966,2743.966,2743.966,5.444523
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x0.80,0.8,5000.0,918.3541,916.5334,918.3541,734.6833,295.0,10.084738,0.8293,1,0.431677,0.088145,0.500106,0.459188,0.140058,0.448386,51.72,51.72,78.273,67.2,63.724,-123.476,123.476,123.476,0.8
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x0.90,0.9,5000.0,918.3541,916.5334,918.3541,826.5187,295.0,10.084738,0.8293,1,0.431677,0.088145,0.561844,0.459188,0.140058,0.448386,113.458,113.458,127.767,83.352,63.724,-61.738,61.738,61.738,0.9
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x0.95,0.95,5000.0,918.3541,916.5334,918.3541,872.4364,295.0,10.084738,0.8293,1,0.431677,0.088145,0.592713,0.459188,0.140058,0.448386,144.327,144.327,155.827,105.094,63.724,-30.869,30.869,30.869,0.95
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x1.00,1.0,5000.0,918.3541,916.5334,918.3541,918.3541,295.0,10.084738,0.8293,1,0.431677,0.088145,0.623582,0.459188,0.140058,0.448386,175.196,175.196,184.785,130.793,63.724,0.0,0.0,0.0,1.0
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x1.05,1.05,5000.0,918.3541,916.5334,918.3541,964.2718,295.0,10.084738,0.8293,1,0.431677,0.088145,0.654451,0.459188,0.140058,0.448386,206.065,206.065,214.277,158.439,63.724,30.869,30.869,30.869,1.05
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x1.10,1.1,5000.0,918.3541,916.5334,918.3541,1010.1895,295.0,10.084738,0.8293,1,0.431677,0.088145,0.68532,0.459188,0.140058,0.448386,236.934,236.934,244.11,187.13,63.724,61.738,61.738,61.738,1.1
p36-tea-0010,brics-odroid-001_cam1,21,right,GT_x1.20,1.2,5000.0,918.3541,916.5334,918.3541,1102.0249,295.0,10.084738,0.8293,1,0.431677,0.088145,0.747058,0.459188,0.140058,0.448386,298.673,298.673,304.396,246.128,63.724,123.476,123.476,123.476,1.2
p36-tea-0010,brics-odroid-001_cam1,22,right,PIPELINE_BASELINE,,5000.0,918.3541,916.5334,918.3541,5000.0,278.0,10.819468,0.8337,1,0.421824,0.071707,3.330981,0.447408,0.121206,0.449271,2881.709,2881.709,2882.248,2821.196,63.824,2714.03,2714.03,2714.03,5.444523
p36-tea-0010,brics-odroid-001_cam1,22,right,GT_x0.80,0.8,5000.0,918.3541,916.5334,918.3541,734.6833,278.0,10.819468,0.8337,1,0.421824,0.071707,0.494822,0.447408,0.121206,0.449271,45.55,45.55,71.969,65.915,63.824,-122.129,122.129,122.129,0.8
