model_run,condition,n_attempted,n_success,failure_rate,focal_error_pct_mean,focal_error_pct_median,focal_error_pct_p90,focal_error_pct_p95,within_5pct_rate,within_10pct_rate,within_20pct_rate,signed_focal_error_pct_median,hfov_error_deg_median,principal_point_error_px_median,runtime_ms_median,pred_k1_median
anycalib (CAM-EXP-003),A_RAW_PINHOLE,1400,1400,0.0,17.975,16.3102,32.8083,42.9886,0.1143,0.2571,0.64,15.6222,7.9256,32.089,85.963,NOT_PREDICTED
geocalib (CAM-EXP-003),A_RAW_PINHOLE,1400,1400,0.0,43.0738,24.9645,77.1819,102.8058,0.115,0.2386,0.4286,16.3656,12.5094,NOT_PREDICTED,369.7035,NOT_PREDICTED
pf_centered (CAM-EXP-003),A_RAW_PINHOLE,1400,1400,0.0,22.033,20.8152,39.1492,48.1867,0.1029,0.2143,0.4757,-11.5702,11.5659,NOT_PREDICTED,49.5275,NOT_PREDICTED
pf_uncentered (CAM-EXP-003),A_RAW_PINHOLE,1400,1400,0.0,30.5275,23.5346,66.2629,81.124,0.1114,0.2257,0.4364,22.7316,11.1887,163.225,71.987,NOT_PREDICTED
anycalib_dist_radial,B_RAW_DISTORTION_AWARE,1400,1400,0.0,11.634,11.1222,19.8832,22.7442,0.1607,0.4157,0.9036,-11.1095,6.4249,33.287,235.226,-0.30891
anycalib_gen_radial,B_RAW_DISTORTION_AWARE,1400,1400,0.0,10.3089,9.5455,18.553,20.7194,0.2014,0.5321,0.9414,-9.2976,5.4512,32.572,237.5565,-0.31206
geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,1400,1400,0.0,32.3166,12.1619,49.3475,77.5808,0.2179,0.4164,0.7014,6.5572,6.2921,NOT_PREDICTED,552.5705,-0.36856
undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,1400,1400,0.0,11.4241,10.3958,21.9184,25.6294,0.2064,0.4793,0.8564,9.8255,5.6546,39.972,142.329,NOT_PREDICTED
undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,1400,1400,0.0,24.5802,12.9518,39.5945,56.995,0.2207,0.4114,0.6843,0.0271,7.3122,NOT_PREDICTED,267.7755,NOT_PREDICTED
undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,1400,1400,0.0,29.8174,28.8372,50.4225,56.465,0.0564,0.1307,0.2993,-26.2515,18.5795,NOT_PREDICTED,50.21,NOT_PREDICTED
undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,1400,1400,0.0,19.1405,16.4405,37.2917,42.2209,0.1721,0.315,0.5779,-13.1565,10.0083,120.748,56.9235,NOT_PREDICTED
