camera,model_run,condition,n,pinhole_median_pct,new_median_pct,improvement_pct_points,gt_abs_k1_median
brics-odroid-001_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,23.193,17.5983,5.5947,0.39371
brics-odroid-001_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,19.4754,10.9672,8.5083,0.3887
brics-odroid-002_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,18.7961,6.2359,12.5602,0.41336
brics-odroid-006_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,14.2902,7.4965,6.7937,0.38405
brics-odroid-007_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,21.3239,4.3698,16.9541,0.40571
brics-odroid-007_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,17.9889,10.9346,7.0543,0.40225
brics-odroid-008_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,29.8517,1.5275,28.3242,0.41066
brics-odroid-009_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,7.6902,10.4866,-2.7963,0.43068
brics-odroid-010_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,7.883,4.726,3.157,0.3813
brics-odroid-010_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,9.6361,14.848,-5.2118,0.38498
brics-odroid-011_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,22.561,7.8605,14.7005,0.37314
brics-odroid-012_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,16.8169,8.3405,8.4764,0.39814
brics-odroid-012_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,13.6861,12.7385,0.9476,0.38321
brics-odroid-014_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,9.1575,11.5654,-2.4079,0.42585
brics-odroid-015_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,11.4483,9.8599,1.5884,0.38134
brics-odroid-015_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,2.5213,16.3743,-13.853,0.38242
brics-odroid-016_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,50.3933,8.4784,41.9149,0.39464
brics-odroid-017_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,12.6108,10.7723,1.8385,0.41632
brics-odroid-017_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,21.7221,10.4149,11.3072,0.38186
brics-odroid-019_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,22.7355,8.0608,14.6746,0.39848
brics-odroid-020_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,8.3433,11.7668,-3.4235,0.34205
brics-odroid-020_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,12.7654,13.5513,-0.7859,0.39466
brics-odroid-021_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,19.3604,12.5788,6.7815,0.41366
brics-odroid-021_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,24.3376,11.0069,13.3308,0.39157
brics-odroid-022_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,20.9271,2.633,18.2941,0.36883
brics-odroid-022_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,9.0886,10.9194,-1.8308,0.38285
brics-odroid-023_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,10.062,9.2435,0.8185,0.34333
brics-odroid-024_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,7.1144,15.3224,-8.2081,0.40192
brics-odroid-024_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,11.8567,12.7066,-0.8499,0.41603
brics-odroid-025_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,20.9509,31.2233,-10.2725,0.38802
brics-odroid-025_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,7.4333,9.8719,-2.4386,0.38322
brics-odroid-026_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,26.3528,13.5317,12.8211,0.4042
brics-odroid-026_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,16.9265,8.6881,8.2384,0.39975
brics-odroid-027_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,11.5696,3.3348,8.2348,0.37324
brics-odroid-027_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,12.0405,18.9569,-6.9163,0.4011
brics-odroid-028_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,28.3311,14.3771,13.954,0.37556
brics-odroid-029_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,28.7357,11.6519,17.0838,0.39497
brics-odroid-029_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,32,22.045,14.4819,7.5631,0.39606
brics-odroid-030_cam0,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,11.6829,21.2834,-9.6005,0.42761
brics-odroid-030_cam1,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,40,10.747,14.3658,-3.6188,0.38266
brics-odroid-001_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,23.193,16.7247,6.4683,0.39371
brics-odroid-001_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,19.4754,9.0557,10.4197,0.3887
brics-odroid-002_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,18.7961,4.6047,14.1914,0.41336
brics-odroid-006_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,14.2902,8.1769,6.1133,0.38405
brics-odroid-007_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,21.3239,5.2933,16.0305,0.40571
brics-odroid-007_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,17.9889,8.3407,9.6482,0.40225
brics-odroid-008_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,29.8517,1.1878,28.6639,0.41066
brics-odroid-009_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,7.6902,16.0398,-8.3496,0.43068
brics-odroid-010_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,7.883,6.143,1.74,0.3813
brics-odroid-010_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,9.6361,13.3039,-3.6678,0.38498
brics-odroid-011_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,22.561,8.3595,14.2015,0.37314
brics-odroid-012_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,16.8169,9.3753,7.4417,0.39814
brics-odroid-012_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,13.6861,8.7804,4.9057,0.38321
brics-odroid-014_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,9.1575,11.4784,-2.3209,0.42585
brics-odroid-015_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,11.4483,8.5042,2.944,0.38134
brics-odroid-015_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,2.5213,14.7026,-12.1813,0.38242
brics-odroid-016_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,50.3933,5.7083,44.685,0.39464
brics-odroid-017_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,12.6108,6.2176,6.3932,0.41632
brics-odroid-017_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,21.7221,6.6271,15.095,0.38186
brics-odroid-019_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,22.7355,2.3956,20.3399,0.39848
brics-odroid-020_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,8.3433,10.8733,-2.53,0.34205
brics-odroid-020_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,12.7654,9.6151,3.1503,0.39466
brics-odroid-021_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,19.3604,12.8488,6.5116,0.41366
brics-odroid-021_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,24.3376,13.9695,10.3681,0.39157
brics-odroid-022_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,20.9271,8.9806,11.9465,0.36883
brics-odroid-022_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,9.0886,11.3083,-2.2197,0.38285
brics-odroid-023_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,10.062,5.6845,4.3775,0.34333
brics-odroid-024_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,7.1144,11.9628,-4.8485,0.40192
brics-odroid-024_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,11.8567,11.548,0.3087,0.41603
brics-odroid-025_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,20.9509,25.2665,-4.3157,0.38802
brics-odroid-025_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,7.4333,7.5333,-0.1,0.38322
brics-odroid-026_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,26.3528,7.4221,18.9307,0.4042
brics-odroid-026_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,16.9265,5.6956,11.2309,0.39975
brics-odroid-027_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,11.5696,3.8171,7.7526,0.37324
brics-odroid-027_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,12.0405,13.8024,-1.7618,0.4011
brics-odroid-028_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,28.3311,9.5186,18.8125,0.37556
brics-odroid-029_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,28.7357,10.5888,18.1469,0.39497
brics-odroid-029_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,32,22.045,9.6256,12.4194,0.39606
brics-odroid-030_cam0,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,11.6829,18.0728,-6.3898,0.42761
brics-odroid-030_cam1,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,40,10.747,15.7589,-5.0119,0.38266
brics-odroid-001_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,4.6968,7.7261,-3.0294,0.39371
brics-odroid-001_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,16.8815,4.8106,12.0708,0.3887
brics-odroid-002_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,8.4928,10.112,-1.6193,0.41336
brics-odroid-006_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,30.3094,9.5089,20.8005,0.38405
brics-odroid-007_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,79.3495,24.7664,54.5831,0.40571
brics-odroid-007_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,33.9437,11.1531,22.7906,0.40225
brics-odroid-008_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,88.2641,12.165,76.099,0.41066
brics-odroid-009_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,32.3728,20.3493,12.0235,0.43068
brics-odroid-010_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,15.215,9.2954,5.9196,0.3813
brics-odroid-010_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,12.1972,23.9175,-11.7203,0.38498
brics-odroid-011_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,62.7567,15.6225,47.1342,0.37314
brics-odroid-012_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,22.1569,5.8377,16.3191,0.39814
brics-odroid-012_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,31.1404,9.2866,21.8538,0.38321
brics-odroid-014_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,18.6125,8.9838,9.6286,0.42585
brics-odroid-015_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,108.7826,5.5457,103.237,0.38134
brics-odroid-015_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,24.7,8.6029,16.0971,0.38242
brics-odroid-016_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,46.0007,7.0448,38.9559,0.39464
brics-odroid-017_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,64.3683,5.8514,58.5169,0.41632
brics-odroid-017_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,31.301,13.1153,18.1857,0.38186
brics-odroid-019_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,53.8559,28.2482,25.6077,0.39848
brics-odroid-020_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,23.5907,22.177,1.4137,0.34205
brics-odroid-020_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,27.4444,17.3892,10.0552,0.39466
brics-odroid-021_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,20.9891,11.3076,9.6815,0.41366
brics-odroid-021_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,10.4371,5.549,4.8881,0.39157
brics-odroid-022_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,13.8783,19.2194,-5.3412,0.36883
brics-odroid-022_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,21.8225,21.2039,0.6186,0.38285
brics-odroid-023_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,35.8301,5.9081,29.9219,0.34333
brics-odroid-024_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,17.4339,57.0102,-39.5764,0.40192
brics-odroid-024_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,20.7552,9.8316,10.9236,0.41603
brics-odroid-025_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,23.3657,12.1962,11.1695,0.38802
brics-odroid-025_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,70.5966,20.8788,49.7178,0.38322
brics-odroid-026_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,8.1569,6.7248,1.4321,0.4042
brics-odroid-026_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,24.4621,22.0587,2.4034,0.39975
brics-odroid-027_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,6.7136,11.4588,-4.7452,0.37324
brics-odroid-027_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,9.7521,18.2296,-8.4775,0.4011
brics-odroid-028_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,17.473,18.5905,-1.1175,0.37556
brics-odroid-029_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,57.3721,25.4996,31.8726,0.39497
brics-odroid-029_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,32,18.2558,11.6356,6.6203,0.39606
brics-odroid-030_cam0,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,9.2612,13.1266,-3.8654,0.42761
brics-odroid-030_cam1,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,40,9.6905,8.7283,0.9622,0.38266
brics-odroid-001_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,23.193,20.2965,2.8965,0.39371
brics-odroid-001_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,19.4754,12.2015,7.2739,0.3887
brics-odroid-002_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,18.7961,13.0242,5.7719,0.41336
brics-odroid-006_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,14.2902,20.104,-5.8138,0.38405
brics-odroid-007_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,21.3239,6.686,14.6379,0.40571
brics-odroid-007_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,17.9889,15.8525,2.1364,0.40225
brics-odroid-008_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,29.8517,20.3901,9.4616,0.41066
brics-odroid-009_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,7.6902,1.9621,5.7281,0.43068
brics-odroid-010_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,7.883,6.0947,1.7883,0.3813
brics-odroid-010_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,9.6361,17.8065,-8.1704,0.38498
brics-odroid-011_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,22.561,15.1202,7.4408,0.37314
brics-odroid-012_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,16.8169,8.1212,8.6957,0.39814
brics-odroid-012_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,13.6861,9.5845,4.1016,0.38321
brics-odroid-014_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,9.1575,9.123,0.0345,0.42585
brics-odroid-015_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,11.4483,17.0155,-5.5673,0.38134
brics-odroid-015_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,2.5213,2.0092,0.5121,0.38242
brics-odroid-016_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,50.3933,22.6326,27.7606,0.39464
brics-odroid-017_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,12.6108,8.4617,4.1491,0.41632
brics-odroid-017_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,21.7221,12.8046,8.9175,0.38186
brics-odroid-019_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,22.7355,19.4336,3.3019,0.39848
brics-odroid-020_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,8.3433,3.1559,5.1874,0.34205
brics-odroid-020_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,12.7654,6.0427,6.7227,0.39466
brics-odroid-021_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,19.3604,12.5768,6.7836,0.41366
brics-odroid-021_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,24.3376,12.2991,12.0385,0.39157
brics-odroid-022_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,20.9271,15.214,5.7131,0.36883
brics-odroid-022_cam1,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,32,9.0886,11.9367,-2.8481,0.38285
brics-odroid-023_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,10.062,12.9864,-2.9244,0.34333
brics-odroid-024_cam0,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,40,7.1144,4.1693,2.9451,0.40192
