sequence,model_run,condition,n,pinhole_median_pct,new_median_pct,improvement_pct_points,gt_abs_k1_median
p36-tea-0010,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,320,18.7469,10.9405,7.8065,0.39418
p41-boxing-0021,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,320,15.486,10.3476,5.1384,0.39418
p41-plant-0004,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,320,17.5191,11.7564,5.7627,0.39418
p44-dog-0004,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,320,13.9094,12.6109,1.2985,0.38421
p52-instrument-0034,anycalib_dist_radial,B_RAW_DISTORTION_AWARE,120,15.093,9.6178,5.4752,0.39928
p36-tea-0010,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,320,18.7469,9.1518,9.5951,0.39418
p41-boxing-0021,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,320,15.486,8.476,7.01,0.39418
p41-plant-0004,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,320,17.5191,10.5924,6.9267,0.39418
p44-dog-0004,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,320,13.9094,11.5479,2.3615,0.38421
p52-instrument-0034,anycalib_gen_radial,B_RAW_DISTORTION_AWARE,120,15.093,7.7912,7.3018,0.39928
p36-tea-0010,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,320,21.0187,15.0507,5.968,0.39418
p41-boxing-0021,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,320,19.8575,9.9663,9.8913,0.39418
p41-plant-0004,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,320,31.5985,12.579,19.0195,0.39418
p44-dog-0004,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,320,30.5522,11.7779,18.7743,0.38421
p52-instrument-0034,geocalib_distorted_radial,B_RAW_DISTORTION_AWARE,120,14.6919,18.7083,-4.0164,0.39928
p36-tea-0010,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,18.7469,11.4659,7.281,0.39418
p41-boxing-0021,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,15.486,9.7774,5.7086,0.39418
p41-plant-0004,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,17.5191,11.5229,5.9962,0.39418
p44-dog-0004,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,13.9094,9.5897,4.3197,0.38421
p52-instrument-0034,undist_anycalib_pinhole,C_GT_UNDISTORTED_PINHOLE,120,15.093,10.243,4.8501,0.39928
p36-tea-0010,undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,21.0187,15.6816,5.3371,0.39418
p41-boxing-0021,undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,19.8575,14.07,5.7876,0.39418
p41-plant-0004,undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,31.5985,14.0563,17.5422,0.39418
p44-dog-0004,undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,320,30.5522,11.4617,19.0905,0.38421
p52-instrument-0034,undist_geocalib_pinhole,C_GT_UNDISTORTED_PINHOLE,120,14.6919,8.1416,6.5503,0.39928
p36-tea-0010,undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,320,15.5501,29.558,-14.008,0.39418
p41-boxing-0021,undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,320,19.9552,28.4584,-8.5032,0.39418
p41-plant-0004,undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,320,23.823,30.9445,-7.1215,0.39418
p44-dog-0004,undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,320,24.6939,24.3576,0.3363,0.38421
p52-instrument-0034,undist_pf_centered,C_GT_UNDISTORTED_PINHOLE,120,21.256,34.4613,-13.2053,0.39928
p36-tea-0010,undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,320,29.0876,17.8218,11.2658,0.39418
p41-boxing-0021,undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,320,30.4564,16.0349,14.4215,0.39418
p41-plant-0004,undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,320,13.5578,14.6363,-1.0785,0.39418
p44-dog-0004,undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,320,21.8703,17.7656,4.1047,0.38421
p52-instrument-0034,undist_pf_uncentered,C_GT_UNDISTORTED_PINHOLE,120,30.7477,19.6929,11.0548,0.39928
