rank,sequence,camera
0,p36-tea-0010,brics-odroid-015_cam0
1,p41-boxing-0021,brics-odroid-029_cam0
2,p41-plant-0004,brics-odroid-007_cam1
3,p44-dog-0004,brics-odroid-006_cam0
4,p52-instrument-0034,brics-odroid-030_cam0
5,p36-tea-0010,brics-odroid-019_cam1
6,p41-boxing-0021,brics-odroid-015_cam0
7,p41-plant-0004,brics-odroid-015_cam0
8,p44-dog-0004,brics-odroid-019_cam1
9,p52-instrument-0034,brics-odroid-015_cam1
10,p36-tea-0010,brics-odroid-006_cam0
11,p41-boxing-0021,brics-odroid-027_cam0
12,p41-plant-0004,brics-odroid-015_cam1
13,p44-dog-0004,brics-odroid-014_cam1
14,p52-instrument-0034,brics-odroid-027_cam1
15,p36-tea-0010,brics-odroid-029_cam1
16,p41-boxing-0021,brics-odroid-007_cam0
17,p41-plant-0004,brics-odroid-030_cam1
18,p44-dog-0004,brics-odroid-027_cam0
19,p52-instrument-0034,brics-odroid-024_cam0
20,p36-tea-0010,brics-odroid-024_cam1
21,p41-boxing-0021,brics-odroid-014_cam1
22,p41-plant-0004,brics-odroid-010_cam0
23,p44-dog-0004,brics-odroid-025_cam1
24,p52-instrument-0034,brics-odroid-012_cam1
25,p36-tea-0010,brics-odroid-001_cam0
26,p41-boxing-0021,brics-odroid-022_cam1
27,p41-plant-0004,brics-odroid-024_cam1
28,p44-dog-0004,brics-odroid-028_cam0
29,p52-instrument-0034,brics-odroid-030_cam1
30,p36-tea-0010,brics-odroid-023_cam0
31,p41-boxing-0021,brics-odroid-028_cam0
32,p41-plant-0004,brics-odroid-012_cam1
33,p44-dog-0004,brics-odroid-012_cam0
34,p52-instrument-0034,brics-odroid-025_cam1
35,p36-tea-0010,brics-odroid-014_cam1
36,p41-boxing-0021,brics-odroid-024_cam1
37,p41-plant-0004,brics-odroid-020_cam1
38,p44-dog-0004,brics-odroid-030_cam1
39,p52-instrument-0034,brics-odroid-028_cam0
40,p36-tea-0010,brics-odroid-017_cam0
41,p41-boxing-0021,brics-odroid-010_cam1
42,p41-plant-0004,brics-odroid-016_cam0
43,p44-dog-0004,brics-odroid-012_cam1
44,p52-instrument-0034,brics-odroid-027_cam0
45,p36-tea-0010,brics-odroid-022_cam1
46,p41-boxing-0021,brics-odroid-021_cam0
47,p41-plant-0004,brics-odroid-026_cam1
48,p44-dog-0004,brics-odroid-007_cam0
49,p52-instrument-0034,brics-odroid-021_cam0
50,p36-tea-0010,brics-odroid-009_cam1
51,p41-boxing-0021,brics-odroid-017_cam0
52,p41-plant-0004,brics-odroid-017_cam1
53,p44-dog-0004,brics-odroid-021_cam0
54,p52-instrument-0034,brics-odroid-007_cam0
55,p36-tea-0010,brics-odroid-020_cam1
56,p41-boxing-0021,brics-odroid-019_cam1
57,p41-plant-0004,brics-odroid-025_cam0
58,p44-dog-0004,brics-odroid-027_cam1
59,p52-instrument-0034,brics-odroid-023_cam0
60,p36-tea-0010,brics-odroid-026_cam0
61,p41-boxing-0021,brics-odroid-017_cam1
62,p41-plant-0004,brics-odroid-002_cam0
63,p44-dog-0004,brics-odroid-029_cam1
64,p52-instrument-0034,brics-odroid-016_cam0
65,p36-tea-0010,brics-odroid-025_cam1
66,p41-boxing-0021,brics-odroid-021_cam1
67,p41-plant-0004,brics-odroid-024_cam0
68,p44-dog-0004,brics-odroid-024_cam1
69,p52-instrument-0034,brics-odroid-007_cam1
70,p36-tea-0010,brics-odroid-029_cam0
71,p41-boxing-0021,brics-odroid-009_cam1
72,p41-plant-0004,brics-odroid-025_cam1
73,p44-dog-0004,brics-odroid-026_cam0
74,p52-instrument-0034,brics-odroid-002_cam0
75,p36-tea-0010,brics-odroid-007_cam1
76,p41-boxing-0021,brics-odroid-030_cam0
77,p41-plant-0004,brics-odroid-030_cam0
78,p44-dog-0004,brics-odroid-010_cam1
79,p36-tea-0010,brics-odroid-002_cam0
80,p41-boxing-0021,brics-odroid-016_cam0
81,p41-plant-0004,brics-odroid-010_cam1
82,p44-dog-0004,brics-odroid-021_cam1
83,p36-tea-0010,brics-odroid-027_cam1
84,p41-boxing-0021,brics-odroid-027_cam1
85,p41-plant-0004,brics-odroid-006_cam0
86,p44-dog-0004,brics-odroid-017_cam0
87,p36-tea-0010,brics-odroid-011_cam0
88,p41-boxing-0021,brics-odroid-023_cam0
89,p41-plant-0004,brics-odroid-001_cam1
90,p44-dog-0004,brics-odroid-030_cam0
91,p36-tea-0010,brics-odroid-017_cam1
92,p41-boxing-0021,brics-odroid-029_cam1
93,p41-plant-0004,brics-odroid-001_cam0
94,p44-dog-0004,brics-odroid-017_cam1
95,p36-tea-0010,brics-odroid-001_cam1
96,p41-boxing-0021,brics-odroid-012_cam0
97,p41-plant-0004,brics-odroid-011_cam0
98,p44-dog-0004,brics-odroid-023_cam0
99,p36-tea-0010,brics-odroid-026_cam1
100,p41-boxing-0021,brics-odroid-024_cam0
101,p41-plant-0004,brics-odroid-008_cam0
102,p44-dog-0004,brics-odroid-020_cam1
103,p36-tea-0010,brics-odroid-028_cam0
104,p41-boxing-0021,brics-odroid-026_cam1
105,p41-plant-0004,brics-odroid-007_cam0
106,p44-dog-0004,brics-odroid-009_cam1
107,p36-tea-0010,brics-odroid-016_cam0
108,p41-boxing-0021,brics-odroid-001_cam0
109,p41-plant-0004,brics-odroid-027_cam0
110,p44-dog-0004,brics-odroid-011_cam0
111,p36-tea-0010,brics-odroid-022_cam0
112,p41-boxing-0021,brics-odroid-020_cam1
113,p41-plant-0004,brics-odroid-029_cam0
114,p44-dog-0004,brics-odroid-026_cam1
115,p36-tea-0010,brics-odroid-030_cam1
116,p41-boxing-0021,brics-odroid-006_cam0
117,p41-plant-0004,brics-odroid-028_cam0
118,p44-dog-0004,brics-odroid-010_cam0
119,p36-tea-0010,brics-odroid-027_cam0
120,p41-boxing-0021,brics-odroid-011_cam0
121,p41-plant-0004,brics-odroid-012_cam0
122,p44-dog-0004,brics-odroid-025_cam0
123,p36-tea-0010,brics-odroid-015_cam1
124,p41-boxing-0021,brics-odroid-015_cam1
125,p41-plant-0004,brics-odroid-027_cam1
126,p44-dog-0004,brics-odroid-002_cam0
127,p36-tea-0010,brics-odroid-021_cam1
128,p41-boxing-0021,brics-odroid-001_cam1
129,p41-plant-0004,brics-odroid-021_cam0
130,p44-dog-0004,brics-odroid-020_cam0
131,p36-tea-0010,brics-odroid-025_cam0
132,p41-boxing-0021,brics-odroid-020_cam0
133,p41-plant-0004,brics-odroid-026_cam0
134,p44-dog-0004,brics-odroid-007_cam1
135,p36-tea-0010,brics-odroid-008_cam0
136,p41-boxing-0021,brics-odroid-012_cam1
137,p41-plant-0004,brics-odroid-009_cam1
138,p44-dog-0004,brics-odroid-022_cam1
139,p36-tea-0010,brics-odroid-012_cam1
140,p41-boxing-0021,brics-odroid-025_cam1
141,p41-plant-0004,brics-odroid-029_cam1
142,p44-dog-0004,brics-odroid-029_cam0
143,p36-tea-0010,brics-odroid-024_cam0
144,p41-boxing-0021,brics-odroid-022_cam0
145,p41-plant-0004,brics-odroid-022_cam1
146,p44-dog-0004,brics-odroid-016_cam0
147,p36-tea-0010,brics-odroid-012_cam0
148,p41-boxing-0021,brics-odroid-010_cam0
149,p41-plant-0004,brics-odroid-014_cam1
150,p44-dog-0004,brics-odroid-015_cam1
151,p36-tea-0010,brics-odroid-007_cam0
152,p41-boxing-0021,brics-odroid-007_cam1
153,p41-plant-0004,brics-odroid-019_cam1
154,p44-dog-0004,brics-odroid-008_cam0
155,p36-tea-0010,brics-odroid-021_cam0
156,p41-boxing-0021,brics-odroid-030_cam1
157,p41-plant-0004,brics-odroid-020_cam0
158,p44-dog-0004,brics-odroid-001_cam1
159,p36-tea-0010,brics-odroid-030_cam0
160,p41-boxing-0021,brics-odroid-002_cam0
161,p41-plant-0004,brics-odroid-021_cam1
162,p44-dog-0004,brics-odroid-022_cam0
163,p36-tea-0010,brics-odroid-010_cam1
164,p41-boxing-0021,brics-odroid-008_cam0
165,p41-plant-0004,brics-odroid-022_cam0
166,p44-dog-0004,brics-odroid-024_cam0
167,p36-tea-0010,brics-odroid-010_cam0
168,p41-boxing-0021,brics-odroid-025_cam0
169,p41-plant-0004,brics-odroid-017_cam0
170,p44-dog-0004,brics-odroid-001_cam0
171,p36-tea-0010,brics-odroid-020_cam0
172,p41-boxing-0021,brics-odroid-026_cam0
173,p41-plant-0004,brics-odroid-023_cam0
174,p44-dog-0004,brics-odroid-015_cam0
