sequence,camera,n_valid_frames,n_grid,n_old_frames,n_old_recovered_on_grid,old_8_is_exact_subset_of_64,n_8,n_16,n_32,n_64,nested_ok
p36-tea-0010,brics-odroid-001_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-001_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-002_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-006_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-007_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-007_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-008_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-009_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-010_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-010_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-011_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-012_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-012_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-014_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-015_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-015_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-016_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-017_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-017_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-019_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-020_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-020_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-021_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-021_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-022_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-022_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-023_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-024_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-024_cam1,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-025_cam0,359,64,8,8,1,8,16,32,64,1
p36-tea-0010,brics-odroid-025_cam1,359,64,8,8,1,8,16,32,64,1
