camera,model,N,n_views,median_rel_err_pct
brics-odroid-001_cam0,anycalib_gen,1,4,16.231369483556218
brics-odroid-001_cam0,anycalib_gen,2,4,16.231369483556218
brics-odroid-001_cam0,anycalib_gen,4,4,16.240593497018494
brics-odroid-001_cam0,anycalib_gen,8,4,16.144627112314303
brics-odroid-001_cam0,geocalib_distorted,1,4,7.323144481256821
brics-odroid-001_cam0,geocalib_distorted,2,4,7.323144481256821
brics-odroid-001_cam0,geocalib_distorted,4,4,7.549956660689014
brics-odroid-001_cam0,geocalib_distorted,8,4,7.535547681931804
brics-odroid-001_cam0,pf_uncentered,1,4,21.854143641302056
brics-odroid-001_cam0,pf_uncentered,2,4,20.74313230121571
brics-odroid-001_cam0,pf_uncentered,4,4,20.097200145434346
brics-odroid-001_cam0,pf_uncentered,8,4,20.81855537225841
brics-odroid-001_cam1,anycalib_gen,1,4,9.02352976616039
brics-odroid-001_cam1,anycalib_gen,2,4,9.02352976616039
brics-odroid-001_cam1,anycalib_gen,4,4,8.812824516831329
brics-odroid-001_cam1,anycalib_gen,8,4,8.772417568659346
brics-odroid-001_cam1,geocalib_distorted,1,4,5.1215758187104505
brics-odroid-001_cam1,geocalib_distorted,2,4,5.1215758187104505
brics-odroid-001_cam1,geocalib_distorted,4,4,4.9720252327946195
brics-odroid-001_cam1,geocalib_distorted,8,4,4.775070722377361
brics-odroid-001_cam1,pf_uncentered,1,4,18.93716170740114
brics-odroid-001_cam1,pf_uncentered,2,4,18.794264602132706
brics-odroid-001_cam1,pf_uncentered,4,4,17.824883415806326
brics-odroid-001_cam1,pf_uncentered,8,4,16.660063424207202
brics-odroid-002_cam0,anycalib_gen,1,5,5.026344333121759
brics-odroid-002_cam0,anycalib_gen,2,5,5.02634433312176
brics-odroid-002_cam0,anycalib_gen,4,5,4.907288079864253
brics-odroid-002_cam0,anycalib_gen,8,5,4.8373662691557895
brics-odroid-002_cam0,geocalib_distorted,1,5,11.007938113281815
brics-odroid-002_cam0,geocalib_distorted,2,5,11.007938113281813
brics-odroid-002_cam0,geocalib_distorted,4,5,11.652089877571823
brics-odroid-002_cam0,geocalib_distorted,8,5,11.204916160610422
brics-odroid-002_cam0,pf_uncentered,1,5,24.195463226157937
brics-odroid-002_cam0,pf_uncentered,2,5,24.195463226157933
brics-odroid-002_cam0,pf_uncentered,4,5,24.227801742268184
brics-odroid-002_cam0,pf_uncentered,8,5,23.54317266736349
brics-odroid-006_cam0,anycalib_gen,1,4,8.183993075061714
brics-odroid-006_cam0,anycalib_gen,2,4,8.183993075061714
brics-odroid-006_cam0,anycalib_gen,4,4,8.29577561526609
brics-odroid-006_cam0,anycalib_gen,8,4,8.154149213522846
brics-odroid-006_cam0,geocalib_distorted,1,4,9.714039379532721
brics-odroid-006_cam0,geocalib_distorted,2,4,8.376596143020377
brics-odroid-006_cam0,geocalib_distorted,4,4,9.132036646745172
brics-odroid-006_cam0,geocalib_distorted,8,4,9.13520675531511
brics-odroid-006_cam0,pf_uncentered,1,4,36.4565438161103
brics-odroid-006_cam0,pf_uncentered,2,4,36.4565438161103
brics-odroid-006_cam0,pf_uncentered,4,4,35.85081966398319
brics-odroid-006_cam0,pf_uncentered,8,4,35.77269155003559
brics-odroid-007_cam0,anycalib_gen,1,5,4.738796131991628
brics-odroid-007_cam0,anycalib_gen,2,5,4.738796131991628
brics-odroid-007_cam0,anycalib_gen,4,5,4.7791781949125935
brics-odroid-007_cam0,anycalib_gen,8,5,4.8701827625207255
brics-odroid-007_cam0,geocalib_distorted,1,5,25.84076489211945
brics-odroid-007_cam0,geocalib_distorted,2,5,25.84076489211945
brics-odroid-007_cam0,geocalib_distorted,4,5,25.116035988051834
brics-odroid-007_cam0,geocalib_distorted,8,5,24.982590739140058
brics-odroid-007_cam0,pf_uncentered,1,5,10.008471616844517
brics-odroid-007_cam0,pf_uncentered,2,5,10.008471616844515
brics-odroid-007_cam0,pf_uncentered,4,5,10.173241047169672
brics-odroid-007_cam0,pf_uncentered,8,5,10.71977754570177
