sequence,model,N,n_views,median_rel_err_pct
p36-tea-0010,anycalib_gen,1,40,9.478236336618718
p36-tea-0010,anycalib_gen,2,40,9.478236336618718
p36-tea-0010,anycalib_gen,4,40,9.640333440766764
p36-tea-0010,anycalib_gen,8,40,9.675392363935522
p36-tea-0010,geocalib_distorted,1,40,19.024556329062015
p36-tea-0010,geocalib_distorted,2,40,18.247767009779743
p36-tea-0010,geocalib_distorted,4,40,13.695648875246002
p36-tea-0010,geocalib_distorted,8,40,11.695645039630428
p36-tea-0010,pf_uncentered,1,40,31.53569225678142
p36-tea-0010,pf_uncentered,2,40,31.535692256781424
p36-tea-0010,pf_uncentered,4,40,31.571260541893455
p36-tea-0010,pf_uncentered,8,40,31.70643417945442
p41-boxing-0021,anycalib_gen,1,40,8.17711375033491
p41-boxing-0021,anycalib_gen,2,40,8.177113750334907
p41-boxing-0021,anycalib_gen,4,40,8.221720463528253
p41-boxing-0021,anycalib_gen,8,40,8.19373207865187
p41-boxing-0021,geocalib_distorted,1,40,10.770932832556305
p41-boxing-0021,geocalib_distorted,2,40,10.577968321870067
p41-boxing-0021,geocalib_distorted,4,40,9.673829609076343
p41-boxing-0021,geocalib_distorted,8,40,9.349376752838735
p41-boxing-0021,pf_uncentered,1,40,31.32159712769419
p41-boxing-0021,pf_uncentered,2,40,31.32159712769419
p41-boxing-0021,pf_uncentered,4,40,30.56362539436793
p41-boxing-0021,pf_uncentered,8,40,30.763429258217712
p41-plant-0004,anycalib_gen,1,40,10.696664629981955
p41-plant-0004,anycalib_gen,2,40,10.696664629981957
p41-plant-0004,anycalib_gen,4,40,10.709754843375741
p41-plant-0004,anycalib_gen,8,40,10.622784949332754
p41-plant-0004,geocalib_distorted,1,40,13.802167958500853
p41-plant-0004,geocalib_distorted,2,40,13.802167958500853
p41-plant-0004,geocalib_distorted,4,40,13.300905838738618
p41-plant-0004,geocalib_distorted,8,40,13.524938899084589
p41-plant-0004,pf_uncentered,1,40,14.254307163626038
p41-plant-0004,pf_uncentered,2,40,14.254307163626038
p41-plant-0004,pf_uncentered,4,40,14.48026262525977
p41-plant-0004,pf_uncentered,8,40,14.440305993605094
p44-dog-0004,anycalib_gen,1,40,11.085702290841962
p44-dog-0004,anycalib_gen,2,40,11.085702290841962
p44-dog-0004,anycalib_gen,4,40,11.431398703319537
p44-dog-0004,anycalib_gen,8,40,11.551196268057556
p44-dog-0004,geocalib_distorted,1,40,12.24565244858799
p44-dog-0004,geocalib_distorted,2,40,12.24565244858799
p44-dog-0004,geocalib_distorted,4,40,12.354214872053188
p44-dog-0004,geocalib_distorted,8,40,11.811759914792301
p44-dog-0004,pf_uncentered,1,40,22.39712053402416
p44-dog-0004,pf_uncentered,2,40,22.39712053402416
p44-dog-0004,pf_uncentered,4,40,22.44785106389402
p44-dog-0004,pf_uncentered,8,40,22.199327630581646
p52-instrument-0034,anycalib_gen,1,15,7.361568112642473
p52-instrument-0034,anycalib_gen,2,15,7.361568112642474
p52-instrument-0034,anycalib_gen,4,15,7.4930143307739305
p52-instrument-0034,anycalib_gen,8,15,7.50836011147573
p52-instrument-0034,geocalib_distorted,1,15,18.901217694435722
p52-instrument-0034,geocalib_distorted,2,15,18.901217694435722
p52-instrument-0034,geocalib_distorted,4,15,18.315432155441837
p52-instrument-0034,geocalib_distorted,8,15,18.897220871752896
p52-instrument-0034,pf_uncentered,1,15,30.404219496875378
p52-instrument-0034,pf_uncentered,2,15,30.404219496875378
p52-instrument-0034,pf_uncentered,4,15,30.0764518213487
p52-instrument-0034,pf_uncentered,8,15,30.157155622136628
