source,sequence,camera,n_frames,gt_fx_value,gt_fx_max_abs_spread,gt_fy_value,gt_fy_max_abs_spread,gt_cx_value,gt_cx_max_abs_spread,gt_cy_value,gt_cy_max_abs_spread,gt_k1_value,gt_k1_max_abs_spread,gt_k2_value,gt_k2_max_abs_spread,gt_p1_value,gt_p1_max_abs_spread,gt_p2_value,gt_p2_max_abs_spread,all_constant,usable_for_camera_benchmark,hand_pass_strict_rate
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-001_cam0,8,921.610657,0.0,919.362427,0.0,633.373947,0.0,338.678863,0.0,-0.39371152,0.0,0.13732042,0.0,0.00302807,0.0,0.0006952,0.0,1,1,0.0
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-001_cam1,8,918.354065,0.0,916.533386,0.0,625.366516,0.0,288.306484,0.0,-0.38869976,0.0,0.13218368,0.0,0.00371258,0.0,-0.00087124,0.0,1,1,0.4819
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-002_cam0,8,940.340637,0.0,932.530029,0.0,670.133362,0.0,301.495485,0.0,-0.41336125,0.0,0.15940145,0.0,0.00223396,0.0,-0.00321284,0.0,1,1,0.4513
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-006_cam0,8,919.383789,0.0,926.608215,0.0,687.267761,0.0,373.176684,0.0,-0.38405358,0.0,0.12911259,0.0,-0.00099429,0.0,-0.0067218,0.0,1,1,0.1476
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-007_cam0,8,924.420349,0.0,919.052307,0.0,666.97464,0.0,361.816692,0.0,-0.40571141,0.0,0.14247953,0.0,0.00141698,0.0,-0.00173316,0.0,1,1,0.6072
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-007_cam1,8,931.304504,0.0,931.858765,0.0,645.010223,0.0,354.143858,0.0,-0.40224957,0.0,0.13878816,0.0,-0.00114692,0.0,-0.00345358,0.0,1,1,0.3565
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-008_cam0,8,919.474365,0.0,913.984497,0.0,653.525314,0.0,353.673763,0.0,-0.41065525,0.0,0.16386079,0.0,0.00435376,0.0,-0.0002477,0.0,1,1,0.0
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-009_cam1,8,931.934998,0.0,929.389282,0.0,625.78907,0.0,312.818913,0.0,-0.43067915,0.0,0.19795125,0.0,0.00073605,0.0,-0.00022842,0.0,1,1,0.3231
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-010_cam0,8,932.026672,0.0,928.021423,0.0,653.847809,0.0,332.363806,0.0,-0.38129796,0.0,0.12359371,0.0,-0.00172413,0.0,-0.00244471,0.0,1,1,0.1309
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-010_cam1,8,934.134155,0.0,931.164185,0.0,652.761765,0.0,322.815979,0.0,-0.38498214,0.0,0.14036071,0.0,0.0050934,0.0,-0.00933402,0.0,1,1,0.0
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-011_cam0,8,922.774414,0.0,922.836304,0.0,617.816467,0.0,335.306339,0.0,-0.37314021,0.0,0.11924383,0.0,-0.00182035,0.0,-0.00442054,0.0,1,1,0.6964
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-012_cam0,8,926.425415,0.0,923.491882,0.0,624.159164,0.0,338.707123,0.0,-0.39814087,0.0,0.15181327,0.0,-0.00148036,0.0,0.0009432,0.0,1,1,0.5989
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-012_cam1,8,926.514709,0.0,925.871948,0.0,644.913483,0.0,370.08266,0.0,-0.38321008,0.0,0.13223799,0.0,0.00155812,0.0,0.00030986,0.0,1,1,0.5961
cam_exp_003_frames_manifest,p36-tea-0010,brics-odroid-014_cam1,8,922.314819,0.0,917.714722,0.0,631.922226,0.0,325.047297,0.0,-0.42584986,0.0,0.1889219,0.0,0.00194813,0.0,0.0006342,0.0,1,1,0.1448
