physical_camera_id,n_sequences,sequences,mean_signed_log_bias,median_signed_log_bias,between_sequence_sd_log,min_signed_log_bias,max_signed_log_bias,range_log,sign_consistent,mean_signed_pct
brics-odroid-001_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.18062990909547125,-0.1931792128247059,0.038364206560366355,-0.21060047542285662,-0.12556073530961648,0.08503974011324014,1,-16.525576721531998
brics-odroid-001_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.09185901831239085,-0.09333752868539226,0.027251971129255405,-0.12158914526412234,-0.05917187061465655,0.062417274649465795,1,-8.776625126679749
brics-odroid-002_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.04759012909714017,-0.05105528545234275,0.04037025987447008,-0.09490675036168915,0.007041306396163841,0.10194805675785298,0,-4.647547104524675
brics-odroid-006_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.06497517459478161,-0.07732082168593302,0.047457892227739926,-0.10806701428517093,0.0028079592779105557,0.11087497356308149,0,-6.290927325434115
brics-odroid-007_cam0,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.060837862191927106,-0.04869871577359505,0.03251917359634993,-0.1060172274362165,-0.02216723599081188,0.08384999144540461,1,-5.902420483894533
brics-odroid-007_cam1,5,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004;p52-instrument-0034,-0.11332727504964915,-0.07249051412838015,0.06012639401575136,-0.19820420103165293,-0.0694189877265337,0.12878521330511922,1,-10.714159798361745
brics-odroid-008_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.015226394803175223,-0.006670822383801785,0.023737988919357994,-0.049835879276000215,0.0022719448309028913,0.05210782410690311,0,-1.5111059376751834
brics-odroid-009_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.16696834494854182,-0.17443365620260468,0.042575053496891474,-0.21039636272097093,-0.108609704667987,0.10178665805298392,1,-15.377360174660259
brics-odroid-010_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.09339295821322635,-0.06418429734496144,0.1246513345479628,-0.2695205814412813,0.024317343278298813,0.29383792471958015,0,-8.916449033135398
brics-odroid-010_cam1,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.08103532267414588,-0.12608402822213943,0.14887577776862015,-0.20548064919187853,0.1335074149395739,0.33898806413145244,0,-7.783888232735448
brics-odroid-011_cam0,4,p36-tea-0010;p41-boxing-0021;p41-plant-0004;p44-dog-0004,-0.10977020746399135,-0.09269619788749314,0.08446302046824984,-0.21637323531621389,-0.03731519876476523,0.17905803655144864,1,-10.395998505178117
