feature,group,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,deployable,evidence,bh_fdr_q_descriptive
edge_density,F_SCENE_GEOM,signed_log_bias,0.027536945812807884,-0.17805306922275735,0.23183550907068434,0,0.717548142370229,175,yes,ASSOCIATION only - no causal claim,0.9025692394551281
edge_density,F_SCENE_GEOM,abs_log_bias,-0.014959695476936857,-0.20568372328674103,0.18046511686559327,0,0.8442259244986281,175,yes,ASSOCIATION only - no causal claim,0.9849302452483994
grad_mag_mean,F_SCENE_GEOM,signed_log_bias,0.006047917599641738,-0.20406987811795993,0.22431010701211138,0,0.9366875906484088,175,yes,ASSOCIATION only - no causal claim,0.9533783134803864
grad_mag_mean,F_SCENE_GEOM,abs_log_bias,-0.003956560680698612,-0.20890997396930758,0.20110371331927634,0,0.9585561944392536,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
grad_mag_p90,F_SCENE_GEOM,signed_log_bias,0.023577343181839183,-0.16875708850153645,0.21861597320769985,0,0.7567839398205368,175,yes,ASSOCIATION only - no causal claim,0.9081407277846442
grad_mag_p90,F_SCENE_GEOM,abs_log_bias,0.002873975020076033,-0.1803425692829945,0.1815343690010138,0,0.9698896164387125,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
grad_orientation_entropy,F_SCENE_GEOM,signed_log_bias,0.07047021943573668,-0.12620848941070978,0.2585070083818065,0,0.3540795636323957,175,yes,ASSOCIATION only - no causal claim,0.5948536669024247
grad_orientation_entropy,F_SCENE_GEOM,abs_log_bias,-0.08791536050156741,-0.2754392900034899,0.10663638042912918,0,0.2473059241118609,175,yes,ASSOCIATION only - no causal claim,0.4577222949225769
line_count,F_SCENE_GEOM,signed_log_bias,0.01496875258936094,-0.17885853511028388,0.21372448042013337,0,0.844132811692278,175,yes,ASSOCIATION only - no causal claim,0.9359169050808459
line_count,F_SCENE_GEOM,abs_log_bias,-0.0008855858861768513,-0.18708510407278167,0.18476274674145587,0,0.990719817802743,175,yes,ASSOCIATION only - no causal claim,0.9981697474114186
long_line_count,F_SCENE_GEOM,signed_log_bias,0.1947987347490205,-0.0003517072303374423,0.3791052607859022,0,0.0097867886087142,175,yes,ASSOCIATION only - no causal claim,0.05138064019574955
