camera_property,target,spearman_rho,ci_lo_camera_cluster,ci_hi_camera_cluster,ci_excludes_zero,naive_p,n_views,ORACLE_DIAGNOSTIC_ONLY,deployable,note
gt_k1,signed_log_bias,0.09328421750070788,-0.11884522551017358,0.2951658129218759,0,0.21949582600342796,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_k1,abs_log_bias,-0.049514063258471616,-0.2593977175247004,0.15795377790470205,0,0.5152306760279959,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_k2,signed_log_bias,-0.12485892203439924,-0.3199454103828343,0.08210384413774337,0,0.0996937226868112,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_k2,abs_log_bias,0.0790128989196288,-0.12241862475940753,0.2805164487852761,0,0.2986291213914092,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_abs_k1,signed_log_bias,-0.09328421750070788,-0.29516581292187605,0.11884522551017349,0,0.21949582600342796,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_abs_k1,abs_log_bias,0.049514063258471616,-0.15795377790470208,0.25939771752470037,0,0.5152306760279959,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_p1,signed_log_bias,0.0028506807710205044,-0.20964799896177694,0.20573214353433153,0,0.9701335547505344,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_p1,abs_log_bias,-0.040856771930297804,-0.23209698990687372,0.15596909797038647,0,0.5913814712940606,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_p2,signed_log_bias,0.052248298310644474,-0.14160489210184093,0.2448115339984727,0,0.49227434892809785,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_p2,abs_log_bias,-0.10749731322236315,-0.3039400462297363,0.09708940474910357,0,0.15678395080653332,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_offset_norm,signed_log_bias,0.0949659624017577,-0.130277360560467,0.31245027549668997,0,0.21126088545166996,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_offset_norm,abs_log_bias,-0.02321748486562497,-0.22692208085646187,0.18662981685808114,0,0.7603825394850365,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_dx_px,signed_log_bias,0.11228950242109362,-0.09326090086278249,0.2883132429752412,0,0.13900986115226155,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_dx_px,abs_log_bias,-0.039457183963378856,-0.2158082353525261,0.16117012022985475,0,0.6041577466425051,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_dy_px,signed_log_bias,0.011743102877636705,-0.2265304652868189,0.25196018846026474,0,0.8774215425728826,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_principal_point_dy_px,abs_log_bias,-0.022218738892431613,-0.24453717453365045,0.19554336896083085,0,0.7703967891248837,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_fx_over_fy,signed_log_bias,0.21759897973356906,-0.006888217463158112,0.4274246210010126,0,0.003819721982693331,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_fx_over_fy,abs_log_bias,-0.2549914915281491,-0.45031179049569997,-0.036522427473955135,1,0.0006603847191477448,175,yes,no - provided calibration metadata is not available for a new deployment camera,
gt_reference_focal_px,signed_log_bias,-0.14511151975090314,-0.33583130328886096,0.05425723404195212,0,0.05535973093880458,175,yes,no - provided calibration metadata is not available for a new deployment camera,"the reference focal is inside the target definition, so its association with the bias is descriptive and partly definitional"
gt_reference_focal_px,abs_log_bias,0.08862638874680165,-0.09718166611436992,0.2717874983291086,0,0.24348854509974052,175,yes,no - provided calibration metadata is not available for a new deployment camera,"the reference focal is inside the target definition, so its association with the bias is descriptive and partly definitional"
gt_camera_height_world,signed_log_bias,-0.02618237201474606,-0.2549947586193926,0.21354207644282056,0,0.7308936424286446,175,yes,no - provided calibration metadata is not available for a new deployment camera,orientation descriptor; usable only because the extrinsic audit found the same physical camera's pose consistent across sequences
gt_camera_height_world,abs_log_bias,0.03161053398564449,-0.20421027735443475,0.2623903404215319,0,0.677940534224281,175,yes,no - provided calibration metadata is not available for a new deployment camera,orientation descriptor; usable only because the extrinsic audit found the same physical camera's pose consistent across sequences
gt_camera_distance_from_origin,signed_log_bias,0.07218738832255851,-0.1880224582860656,0.3273391346961889,0,0.3424451627251155,175,yes,no - provided calibration metadata is not available for a new deployment camera,orientation descriptor; usable only because the extrinsic audit found the same physical camera's pose consistent across sequences
gt_camera_distance_from_origin,abs_log_bias,-0.08086707305820302,-0.31725983386674705,0.16856602200143334,0,0.28739766648307163,175,yes,no - provided calibration metadata is not available for a new deployment camera,orientation descriptor; usable only because the extrinsic audit found the same physical camera's pose consistent across sequences
