protocol,feature_set,n_features,n_views_predicted,mae_log_bias,median_abs_log_bias_error,r2,spearman_pred_vs_actual,alpha_mode,status
B_LOCO,P0_baseline,0,175,0.0625421671176442,0.04982599858192477,-0.027844725559960537,-0.7086351373389905,,deployable feature group
B_LOCO,P1,16,175,0.06184729385703972,0.04885536610102467,-0.00013130991626697508,0.13326690550828482,100,deployable feature group
B_LOCO,P2,7,175,0.063490390368903,0.050646912893136595,-0.053715108601539496,-0.16954993282579492,100,deployable feature group
B_LOCO,P3,8,175,0.06303790454523286,0.047799546133599685,-0.043343475777104734,-0.0027854903716972687,100,deployable feature group
B_LOCO,P4,8,175,0.014549750646232007,0.011103419182633488,0.9359412245168398,0.9634773846842813,1,deployable feature group
B_LOCO,P5,3,175,0.06133488953682427,0.04821955472815443,-0.017547639323573838,0.03174205105239588,100,deployable feature group
B_LOCO,P6,31,175,0.06132035451635837,0.0499434603108614,0.04388002292461024,0.22090909090909092,100,deployable feature group
B_LOCO,P7,42,175,0.016490683294986645,0.013103465852389112,0.9272342793613859,0.955537393640842,1,deployable feature group
B_LOCO,D_CAMERA_ID,0,175,0.06254162560622846,0.04982034473656739,-0.02784028501407798,-0.7086569259940314,0.01,ORACLE_OR_RIG_SPECIFIC_DIAGNOSTIC
B_LOCO,D_SEQUENCE_ID,0,175,0.06233425020720355,0.05109268428603861,-0.03408334277912739,-0.29413345275414243,100,SEQUENCE_SPECIFIC_DIAGNOSTIC
