sequence_a,sequence_b,n_common_cameras,pearson_r,pearson_p,spearman_rho,spearman_p,median_abs_difference_log,status
p36-tea-0010,p41-boxing-0021,40,0.723476568644955,1.333439956223631e-07,0.7041275797373359,3.9867647049349323e-07,0.02606257318913944,ok
p36-tea-0010,p41-plant-0004,40,0.37352830412876975,0.017590060096227836,0.34390243902439027,0.02979408859510901,0.05967634758726612,ok
p36-tea-0010,p44-dog-0004,40,0.4481404991794714,0.003732357331060484,0.526829268292683,0.00047867795161128917,0.04572325019411952,ok
p36-tea-0010,p52-instrument-0034,15,0.8008674746170666,0.0003334819429679139,0.7035714285714285,0.00342433708908396,0.03131795414483718,ok
p41-boxing-0021,p41-plant-0004,40,0.3282000825364946,0.03868159759202695,0.23283302063789874,0.14822576543420787,0.06070510667180001,ok
p41-boxing-0021,p44-dog-0004,40,0.1709067765919106,0.29169250018706905,0.1930581613508443,0.23265122457737003,0.059712446589640686,ok
p41-boxing-0021,p52-instrument-0034,15,0.8043376089088807,0.0003001511357000876,0.7499999999999999,0.0012808984509355365,0.02470317682230444,ok
p41-plant-0004,p44-dog-0004,40,0.395250285563905,0.011594977109120077,0.4069418386491558,0.009161182663144644,0.058335024325040355,ok
p41-plant-0004,p52-instrument-0034,15,0.48435598322797496,0.06730309962403894,0.25357142857142856,0.3618161038158894,0.058096591848506594,ok
p44-dog-0004,p52-instrument-0034,15,0.3697513711873909,0.17495004035566755,0.3607142857142856,0.18655437415416348,0.031236005604109968,ok
