protocol,feature_set,baseline_median_pct,probe_median_pct,relative_median_reduction_pct,within5_gain_pp,meets_A_10pct,meets_B_5pp,contains_predicted_focal,beats_constant_rig_focal_oracle
A_LOSO,P1,5.017,4.497,10.36,3.43,1,0,0,0
A_LOSO,P2,5.017,5.179,-3.24,-2.29,0,0,0,0
A_LOSO,P3,5.017,5.555,-10.73,-2.29,0,0,0,0
A_LOSO,P5,5.017,4.932,1.68,1.71,0,0,0,0
A_LOSO,P6,5.017,5.349,-6.63,-5.71,0,0,0,0
A_LOSO,P4,5.017,1.095,78.16,47.43,1,1,1,0
A_LOSO,P7,5.017,1.392,72.25,45.71,1,1,1,0
B_LOCO,P1,4.996,4.838,3.15,2.29,0,0,0,0
B_LOCO,P2,4.996,5.166,-3.42,-0.57,0,0,0,0
B_LOCO,P3,4.996,4.896,1.99,1.14,0,0,0,0
B_LOCO,P5,4.996,4.856,2.8,0.57,0,0,0,0
B_LOCO,P6,4.996,5.0,-0.1,-0.57,0,0,0,0
B_LOCO,P4,4.996,1.115,77.67,46.86,1,1,1,0
B_LOCO,P7,4.996,1.319,73.6,46.29,1,1,1,0
