physical_camera_id,sequence_a,sequence_b,rotation_difference_deg,translation_difference_m,camera_centre_difference_m,fx_a,fx_b,fx_difference_px
brics-odroid-001_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,921.611,921.611,0.0
brics-odroid-001_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,921.611,921.611,0.0
brics-odroid-001_cam0,p36-tea-0010,p44-dog-0004,3.1902,0.058555,0.016245,921.611,931.967,10.356
brics-odroid-001_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,921.611,921.611,0.0
brics-odroid-001_cam0,p41-boxing-0021,p44-dog-0004,3.1902,0.058555,0.016245,921.611,931.967,10.356
brics-odroid-001_cam0,p41-plant-0004,p44-dog-0004,3.1902,0.058555,0.016245,921.611,931.967,10.356
brics-odroid-001_cam1,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,918.354,918.354,0.0
brics-odroid-001_cam1,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,918.354,918.354,0.0
brics-odroid-001_cam1,p36-tea-0010,p44-dog-0004,4.5294,0.092002,0.028347,918.354,970.607,52.2531
brics-odroid-001_cam1,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,918.354,918.354,0.0
brics-odroid-001_cam1,p41-boxing-0021,p44-dog-0004,4.5294,0.092002,0.028347,918.354,970.607,52.2531
brics-odroid-001_cam1,p41-plant-0004,p44-dog-0004,4.5294,0.092002,0.028347,918.354,970.607,52.2531
brics-odroid-002_cam0,p36-tea-0010,p41-boxing-0021,0.0,0.0,0.0,940.341,940.341,0.0
brics-odroid-002_cam0,p36-tea-0010,p41-plant-0004,0.0,0.0,0.0,940.341,940.341,0.0
brics-odroid-002_cam0,p36-tea-0010,p44-dog-0004,3.3384,0.028266,0.057997,940.341,885.954,54.3871
brics-odroid-002_cam0,p36-tea-0010,p52-instrument-0034,0.7429,0.011381,0.00524,940.341,931.786,8.5544
brics-odroid-002_cam0,p41-boxing-0021,p41-plant-0004,0.0,0.0,0.0,940.341,940.341,0.0
brics-odroid-002_cam0,p41-boxing-0021,p44-dog-0004,3.3384,0.028266,0.057997,940.341,885.954,54.3871
