feature,group,status,reason,nan_rate,min,median,max,relative_variance,criterion,kept_for_probe
edge_density,F_SCENE_GEOM,KEPT,,0.0,0.0010742199999999999,0.030626085,0.04856771,0.07517411015549921,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
grad_mag_mean,F_SCENE_GEOM,KEPT,,0.0,5.1976292100000006,21.559062955,31.35649395,0.05178384697415566,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
grad_mag_p90,F_SCENE_GEOM,KEPT,,0.0,11.04536057,42.54409409,78.35174942,0.07416954340161044,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
grad_orientation_entropy,F_SCENE_GEOM,KEPT,,0.0,4.65643836,5.047628905,5.129690285000001,0.00015182037975577635,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
line_count,F_SCENE_GEOM,KEPT,,0.0,107.5,967.5,1661.5,0.07270511522569581,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
long_line_count,F_SCENE_GEOM,KEPT,,0.0,0.0,4.0,11.0,0.3344315726077675,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
total_line_length_over_area,F_SCENE_GEOM,KEPT,,0.0,0.001761785,0.022678405,0.035295494999999996,0.05320609989405613,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
median_norm_line_length,F_SCENE_GEOM,KEPT,,0.0,0.007932,0.00992937,0.012759635,0.006023398613473752,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
horizontal_line_fraction,F_SCENE_GEOM,KEPT,,0.0,0.078108785,0.23076642,0.398793295,0.09371272932039355,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
vertical_line_fraction,F_SCENE_GEOM,KEPT,,0.0,0.088168595,0.233723805,0.42467378,0.06405987746315353,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
diagonal_line_fraction,F_SCENE_GEOM,KEPT,,0.0,0.35098932,0.538755505,0.832408015,0.03414745675707825,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
line_orientation_entropy,F_SCENE_GEOM,KEPT,,0.0,3.2570501849999998,3.81120875,4.022511724999999,0.0011967049991320785,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
dominant_line_orientation_strength,F_SCENE_GEOM,KEPT,,0.0,0.097435695,0.17058052499999998,0.324470235,0.05561735889194946,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
corner_count_over_area,F_SCENE_GEOM,KEPT,,0.0,92.23090278,793.1857638849999,1085.06944444,0.08931479089622428,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
vp_consensus_strength,F_SCENE_GEOM,KEPT,,0.0,0.049441185,0.072539345,0.159109115,0.05034122412896941,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
orthogonal_line_support,F_SCENE_GEOM,KEPT,,0.0,0.08309749,0.12143572,0.16941943,0.011478801824392135,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
gray_mean,F_IMAGE_GLOBAL,KEPT,,0.0,44.013192815,155.7691824,185.744743925,0.07584502439556756,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
gray_std,F_IMAGE_GLOBAL,KEPT,,0.0,29.771588084999998,54.636548495,81.570082565,0.05160745870956879,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
gray_entropy,F_IMAGE_GLOBAL,KEPT,,0.0,6.32552824,7.18033262,7.623360075,0.0012349881102405676,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
saturation_mean,F_IMAGE_GLOBAL,KEPT,,0.0,48.867450625000004,79.13783854,143.53361870999998,0.04901330040790533,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
saturation_std,F_IMAGE_GLOBAL,KEPT,,0.0,13.42963786,34.208186264999995,59.06183616,0.08776502124547388,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
local_contrast,F_IMAGE_GLOBAL,KEPT,,0.0,2.69724379,9.65334372,13.792656225,0.04138882820956898,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
laplacian_variance,F_IMAGE_GLOBAL,KEPT,,0.0,2.6260362849999996,197.57182311999998,396.74151611,0.20693875565794642,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_edge_density,F_BORDER_SCENE,KEPT,,0.0,0.001591155,0.02998013,0.05605655,0.07951917896442279,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_line_count,F_BORDER_SCENE,KEPT,,0.0,88.0,622.0,1364.0,0.07758862431413512,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_long_line_count,F_BORDER_SCENE,KEPT,,0.0,0.0,2.0,6.0,0.3277449046679156,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_horizontal_line_fraction,F_BORDER_SCENE,KEPT,,0.0,0.061314,0.19034334,0.41794399,0.14821451761929275,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_vertical_line_fraction,F_BORDER_SCENE,KEPT,,0.0,0.102205025,0.23888483500000002,0.41845845,0.06480170398913167,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_line_orientation_entropy,F_BORDER_SCENE,KEPT,,0.0,3.2706022949999998,3.824987165,4.030915370000001,0.0013279108677222314,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_grad_mag_mean,F_BORDER_SCENE,KEPT,,0.0,5.655049325,21.341412544999997,36.35598564,0.04974294126185473,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
border_gray_std,F_BORDER_SCENE,KEPT,,0.0,27.479145965,55.440317185,80.211317585,0.04974662113883417,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pred_focal_px,F_MODEL_SELF,KEPT,,0.0,641.907318,841.3100585,1062.6645505000001,0.006271517512747679,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pred_focal_log_iqr,F_MODEL_SELF,KEPT,,0.0,0.004398960515024974,0.019859842720224563,0.08601388298462975,0.3786010778222765,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pred_k1,F_MODEL_SELF,KEPT,,0.0,-0.45059408247470856,-0.3123038560152054,-0.15805095434188843,0.028450685043700557,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pred_k2,F_MODEL_SELF,KEPT,,0.0,-0.02526216395199299,0.07647505030035973,0.1680055931210518,0.12411902844391132,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pred_k1_iqr,F_MODEL_SELF,KEPT,,0.0,0.0037145689129829407,0.011127837002277374,0.05419401451945305,0.4318850233100478,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pp_offset_norm,F_MODEL_SELF,KEPT,,0.0,0.00012390452116605038,0.000738908167471743,0.002412527809721892,0.3064428802424483,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_pp_offset_iqr,F_MODEL_SELF,KEPT,,0.0,5.9323618953344105e-05,0.00018866137627772048,0.00065394332747148,0.305228043069898,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
self_fx_over_fy,F_MODEL_SELF,KEPT,,0.0,0.9839490959111694,0.9915479635790709,1.0119634470950403,1.737947852267098e-05,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
disagree_abs_log_any_vs_geo,MODEL_DISAGREEMENT,KEPT,,0.0,0.008811425674218958,0.1745889602267442,1.500218191288984,1.0080789120841855,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
disagree_signed_log_any_vs_geo,MODEL_DISAGREEMENT,KEPT,,0.0,-1.500218191288984,-0.15561594135085782,0.3838607116725851,1.3640053723411139,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
disagree_log_iqr,MODEL_DISAGREEMENT,KEPT,,0.0,0.007299677727686421,0.0556018653495151,2.2757749964792247,4.664149868529235,"TARGET-INDEPENDENT quality only: missingness, constant or near-zero variance. No feature was dropped for how it correlates with the bias.",1
