level,key,n,major_2d_failures
sequence,p36-tea-0010,46,0
sequence,p41-boxing-0021,38,0
sequence,p41-plant-0004,45,0
sequence,p44-dog-0004,42,0
sequence,p52-instrument-0034,29,0
physical_camera,brics-odroid-001_cam1,5,0
physical_camera,brics-odroid-002_cam0,7,0
physical_camera,brics-odroid-006_cam0,5,0
physical_camera,brics-odroid-007_cam0,6,0
physical_camera,brics-odroid-007_cam1,6,0
physical_camera,brics-odroid-008_cam0,2,0
physical_camera,brics-odroid-009_cam1,6,0
physical_camera,brics-odroid-010_cam0,5,0
physical_camera,brics-odroid-010_cam1,4,0
physical_camera,brics-odroid-011_cam0,5,0
physical_camera,brics-odroid-012_cam0,6,0
physical_camera,brics-odroid-012_cam1,6,0
physical_camera,brics-odroid-014_cam1,6,0
physical_camera,brics-odroid-015_cam0,4,0
physical_camera,brics-odroid-015_cam1,7,0
physical_camera,brics-odroid-016_cam0,8,0
physical_camera,brics-odroid-017_cam0,6,0
physical_camera,brics-odroid-017_cam1,6,0
physical_camera,brics-odroid-019_cam1,4,0
physical_camera,brics-odroid-020_cam0,5,0
physical_camera,brics-odroid-020_cam1,5,0
physical_camera,brics-odroid-021_cam0,6,0
physical_camera,brics-odroid-021_cam1,5,0
physical_camera,brics-odroid-022_cam0,4,0
physical_camera,brics-odroid-022_cam1,5,0
physical_camera,brics-odroid-023_cam0,6,0
physical_camera,brics-odroid-024_cam0,6,0
physical_camera,brics-odroid-024_cam1,6,0
physical_camera,brics-odroid-025_cam0,6,0
physical_camera,brics-odroid-025_cam1,7,0
physical_camera,brics-odroid-026_cam0,5,0
physical_camera,brics-odroid-026_cam1,3,0
physical_camera,brics-odroid-027_cam0,4,0
physical_camera,brics-odroid-027_cam1,1,0
physical_camera,brics-odroid-028_cam0,3,0
physical_camera,brics-odroid-029_cam0,4,0
physical_camera,brics-odroid-029_cam1,5,0
physical_camera,brics-odroid-030_cam0,5,0
physical_camera,brics-odroid-030_cam1,5,0
