condition,n_frames,n_views,median_rel_focal_err_pct,ci95_lo,ci95_hi,mean_rel_focal_err_pct,mean_signed_log_err,share_flat_profile,share_boundary,share_identifiable
JOINT_PERMUTATION,1,175,65.6662,65.2679,152.5829,225.7658,0.43054,0.7257,0.3257,0.08
JOINT_PERMUTATION,2,175,195.2388,91.6074,318.8323,270.7738,0.74309,0.7714,0.2743,0.0514
JOINT_PERMUTATION,4,175,289.2553,173.9361,350.4897,302.6793,0.85704,0.8114,0.3086,0.0229
JOINT_PERMUTATION,8,175,335.9591,258.3879,435.3769,331.2248,0.94149,0.88,0.3771,0.0
JOINT_PERMUTATION,16,175,462.2309,384.1677,510.5956,388.1271,1.18202,0.8971,0.4,0.0114
MAIN,1,175,109.9684,72.1959,178.1329,226.8726,0.81406,0.6514,0.1657,0.1543
MAIN,2,175,131.1206,94.4142,177.8868,226.984,0.80825,0.7029,0.16,0.12
MAIN,4,175,212.2048,130.1111,295.9754,277.3797,0.9999,0.7829,0.2171,0.0514
MAIN,8,175,189.722,99.4265,266.5889,267.9996,0.98704,0.8286,0.2457,0.0514
MAIN,16,175,202.1629,150.6586,305.38,279.4457,1.04709,0.8686,0.2571,0.04
PLANARIZED,1,175,57.8992,53.7013,64.7206,123.0302,-0.06748,0.76,0.1886,0.0457
PLANARIZED,2,175,59.0494,55.3887,62.4573,125.6773,-0.07877,0.8,0.1714,0.0229
PLANARIZED,4,175,60.7003,54.3656,65.1269,144.3768,0.05735,0.8286,0.1943,0.0057
PLANARIZED,8,175,57.5601,51.3268,62.94,120.609,-0.00368,0.8743,0.16,0.0057
PLANARIZED,16,175,59.9734,47.6662,64.6419,115.2743,-0.02146,0.9086,0.1714,0.0
WRONG_POSE,1,175,70.473,59.9752,124.8841,212.0966,0.5888,0.6571,0.1771,0.0971
WRONG_POSE,2,175,113.0102,70.1738,244.2834,256.2924,0.78669,0.7371,0.2343,0.0629
WRONG_POSE,4,175,137.3688,63.0666,222.0837,249.744,0.76856,0.7886,0.2286,0.0343
WRONG_POSE,8,175,211.1037,145.7424,346.9371,298.6608,1.04832,0.7943,0.28,0.0343
WRONG_POSE,16,175,201.377,127.2474,302.7338,278.9109,1.00369,0.7943,0.2229,0.0343
