feature,group,n_views,spearman_vs_signed_bias,ci95_lo,ci95_hi,ci_excludes_zero
mano_beta_7__median,F2,160,-0.2889,-0.4395,-0.1133,1
availability_rate,F0,160,-0.1999,-0.3596,-0.0306,1
bbox_cy_norm__median,F0,160,0.1581,-0.0637,0.3498,0
finger_spread__iqr,F2,160,-0.1408,-0.2637,-0.0157,1
mano_beta_5__median,F2,160,-0.1379,-0.2819,0.0215,0
mano_beta_9__iqr,F2,160,0.1366,-0.0191,0.2852,0
bbox_aspect__median,F0,160,0.1298,-0.0712,0.326,0
depth_extent__median,F2,160,-0.1251,-0.3116,0.0596,0
mano_beta_5__iqr,F2,160,0.1194,-0.0369,0.266,0
beta_std_mean,F3,160,0.1185,-0.0237,0.2549,0
mano_beta_4__iqr,F2,160,0.1131,-0.0193,0.2316,0
pred_cam_s__median,F1,160,-0.1104,-0.2891,0.0732,0
mano_beta_3__median,F2,160,-0.1087,-0.2616,0.0453,0
mano_beta_4__median,F2,160,-0.1057,-0.2543,0.0513,0
n_hands_std,F0,160,0.1045,-0.0601,0.2524,0
finger_spread__median,F2,160,-0.0996,-0.2761,0.07,0
pred_cam_ty__iqr,F1,160,0.0871,-0.0792,0.2444,0
mano_beta_9__median,F2,160,-0.0867,-0.3091,0.1324,0
global_orient_aa_norm__median,F2,160,0.0863,-0.1144,0.2608,0
mano_beta_7__iqr,F2,160,0.086,-0.081,0.2397,0
pred_cam_tx__iqr,F1,160,0.0785,-0.0381,0.1934,0
pred_cam_tx__std,F3,160,0.0785,-0.0585,0.2058,0
palm_normal_z__iqr,F2,160,0.0785,-0.0663,0.2147,0
depth_over_diameter__median,F2,160,-0.0778,-0.2549,0.0992,0
hand_pose_aa_mean_abs__iqr,F2,160,0.0749,-0.0731,0.2228,0
palm_normal_z__median,F2,160,-0.0732,-0.2314,0.0941,0
mano_beta_6__median,F2,160,-0.073,-0.275,0.1353,0
pred_cam_ty__std,F3,160,0.0689,-0.1019,0.2272,0
bbox_h_over_H__median,F0,160,-0.0686,-0.2785,0.1574,0
global_orient_aa_norm__iqr,F2,160,0.0684,-0.084,0.2174,0
mano_beta_1__median,F2,160,-0.0672,-0.226,0.1002,0
lateral_extent__iqr,F2,160,0.0638,-0.0613,0.1792,0
bone_ratio_mean__median,F2,160,0.0625,-0.0752,0.2065,0
mano_beta_8__iqr,F2,160,0.0625,-0.0918,0.2194,0
bbox_cx_norm__median,F0,160,-0.0615,-0.2922,0.1797,0
mean_hands_per_frame,F0,160,-0.0614,-0.2602,0.1398,0
bone_ratio_std__median,F2,160,0.06,-0.0789,0.2034,0
lateral_extent__median,F2,160,-0.0595,-0.1861,0.0637,0
hand_pose_aa_norm__median,F2,160,0.0585,-0.0894,0.2089,0
hand_diameter__median,F2,160,-0.0584,-0.2026,0.081,0
mano_beta_3__iqr,F2,160,0.056,-0.0786,0.1831,0
mano_beta_6__iqr,F2,160,0.0556,-0.1099,0.2133,0
hand_pose_aa_mean_abs__median,F2,160,0.0546,-0.0983,0.2114,0
box_size_norm__iqr,F0,160,0.0546,-0.0864,0.1965,0
bbox_aspect__iqr,F0,160,0.0541,-0.0785,0.185,0
mano_beta_8__median,F2,160,-0.0519,-0.2547,0.1413,0
hand_pose_aa_norm__std,F3,160,0.0494,-0.0817,0.1781,0
bbox_cx_norm__iqr,F0,160,0.0492,-0.073,0.1687,0
hand_diameter__std,F3,160,0.0452,-0.0982,0.1851,0
hand_pose_aa_norm__iqr,F2,160,0.0421,-0.0924,0.1808,0
mano_beta_0__median,F2,160,0.0405,-0.1304,0.2095,0
bbox_w_over_W__iqr,F0,160,0.0395,-0.0979,0.1811,0
bbox_area_norm__median,F0,160,-0.0381,-0.25,0.1916,0
mano_beta_2__iqr,F2,160,0.0374,-0.0843,0.1582,0
bbox_area_norm__std,F3,160,-0.0353,-0.2015,0.1351,0
bbox_cy_norm__iqr,F0,160,-0.0337,-0.1614,0.0962,0
side_consistency,F0,160,0.0331,-0.152,0.2078,0
mano_beta_1__iqr,F2,160,0.0279,-0.1373,0.1947,0
bone_ratio_std__iqr,F2,160,0.0269,-0.126,0.1769,0
bone_ratio_mean__iqr,F2,160,0.0252,-0.1268,0.1754,0
bbox_w_over_W__median,F0,160,0.0247,-0.1821,0.237,0
pred_cam_s__iqr,F1,160,0.0235,-0.1264,0.1735,0
det_score__median,F0,160,-0.0234,-0.2031,0.1514,0
det_score__iqr,F0,160,0.0228,-0.1466,0.1948,0
depth_extent__iqr,F2,160,0.0218,-0.1461,0.1891,0
bbox_h_over_H__iqr,F0,160,-0.0196,-0.1594,0.1204,0
depth_over_diameter__std,F3,160,-0.0183,-0.1488,0.108,0
bbox_area_norm__iqr,F0,160,-0.0166,-0.1765,0.152,0
mano_beta_0__iqr,F2,160,0.0166,-0.1198,0.1455,0
pred_cam_tx__median,F1,160,0.0144,-0.1778,0.1934,0
pred_cam_s__std,F3,160,0.0128,-0.1306,0.1607,0
hand_diameter__iqr,F2,160,0.0126,-0.1274,0.1488,0
pred_cam_ty__median,F1,160,-0.0099,-0.2533,0.2389,0
mano_beta_2__median,F2,160,0.0082,-0.1953,0.1884,0
box_size_norm__std,F3,160,-0.0066,-0.1548,0.1435,0
box_size_norm__median,F0,160,-0.004,-0.2162,0.22,0
depth_over_diameter__iqr,F2,160,0.0032,-0.1224,0.1255,0
det_score__std,F3,160,0.0011,-0.1648,0.164,0
