probe,probe_name,n_views,spearman_corrected_vs_reference,ci_lo,ci_hi,corrected_focal_cv_pct,reference_focal_cv_pct,constant_collapse
B0,RAW_ANYCALIB,160,0.0155,-0.2056,0.2356,7.819,1.904,0
B1,GLOBAL_BIAS_CORRECTED_ANYCALIB,160,0.0148,-0.2089,0.2364,7.89,1.904,0
B2,CAM005_FROZEN_SCENE_BASELINE,160,0.0525,-0.1519,0.2483,7.622,1.904,0
B3,TRAINING_FOLD_CONSTANT_REFERENCE_ORACLE,160,-0.651,-0.7433,-0.5341,0.015,1.904,1
C1,ANYCALIB_FOCAL_PRIOR_CONTROL,160,-0.4964,-0.6258,-0.3315,0.188,1.904,1
P1,F0_HAND_VISIBILITY_AND_BOX,160,0.0312,-0.1789,0.237,7.979,1.904,0
P2,F1_CAMERA_HEAD_OUTPUT,160,0.0065,-0.2174,0.2282,8.174,1.904,0
P3,F2_EXPLICIT_HAND_GEOMETRY,160,0.0469,-0.1659,0.2624,8.008,1.904,0
P4,F3_TEMPORAL_HAND_STABILITY,160,0.007,-0.2148,0.2237,8.056,1.904,0
P5,ALL_EXPLICIT_HAND_OUTPUTS,160,0.0646,-0.1425,0.2719,8.117,1.904,0
P6,LEARNED_HAND_LATENT,160,-0.0222,-0.227,0.1878,8.136,1.904,0
P7,ALL_EXPLICIT_PLUS_LATENT,160,0.0126,-0.1875,0.217,8.224,1.904,0
P8,SCENE_PLUS_ALL_EXPLICIT,160,0.0625,-0.1273,0.2495,7.738,1.904,0
P9,SCENE_PLUS_LATENT,160,0.0117,-0.1909,0.2175,8.264,1.904,0
P10,SCENE_PLUS_ALL_HAND,160,0.0278,-0.173,0.228,8.658,1.904,0
