sequence,camera,n_frames,n_frames_with_hand,availability_rate,mean_hands_per_frame,has_latent,hand_feature_eligible,reason_excluded
p36-tea-0010,brics-odroid-001_cam0,16,16,1.0,1.75,1,1,
p36-tea-0010,brics-odroid-001_cam1,16,16,1.0,1.875,1,1,
p36-tea-0010,brics-odroid-002_cam0,16,16,1.0,1.875,1,1,
p36-tea-0010,brics-odroid-006_cam0,16,16,1.0,2.1875,1,1,
p36-tea-0010,brics-odroid-007_cam0,16,16,1.0,1.375,1,1,
p36-tea-0010,brics-odroid-007_cam1,16,16,1.0,1.3125,1,1,
p36-tea-0010,brics-odroid-008_cam0,16,6,0.375,0.375,1,1,
p36-tea-0010,brics-odroid-009_cam1,16,16,1.0,1.75,1,1,
p36-tea-0010,brics-odroid-010_cam0,16,15,0.9375,1.8125,1,1,
p36-tea-0010,brics-odroid-010_cam1,16,16,1.0,1.875,1,1,
p36-tea-0010,brics-odroid-011_cam0,16,16,1.0,1.6875,1,1,
p36-tea-0010,brics-odroid-012_cam0,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-012_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-014_cam1,16,13,0.8125,1.5,1,1,
p36-tea-0010,brics-odroid-015_cam0,16,16,1.0,1.625,1,1,
p36-tea-0010,brics-odroid-015_cam1,16,16,1.0,1.25,1,1,
p36-tea-0010,brics-odroid-016_cam0,16,16,1.0,2.25,1,1,
p36-tea-0010,brics-odroid-017_cam0,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-017_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-019_cam1,16,15,0.9375,1.875,1,1,
p36-tea-0010,brics-odroid-020_cam0,16,12,0.75,0.8125,1,1,
p36-tea-0010,brics-odroid-020_cam1,16,13,0.8125,1.5,1,1,
p36-tea-0010,brics-odroid-021_cam0,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-021_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-022_cam0,16,15,0.9375,1.75,1,1,
p36-tea-0010,brics-odroid-022_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-023_cam0,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-024_cam0,16,16,1.0,2.25,1,1,
p36-tea-0010,brics-odroid-024_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-025_cam0,16,16,1.0,1.75,1,1,
p36-tea-0010,brics-odroid-025_cam1,16,16,1.0,2.0,1,1,
p36-tea-0010,brics-odroid-026_cam0,16,12,0.75,0.875,1,1,
p36-tea-0010,brics-odroid-026_cam1,16,16,1.0,1.8125,1,1,
p36-tea-0010,brics-odroid-027_cam0,16,4,0.25,0.25,1,1,
p36-tea-0010,brics-odroid-027_cam1,16,5,0.3125,0.3125,1,1,
p36-tea-0010,brics-odroid-028_cam0,16,16,1.0,1.25,1,1,
p36-tea-0010,brics-odroid-029_cam0,16,6,0.375,0.4375,1,1,
p36-tea-0010,brics-odroid-029_cam1,16,13,0.8125,1.125,1,1,
p36-tea-0010,brics-odroid-030_cam0,16,16,1.0,1.1875,1,1,
p36-tea-0010,brics-odroid-030_cam1,16,16,1.0,2.0625,1,1,
p41-boxing-0021,brics-odroid-001_cam0,16,4,0.25,0.375,1,1,
p41-boxing-0021,brics-odroid-001_cam1,16,16,1.0,1.25,1,1,
p41-boxing-0021,brics-odroid-002_cam0,16,16,1.0,1.9375,1,1,
p41-boxing-0021,brics-odroid-006_cam0,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-007_cam0,16,16,1.0,1.875,1,1,
p41-boxing-0021,brics-odroid-007_cam1,16,16,1.0,1.9375,1,1,
p41-boxing-0021,brics-odroid-008_cam0,16,16,1.0,1.625,1,1,
p41-boxing-0021,brics-odroid-009_cam1,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-010_cam0,16,16,1.0,1.8125,1,1,
p41-boxing-0021,brics-odroid-010_cam1,16,16,1.0,1.5,1,1,
p41-boxing-0021,brics-odroid-011_cam0,16,16,1.0,1.8125,1,1,
p41-boxing-0021,brics-odroid-012_cam0,16,14,0.875,1.125,1,1,
p41-boxing-0021,brics-odroid-012_cam1,16,16,1.0,1.5625,1,1,
p41-boxing-0021,brics-odroid-014_cam1,16,15,0.9375,1.3125,1,1,
p41-boxing-0021,brics-odroid-015_cam0,16,16,1.0,1.75,1,1,
p41-boxing-0021,brics-odroid-015_cam1,16,16,1.0,1.625,1,1,
p41-boxing-0021,brics-odroid-016_cam0,16,16,1.0,2.375,1,1,
p41-boxing-0021,brics-odroid-017_cam0,16,16,1.0,1.8125,1,1,
p41-boxing-0021,brics-odroid-017_cam1,16,16,1.0,2.0,1,1,
p41-boxing-0021,brics-odroid-019_cam1,16,16,1.0,1.375,1,1,
p41-boxing-0021,brics-odroid-020_cam0,16,16,1.0,1.8125,1,1,
p41-boxing-0021,brics-odroid-020_cam1,16,16,1.0,1.9375,1,1,
p41-boxing-0021,brics-odroid-021_cam0,16,16,1.0,1.8125,1,1,
p41-boxing-0021,brics-odroid-021_cam1,16,15,0.9375,0.9375,1,1,
p41-boxing-0021,brics-odroid-022_cam0,16,16,1.0,1.0,1,1,
