probe,probe_name,n_features,n_views,bias_mae,bias_mae_lo,bias_mae_hi,bias_median_abs_err,spearman_pred_vs_actual,spearman_ci_lo,spearman_ci_hi,median_rel_focal_err_pct,focal_ci_lo,focal_ci_hi,p90_rel_focal_err_pct,signed_median_focal_err_pct,within_5pct,within_10pct,within_20pct,corrected_focal_mean,corrected_focal_std,corrected_focal_cv_pct,reference_focal_cv_pct,focal_tracking_spearman
B3,TRAINING_FOLD_CONSTANT_REFERENCE_ORACLE,0,160,0.012693,0.010259,0.01541,0.009331,0.97,0.9474,0.9811,0.9325,0.5293,1.1078,2.6452,0.0,0.975,0.9938,1.0,921.74,0.142,0.015,1.904,-0.651
C1,ANYCALIB_FOCAL_PRIOR_CONTROL,1,160,0.013176,0.010663,0.016022,0.010359,0.9691,0.9462,0.9804,1.0305,0.5968,1.2128,2.7306,0.015,0.9688,0.9938,1.0,921.96,1.736,0.188,1.904,-0.4964
P1,F0_HAND_VISIBILITY_AND_BOX,20,160,0.062351,0.052139,0.073523,0.046548,-0.0847,-0.2743,0.1152,4.7649,3.6887,6.0827,12.6285,0.3293,0.5125,0.7812,0.975,924.58,73.775,7.979,1.904,0.0312
B1,GLOBAL_BIAS_CORRECTED_ANYCALIB,0,160,0.061696,0.051441,0.073144,0.04825,-0.6945,-0.77,-0.5677,4.7998,3.6031,5.8074,12.2991,0.0837,0.5312,0.8,0.9688,919.69,72.565,7.89,1.904,0.0148
P0,BASELINE_TRAINING_MEAN,0,160,0.062049,0.051973,0.073485,0.048448,-0.7281,-0.8133,-0.5902,4.8016,3.8207,5.728,11.9634,0.6344,0.5062,0.8063,0.9688,924.58,73.416,7.94,1.904,0.0147
P2,F1_CAMERA_HEAD_OUTPUT,6,160,0.064196,0.053787,0.075838,0.048563,-0.4198,-0.549,-0.2603,4.811,3.6395,6.1416,12.7954,1.1011,0.5062,0.7937,0.9625,924.31,75.555,8.174,1.904,0.0065
B2,CAM005_FROZEN_SCENE_BASELINE,31,160,0.059971,0.050736,0.070154,0.049383,0.2786,0.0977,0.4419,4.872,3.6633,5.8576,12.346,-0.0752,0.5125,0.8187,0.9812,923.43,70.381,7.622,1.904,0.0525
P4,F3_TEMPORAL_HAND_STABILITY,10,160,0.063043,0.053,0.07427,0.050748,-0.224,-0.3655,-0.0706,4.9869,3.7382,6.1777,12.768,0.824,0.5062,0.7937,0.9688,924.31,74.466,8.056,1.904,0.007
P8,SCENE_PLUS_ALL_EXPLICIT,109,160,0.061731,0.052919,0.071448,0.050015,0.2351,0.066,0.3876,5.0656,4.0073,6.1347,12.6188,0.215,0.4938,0.8063,0.975,922.89,71.411,7.738,1.904,0.0625
P9,SCENE_PLUS_LATENT,1311,160,0.066028,0.055999,0.076326,0.051244,0.0324,-0.1603,0.2231,5.1868,4.5417,6.1346,13.3534,-0.1301,0.4938,0.7625,0.975,922.71,76.249,8.264,1.904,0.0117
P7,ALL_EXPLICIT_PLUS_LATENT,1358,160,0.065792,0.056273,0.075692,0.052292,0.0149,-0.1573,0.1862,5.2019,4.6565,6.4011,13.3779,-0.6791,0.4625,0.7688,0.975,921.98,75.821,8.224,1.904,0.0126
P5,ALL_EXPLICIT_HAND_OUTPUTS,78,160,0.063778,0.054144,0.074787,0.0518,0.0352,-0.1548,0.223,5.2268,4.1345,6.392,13.1611,0.1611,0.4813,0.7875,0.9688,924.23,75.016,8.117,1.904,0.0646
P3,F2_EXPLICIT_HAND_GEOMETRY,42,160,0.063336,0.054003,0.073949,0.053252,0.0867,-0.0595,0.2403,5.2619,4.4211,6.3386,11.7948,-0.0601,0.4625,0.8313,0.9625,924.68,74.048,8.008,1.904,0.0469
P6,LEARNED_HAND_LATENT,1280,160,0.065911,0.056266,0.075677,0.054035,0.0055,-0.186,0.2084,5.4425,4.444,6.3365,12.7908,-0.5607,0.4688,0.7438,0.975,922.15,75.029,8.136,1.904,-0.0222
P10,SCENE_PLUS_ALL_HAND,1389,160,0.068959,0.058835,0.079475,0.05405,-0.0537,-0.2344,0.1287,5.5045,4.4737,6.5566,14.2168,-0.8028,0.4625,0.75,0.9625,922.15,79.839,8.658,1.904,0.0278
B0,RAW_ANYCALIB,0,160,0.110109,0.094198,0.126612,0.102013,nan,nan,nan,9.6979,7.6718,11.0851,18.5907,-9.0912,0.2,0.5125,0.95,835.66,65.339,7.819,1.904,0.0155
