probe,probe_name,n_features,n_views,bias_mae,bias_mae_lo,bias_mae_hi,bias_median_abs_err,spearman_pred_vs_actual,spearman_ci_lo,spearman_ci_hi,median_rel_focal_err_pct,focal_ci_lo,focal_ci_hi,p90_rel_focal_err_pct,signed_median_focal_err_pct,within_5pct,within_10pct,within_20pct,corrected_focal_mean,corrected_focal_std,corrected_focal_cv_pct,reference_focal_cv_pct,focal_tracking_spearman
B0,RAW_ANYCALIB,0,160,0.110109,0.094198,0.126612,0.102013,nan,nan,nan,9.6979,7.6718,11.0851,18.5907,-9.0912,0.2,0.5125,0.95,835.66,65.339,7.819,1.904,0.0155
B1,GLOBAL_BIAS_CORRECTED_ANYCALIB,0,160,0.06222,0.052255,0.073378,0.046747,-0.1275,-0.2625,0.0089,4.6387,3.4823,5.944,12.1407,0.3293,0.525,0.7937,0.9625,919.82,72.554,7.888,1.904,0.0132
B2,CAM005_FROZEN_SCENE_BASELINE,31,160,0.06206,0.053914,0.070707,0.052356,0.2675,0.0819,0.4276,5.1008,4.1943,6.2971,12.602,0.5055,0.5,0.825,0.9625,930.51,72.976,7.843,1.904,0.0621
B3,TRAINING_FOLD_CONSTANT_REFERENCE_ORACLE,0,160,0.012582,0.01015,0.015292,0.009176,0.9702,0.9477,0.9813,0.9171,0.5293,1.1023,2.6484,-0.0077,0.975,0.9938,1.0,921.74,0.122,0.013,1.904,-0.0529
C1,ANYCALIB_FOCAL_PRIOR_CONTROL,1,160,0.012608,0.010216,0.01531,0.008836,0.9699,0.9475,0.981,0.8826,0.55,1.1638,2.6341,-0.0528,0.9812,0.9938,1.0,921.51,0.911,0.099,1.904,-0.0235
P0,BASELINE_TRAINING_MEAN,0,160,0.061476,0.051587,0.072608,0.046073,-0.1178,-0.2507,0.0158,4.6117,3.6588,5.7469,11.5337,0.6306,0.5125,0.8063,0.9688,924.41,72.592,7.853,1.904,0.0138
P1,F0_HAND_VISIBILITY_AND_BOX,20,160,0.060661,0.051107,0.071132,0.04807,0.1048,-0.0825,0.2792,4.8911,3.4336,6.2717,12.3236,0.1947,0.5188,0.7937,0.9812,922.4,70.897,7.686,1.904,0.0389
P10,SCENE_PLUS_ALL_HAND,1389,160,0.069927,0.062187,0.077972,0.060768,0.1651,-0.0394,0.351,5.9269,5.2353,7.0844,13.7304,-0.8856,0.4,0.7688,0.975,926.18,79.513,8.585,1.904,0.0636
P2,F1_CAMERA_HEAD_OUTPUT,6,160,0.062662,0.052801,0.073812,0.04809,-0.0965,-0.232,0.042,4.8383,3.8289,6.0945,12.1301,0.9674,0.5188,0.8063,0.9688,925.77,73.547,7.944,1.904,0.0111
P3,F2_EXPLICIT_HAND_GEOMETRY,42,160,0.066149,0.057042,0.076363,0.05685,0.0484,-0.0888,0.1757,5.7241,4.6821,6.7288,12.5651,-0.157,0.4375,0.7937,0.9688,922.29,77.272,8.378,1.904,0.0689
P4,F3_TEMPORAL_HAND_STABILITY,10,160,0.066935,0.056674,0.078195,0.050858,-0.0205,-0.1828,0.1308,4.9856,3.749,6.1705,13.0543,0.143,0.5062,0.7875,0.9563,915.49,78.817,8.609,1.904,-0.0142
P5,ALL_EXPLICIT_HAND_OUTPUTS,78,160,0.06757,0.058655,0.077347,0.057743,0.0593,-0.1208,0.2261,5.719,4.5511,7.221,12.8136,0.3031,0.4375,0.7812,0.9688,926.21,78.207,8.444,1.904,0.0995
P6,LEARNED_HAND_LATENT,1280,160,0.065635,0.058102,0.073309,0.058291,0.1867,-0.0167,0.3701,5.7148,4.7861,6.4484,12.7201,-1.4043,0.4375,0.8187,0.975,921.56,74.234,8.055,1.904,0.014
P7,ALL_EXPLICIT_PLUS_LATENT,1358,160,0.068312,0.060254,0.076678,0.059569,0.1611,-0.0438,0.3463,6.0856,4.8205,7.1026,13.8384,-0.3705,0.4188,0.8,0.975,930.12,77.864,8.371,1.904,0.0342
P8,SCENE_PLUS_ALL_EXPLICIT,109,160,0.06213,0.054217,0.070628,0.055392,0.2483,0.0455,0.4184,5.5711,4.3307,6.551,12.0371,0.0267,0.4562,0.8438,0.975,923.73,71.578,7.749,1.904,0.0998
P9,SCENE_PLUS_LATENT,1311,160,0.064551,0.056867,0.072475,0.052978,0.2013,-0.002,0.3782,5.3285,4.4504,6.0301,13.2218,-0.7641,0.4813,0.7688,0.975,922.78,75.351,8.166,1.904,0.0355
