subset,threshold_pct,probe,n_views,n_physical_cameras,underpowered,median_rel_focal_err_pct
S2,2.0,B1,33,21,0,5.5951
S2,2.0,B2,33,21,0,5.2777
S2,2.0,P1,33,21,0,6.1527
S2,2.0,P2,33,21,0,5.0819
S2,2.0,P3,33,21,0,6.0505
S2,2.0,P4,33,21,0,5.0872
S2,2.0,P5,33,21,0,5.8529
S2,2.0,P6,33,21,0,4.8305
S2,2.0,P7,33,21,0,4.7284
S2,2.0,P8,33,21,0,5.9332
S2,2.0,P9,33,21,0,4.6175
S2,2.0,P10,33,21,0,4.3391
S5,5.0,B1,4,4,1,14.8048
S5,5.0,B2,4,4,1,11.5298
S5,5.0,P1,4,4,1,14.5053
S5,5.0,P2,4,4,1,15.9341
S5,5.0,P3,4,4,1,13.4984
S5,5.0,P4,4,4,1,15.8433
S5,5.0,P5,4,4,1,12.5648
S5,5.0,P6,4,4,1,11.6232
S5,5.0,P7,4,4,1,10.0061
S5,5.0,P8,4,4,1,10.8634
S5,5.0,P9,4,4,1,11.4587
S5,5.0,P10,4,4,1,9.6264
