control,probe,seed,n_views,bias_mae,bias_mae_lo,bias_mae_hi,bias_median_abs_err,spearman_pred_vs_actual,spearman_ci_lo,spearman_ci_hi,median_rel_focal_err_pct,focal_ci_lo,focal_ci_hi,p90_rel_focal_err_pct,signed_median_focal_err_pct,within_5pct,within_10pct,within_20pct,corrected_focal_mean,corrected_focal_std,corrected_focal_cv_pct,reference_focal_cv_pct,focal_tracking_spearman
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,0,160,0.068847,0.0583,0.080398,0.052873,-0.0622,-0.2097,0.0917,5.3231,4.4442,6.2232,14.4349,-0.1777,0.4688,0.7875,0.95,922.19,81.748,8.865,1.904,0.0316
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,1,160,0.064818,0.054648,0.075791,0.05464,-0.0398,-0.2493,0.1696,5.4934,3.6458,6.633,12.1762,1.2466,0.475,0.7812,0.9688,927.38,74.76,8.061,1.904,0.0132
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,2,160,0.065672,0.054546,0.078091,0.052835,-0.0802,-0.2636,0.101,5.3021,3.935,6.5909,13.8808,0.3886,0.475,0.7875,0.9625,922.33,75.502,8.186,1.904,0.0044
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,3,160,0.068478,0.05774,0.081002,0.052459,-0.0841,-0.2612,0.1003,5.3446,4.3937,6.6008,14.1888,1.1808,0.4625,0.8063,0.9563,930.27,83.758,9.004,1.904,-0.0259
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,4,160,0.064959,0.054242,0.076928,0.050368,-0.0823,-0.2878,0.1143,4.9526,4.19,5.9228,13.483,-0.1097,0.5062,0.8,0.9625,919.82,75.565,8.215,1.904,-0.0176
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,5,160,0.06124,0.051161,0.072524,0.046421,0.0259,-0.1378,0.1805,4.5616,3.6413,5.7673,13.3263,0.3303,0.5437,0.8,0.9688,923.46,73.678,7.978,1.904,0.038
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,6,160,0.066329,0.055135,0.07877,0.051391,-0.0565,-0.2253,0.1293,5.2122,3.799,5.8379,14.984,0.7416,0.4813,0.8,0.95,927.95,83.939,9.046,1.904,-0.0074
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,7,160,0.065278,0.055045,0.076821,0.044524,-0.0508,-0.1847,0.0913,4.5069,3.9201,5.9862,13.7591,0.0149,0.5375,0.7688,0.9625,925.83,78.24,8.451,1.904,0.0382
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,8,160,0.068123,0.055778,0.08155,0.048189,-0.0646,-0.2648,0.149,4.7862,3.3666,6.5689,13.6505,0.0248,0.525,0.7875,0.9563,927.42,103.516,11.162,1.904,0.0
C2_HAND_FEATURE_VIEW_SHUFFLE,P5,9,160,0.066522,0.055977,0.078416,0.053117,-0.1423,-0.3117,0.0326,5.4553,4.3174,6.2833,14.0063,0.7469,0.4875,0.7875,0.9563,927.3,81.267,8.764,1.904,0.0666
C2_HAND_FEATURE_VIEW_SHUFFLE,P6,0,160,0.064263,0.053419,0.076357,0.044678,0.0251,-0.1324,0.186,4.509,3.6939,5.8863,13.4652,0.4213,0.55,0.8125,0.9563,927.3,77.447,8.352,1.904,0.0467
C2_HAND_FEATURE_VIEW_SHUFFLE,P6,1,160,0.06002,0.05043,0.070873,0.044462,0.1948,0.0177,0.355,4.5465,3.4528,5.6943,13.1727,0.1194,0.5375,0.8187,0.9812,926.22,71.119,7.678,1.904,0.041
C2_HAND_FEATURE_VIEW_SHUFFLE,P6,2,160,0.066924,0.056237,0.079353,0.057649,-0.0425,-0.2648,0.1739,5.7132,4.4542,6.9671,13.8258,1.106,0.45,0.7625,0.9625,931.11,77.006,8.27,1.904,-0.0545
C2_HAND_FEATURE_VIEW_SHUFFLE,P6,3,160,0.068427,0.057581,0.080613,0.054348,-0.0123,-0.1975,0.1696,5.4546,4.3753,5.9683,14.1156,-0.0084,0.4437,0.8,0.9437,925.97,81.66,8.819,1.904,0.0085
C2_HAND_FEATURE_VIEW_SHUFFLE,P6,4,160,0.064819,0.054635,0.076138,0.044366,-0.0055,-0.159,0.1487,4.5022,3.595,5.7618,14.2062,0.3668,0.5625,0.7688,0.9625,923.46,78.203,8.468,1.904,0.012
