probe,probe_name,median_rel_focal_err_pct,within_5pct,bias_mae,spearman,spearman_ci_lo,vs_B1_rel_reduction_pct,vs_B1_within5_gain_pp,cond1_beats_B1,cond2_positive_spearman_ci,cond3_beats_shuffle,cond4_not_constant_collapse,HAND_DERIVED_SIGNAL_PROMISING,vs_B2_scene_rel_reduction_pct,vs_B2_within5_gain_pp,SCENE_PLUS_HAND_PROMISING,loso_median_rel_focal_err_pct,loso_spearman
P1,F0_HAND_VISIBILITY_AND_BOX,4.7649,0.5125,0.062351,-0.0847,-0.2743,0.727,-1.87,0,0,,1,0,2.198,0.0,,4.8911,0.1048
P2,F1_CAMERA_HEAD_OUTPUT,4.811,0.5062,0.064196,-0.4198,-0.549,-0.233,-2.5,0,0,,1,0,1.252,-0.63,,4.8383,-0.0965
P3,F2_EXPLICIT_HAND_GEOMETRY,5.2619,0.4625,0.063336,0.0867,-0.0595,-9.627,-6.87,0,0,,1,0,-8.003,-5.0,,5.7241,0.0484
P4,F3_TEMPORAL_HAND_STABILITY,4.9869,0.5062,0.063043,-0.224,-0.3655,-3.898,-2.5,0,0,,1,0,-2.358,-0.63,,4.9856,-0.0205
P5,ALL_EXPLICIT_HAND_OUTPUTS,5.2268,0.4813,0.063778,0.0352,-0.1548,-8.896,-4.99,0,0,1,1,0,-7.282,-3.12,,5.719,0.0593
P6,LEARNED_HAND_LATENT,5.4425,0.4688,0.065911,0.0055,-0.186,-13.39,-6.24,0,0,0,1,0,-11.71,-4.37,,5.7148,0.1867
P7,ALL_EXPLICIT_PLUS_LATENT,5.2019,0.4625,0.065792,0.0149,-0.1573,-8.377,-6.87,0,0,0,1,0,-6.771,-5.0,,6.0856,0.1611
P8,SCENE_PLUS_ALL_EXPLICIT,5.0656,0.4938,0.061731,0.2351,0.066,-5.538,-3.74,0,1,,1,0,-3.974,-1.87,0,5.5711,0.2483
P9,SCENE_PLUS_LATENT,5.1868,0.4938,0.066028,0.0324,-0.1603,-8.063,-3.74,0,0,,1,0,-6.461,-1.87,0,5.3285,0.2013
P10,SCENE_PLUS_ALL_HAND,5.5045,0.4625,0.068959,-0.0537,-0.2344,-14.682,-6.87,0,0,,1,0,-12.982,-5.0,0,5.9269,0.1651
