feature,group,view_aggregation,focal_free
availability_rate,F0,view-level scalar,1
mean_hands_per_frame,F0,view-level scalar,1
n_hands_std,F0,view-level scalar,1
side_consistency,F0,view-level scalar,1
bbox_area_norm__median,F0,median,1
bbox_area_norm__iqr,F0,iqr,1
bbox_aspect__median,F0,median,1
bbox_aspect__iqr,F0,iqr,1
bbox_cx_norm__median,F0,median,1
bbox_cx_norm__iqr,F0,iqr,1
bbox_cy_norm__median,F0,median,1
bbox_cy_norm__iqr,F0,iqr,1
bbox_h_over_H__median,F0,median,1
bbox_h_over_H__iqr,F0,iqr,1
bbox_w_over_W__median,F0,median,1
bbox_w_over_W__iqr,F0,iqr,1
bone_ratio_mean__median,F2,median,1
bone_ratio_mean__iqr,F2,iqr,1
bone_ratio_std__median,F2,median,1
bone_ratio_std__iqr,F2,iqr,1
box_size_norm__median,F0,median,1
box_size_norm__iqr,F0,iqr,1
depth_extent__median,F2,median,1
depth_extent__iqr,F2,iqr,1
depth_over_diameter__median,F2,median,1
depth_over_diameter__iqr,F2,iqr,1
det_score__median,F0,median,1
det_score__iqr,F0,iqr,1
finger_spread__median,F2,median,1
finger_spread__iqr,F2,iqr,1
global_orient_aa_norm__median,F2,median,1
global_orient_aa_norm__iqr,F2,iqr,1
hand_diameter__median,F2,median,1
hand_diameter__iqr,F2,iqr,1
hand_pose_aa_mean_abs__median,F2,median,1
hand_pose_aa_mean_abs__iqr,F2,iqr,1
hand_pose_aa_norm__median,F2,median,1
hand_pose_aa_norm__iqr,F2,iqr,1
lateral_extent__median,F2,median,1
lateral_extent__iqr,F2,iqr,1
mano_beta_0__median,F2,median,1
mano_beta_0__iqr,F2,iqr,1
mano_beta_1__median,F2,median,1
mano_beta_1__iqr,F2,iqr,1
mano_beta_2__median,F2,median,1
mano_beta_2__iqr,F2,iqr,1
mano_beta_3__median,F2,median,1
mano_beta_3__iqr,F2,iqr,1
mano_beta_4__median,F2,median,1
mano_beta_4__iqr,F2,iqr,1
mano_beta_5__median,F2,median,1
mano_beta_5__iqr,F2,iqr,1
mano_beta_6__median,F2,median,1
mano_beta_6__iqr,F2,iqr,1
mano_beta_7__median,F2,median,1
mano_beta_7__iqr,F2,iqr,1
mano_beta_8__median,F2,median,1
mano_beta_8__iqr,F2,iqr,1
mano_beta_9__median,F2,median,1
mano_beta_9__iqr,F2,iqr,1
palm_normal_z__median,F2,median,1
palm_normal_z__iqr,F2,iqr,1
pred_cam_s__median,F1,median,1
pred_cam_s__iqr,F1,iqr,1
pred_cam_tx__median,F1,median,1
pred_cam_tx__iqr,F1,iqr,1
pred_cam_ty__median,F1,median,1
pred_cam_ty__iqr,F1,iqr,1
pred_cam_s__std,F3,std,1
pred_cam_tx__std,F3,std,1
pred_cam_ty__std,F3,std,1
bbox_area_norm__std,F3,std,1
box_size_norm__std,F3,std,1
hand_diameter__std,F3,std,1
depth_over_diameter__std,F3,std,1
det_score__std,F3,std,1
hand_pose_aa_norm__std,F3,std,1
beta_std_mean,F3,view-level scalar,1
