feature,group,n_views,nan_rate,mean,std,range,dropped,drop_criterion_is_target_independent
availability_rate,F0,175,0.0,0.8675,0.30179818,1.0,,1
mean_hands_per_frame,F0,175,0.0,1.453571,0.65358607,2.625,,1
n_hands_std,F0,175,0.0,0.255752,0.24402152,0.790569,,1
side_consistency,F0,175,0.0743,0.65723,0.18605631,0.5,,1
bbox_area_norm__median,F0,175,0.0743,0.062483,0.04128663,0.27517,,1
bbox_area_norm__iqr,F0,175,0.0743,0.015168,0.02256646,0.21347,,1
bbox_aspect__median,F0,175,0.0743,1.148877,0.31162493,2.369985,,1
bbox_aspect__iqr,F0,175,0.0743,0.126888,0.1261478,0.710327,,1
bbox_cx_norm__median,F0,175,0.0743,0.479108,0.17724382,0.761133,,1
bbox_cx_norm__iqr,F0,175,0.0743,0.042769,0.05223457,0.291016,,1
bbox_cy_norm__median,F0,175,0.0743,0.446392,0.2067517,0.866319,,1
bbox_cy_norm__iqr,F0,175,0.0743,0.051851,0.05941553,0.360243,,1
bbox_h_over_H__median,F0,175,0.0743,0.303807,0.10310846,0.585417,,1
bbox_h_over_H__iqr,F0,175,0.0743,0.040246,0.04124585,0.249479,,1
bbox_w_over_W__median,F0,175,0.0743,0.18924,0.06188394,0.372461,,1
bbox_w_over_W__iqr,F0,175,0.0743,0.02462,0.02755678,0.243457,,1
bone_ratio_mean__median,F2,175,0.0743,0.295003,0.0441409,0.141782,,1
bone_ratio_mean__iqr,F2,175,0.0743,0.01318,0.01274167,0.080645,,1
bone_ratio_std__median,F2,175,0.0743,0.189524,0.02913359,0.093543,,1
bone_ratio_std__iqr,F2,175,0.0743,0.008672,0.00837127,0.053786,,1
box_size_norm__median,F0,175,0.0743,0.507784,0.16529612,0.993229,,1
box_size_norm__iqr,F0,175,0.0743,0.06431,0.07270201,0.649219,,1
depth_extent__median,F2,175,0.0743,0.085901,0.01845461,0.112498,,1
depth_extent__iqr,F2,175,0.0743,0.008907,0.00806248,0.045048,,1
depth_over_diameter__median,F2,175,0.0743,0.63953,0.12666761,0.630125,,1
depth_over_diameter__iqr,F2,175,0.0743,0.068577,0.06161407,0.385467,,1
det_score__median,F0,175,0.0743,0.743935,0.10637106,0.562193,,1
det_score__iqr,F0,175,0.0743,0.077515,0.06479009,0.284837,,1
finger_spread__median,F2,175,0.0743,0.587682,0.1161334,0.548767,,1
finger_spread__iqr,F2,175,0.0743,0.072034,0.05100855,0.262718,,1
global_orient_aa_norm__median,F2,175,0.0743,2.385618,0.39316854,2.116432,,1
global_orient_aa_norm__iqr,F2,175,0.0743,0.206234,0.21362011,1.16837,,1
hand_diameter__median,F2,175,0.0743,0.135775,0.02012155,0.065741,,1
hand_diameter__iqr,F2,175,0.0743,0.006559,0.00649597,0.037685,,1
