probe,name,groups,status
P0,BASELINE_TRAINING_MEAN,(none),baseline
P1,F0_HAND_VISIBILITY_AND_BOX,F0,deployable
P2,F1_CAMERA_HEAD_OUTPUT,F1,deployable
P3,F2_EXPLICIT_HAND_GEOMETRY,F2,deployable
P4,F3_TEMPORAL_HAND_STABILITY,F3,deployable
P5,ALL_EXPLICIT_HAND_OUTPUTS,F0+F1+F2+F3,deployable
P6,LEARNED_HAND_LATENT,F4,deployable
P7,ALL_EXPLICIT_PLUS_LATENT,F0+F1+F2+F3+F4,deployable
P8,SCENE_PLUS_ALL_EXPLICIT,SCENE+F0+F1+F2+F3,deployable
P9,SCENE_PLUS_LATENT,SCENE+F4,deployable
P10,SCENE_PLUS_ALL_HAND,SCENE+F0+F1+F2+F3+F4,deployable
