condition,sequence,camera,physical_camera_id,f_scene_only,f_reference,f_lam_0.01,f_lam_0.03,f_lam_0.1,f_lam_0.3,f_lam_1.0,f_lam_3.0,f_lam_10.0
N0,p36-tea-0010,brics-odroid-001_cam0,brics-odroid-001_cam0,782.4989626952857,921.610657,782.5038809919371,782.5136915457649,782.5477574674655,782.6428237332791,782.9512147754357,783.6659985792415,785.110799899989
N0,p36-tea-0010,brics-odroid-001_cam1,brics-odroid-001_cam1,809.0219434759466,918.354065,809.0172568895598,809.007877961274,808.9749911555339,808.8805066977683,808.543595891521,807.5243538519203,803.7672620395158
N0,p36-tea-0010,brics-odroid-002_cam0,brics-odroid-002_cam0,877.6286051128469,940.340637,877.62197687747,877.6087464408716,877.5627114901121,877.4334674415335,877.0061731392964,875.9659912130879,873.3554279520177
N0,p36-tea-0010,brics-odroid-006_cam0,brics-odroid-006_cam0,852.0559417524189,919.383789,852.0519933745493,852.0440917650618,852.0163850629237,851.9367827079344,851.6529328969693,850.7941634492158,847.7777715576865
N0,p36-tea-0010,brics-odroid-007_cam0,brics-odroid-007_cam0,883.5842022711734,924.420349,883.5813063702632,883.5755172549312,883.5552835158319,883.4977131653351,883.2989793907951,882.7538317289169,881.0758610664902
N0,p36-tea-0010,brics-odroid-007_cam1,brics-odroid-007_cam1,868.8830908524818,931.304504,868.8997746849221,868.9327108992912,869.043646956406,869.3275668478589,870.0494605384483,871.0593220732176,872.0055326538202
N0,p36-tea-0010,brics-odroid-009_cam1,brics-odroid-009_cam1,756.7067253516059,931.934998,756.7152694840362,756.7323626130394,756.7922396864717,756.9637564344104,757.5692388915334,759.344790017677,764.4549509715387
N0,p36-tea-0010,brics-odroid-010_cam0,brics-odroid-010_cam0,956.491645327415,932.026672,956.4946546214582,956.5006731467807,956.5217373264188,956.5819150488554,956.7924712052197,957.3934961347643,959.4905229738362
N0,p36-tea-0010,brics-odroid-010_cam1,brics-odroid-010_cam1,815.4442459749152,934.134155,815.4402594968968,815.432286560707,815.4043814924232,815.3246545121195,815.0456309234704,814.2485994008175,811.6306898865677
N0,p36-tea-0010,brics-odroid-011_cam0,brics-odroid-011_cam0,803.4896556604573,922.774414,803.4913473853295,803.4947308048992,803.5065724565876,803.5404030318498,803.6587783758192,803.9967224159229,805.1763709453952
