sequence,camera,condition,n_hand_observations,cx,cy,k1,r_fy
p36-tea-0010,brics-odroid-001_cam0,N1,4,633.374,338.679,-0.31339,1.007684
p36-tea-0010,brics-odroid-001_cam1,N1,90,625.367,288.306,-0.31262,1.007895
p36-tea-0010,brics-odroid-002_cam0,N1,80,670.133,301.495,-0.33153,1.004912
p36-tea-0010,brics-odroid-006_cam0,N1,54,687.268,373.177,-0.30192,1.003839
p36-tea-0010,brics-odroid-007_cam0,N1,119,666.975,361.817,-0.32954,1.008727
p36-tea-0010,brics-odroid-007_cam1,N1,111,645.01,354.144,-0.35172,1.008547
p36-tea-0010,brics-odroid-009_cam1,N1,115,625.789,312.819,-0.29332,1.010375
p36-tea-0010,brics-odroid-010_cam0,N1,47,653.848,332.364,-0.35051,1.008103
p36-tea-0010,brics-odroid-010_cam1,N1,56,652.762,322.816,-0.26269,1.007803
p36-tea-0010,brics-odroid-011_cam0,N1,116,617.816,335.306,-0.3131,1.008228
p36-tea-0010,brics-odroid-012_cam0,N1,92,624.159,338.707,-0.31649,1.0043
p36-tea-0010,brics-odroid-012_cam1,N1,94,644.913,370.083,-0.30654,1.0082
p36-tea-0010,brics-odroid-014_cam1,N1,33,631.922,325.047,-0.33818,1.006175
p36-tea-0010,brics-odroid-015_cam0,N1,91,612.762,356.393,-0.29772,1.006357
p36-tea-0010,brics-odroid-015_cam1,N1,119,653.32,386.069,-0.28491,1.009511
p36-tea-0010,brics-odroid-016_cam0,N1,102,656.524,284.009,-0.40909,1.004185
p36-tea-0010,brics-odroid-017_cam0,N1,100,608.491,360.493,-0.31312,1.005357
p36-tea-0010,brics-odroid-017_cam1,N1,107,620.154,309.6,-0.34298,1.007939
p36-tea-0010,brics-odroid-019_cam1,N1,72,638.913,331.961,-0.39908,1.005506
p36-tea-0010,brics-odroid-020_cam0,N1,36,685.925,304.393,-0.28545,1.007319
p36-tea-0010,brics-odroid-020_cam1,N1,51,625.349,354.815,-0.27974,1.008556
p36-tea-0010,brics-odroid-021_cam0,N1,97,611.17,329.683,-0.31776,1.00726
p36-tea-0010,brics-odroid-021_cam1,N1,86,642.582,362.27,-0.31842,1.012833
p36-tea-0010,brics-odroid-022_cam0,N1,44,621.285,334.8,-0.32551,1.009672
p36-tea-0010,brics-odroid-022_cam1,N1,76,628.7,381.148,-0.30738,1.006018
p36-tea-0010,brics-odroid-023_cam0,N1,100,639.689,334.074,-0.29939,1.00424
p36-tea-0010,brics-odroid-024_cam0,N1,91,640.02,325.425,-0.26745,1.00956
p36-tea-0010,brics-odroid-024_cam1,N1,108,613.412,391.805,-0.30285,1.010118
p36-tea-0010,brics-odroid-025_cam0,N1,62,666.679,326.532,-0.17152,1.006916
p36-tea-0010,brics-odroid-025_cam1,N1,119,611.242,336.83,-0.27264,1.003526
p36-tea-0010,brics-odroid-026_cam0,N1,29,667.885,340.859,-0.34858,1.006514
p36-tea-0010,brics-odroid-026_cam1,N1,47,623.895,326.857,-0.34399,1.00839
p36-tea-0010,brics-odroid-027_cam0,N1,37,635.196,370.85,-0.37635,1.00972
p36-tea-0010,brics-odroid-027_cam1,N1,5,637.593,348.482,-0.3363,1.013906
p36-tea-0010,brics-odroid-028_cam0,N1,16,634.152,352.473,-0.31055,1.012459
p36-tea-0010,brics-odroid-029_cam0,N1,4,653.291,335.683,-0.44675,1.008741
p36-tea-0010,brics-odroid-029_cam1,N1,24,664.378,322.856,-0.289,1.008239
p36-tea-0010,brics-odroid-030_cam0,N1,83,637.935,303.971,-0.26498,1.002284
p36-tea-0010,brics-odroid-030_cam1,N1,20,643.799,359.605,-0.24932,1.011499
p41-boxing-0021,brics-odroid-001_cam1,N1,26,625.367,288.306,-0.34376,1.01046
p41-boxing-0021,brics-odroid-002_cam0,N1,10,670.133,301.495,-0.3117,1.010985
p41-boxing-0021,brics-odroid-006_cam0,N1,94,687.268,373.177,-0.25055,1.00477
p41-boxing-0021,brics-odroid-007_cam0,N1,124,666.975,361.817,-0.30995,1.009572
p41-boxing-0021,brics-odroid-007_cam1,N1,110,645.01,354.144,-0.37626,1.010039
p41-boxing-0021,brics-odroid-008_cam0,N1,25,653.525,353.674,-0.41334,1.009254
p41-boxing-0021,brics-odroid-009_cam1,N1,122,625.789,312.819,-0.3073,1.009739
p41-boxing-0021,brics-odroid-010_cam0,N1,110,653.848,332.364,-0.30791,1.010452
p41-boxing-0021,brics-odroid-010_cam1,N1,6,652.762,322.816,-0.2741,1.008549
p41-boxing-0021,brics-odroid-011_cam0,N1,109,617.816,335.306,-0.38898,1.008981
p41-boxing-0021,brics-odroid-012_cam0,N1,87,624.159,338.707,-0.3559,1.007365
p41-boxing-0021,brics-odroid-012_cam1,N1,58,644.913,370.083,-0.35634,1.007703
p41-boxing-0021,brics-odroid-014_cam1,N1,61,631.922,325.047,-0.32692,1.010365
p41-boxing-0021,brics-odroid-015_cam0,N1,108,612.762,356.393,-0.33649,1.005873
p41-boxing-0021,brics-odroid-015_cam1,N1,114,653.32,386.069,-0.30459,1.011358
p41-boxing-0021,brics-odroid-016_cam0,N1,95,656.524,284.009,-0.4056,1.00594
p41-boxing-0021,brics-odroid-017_cam0,N1,81,608.491,360.493,-0.31313,1.004074
p41-boxing-0021,brics-odroid-017_cam1,N1,114,620.154,309.6,-0.37064,1.008915
p41-boxing-0021,brics-odroid-019_cam1,N1,67,638.913,331.961,-0.29719,1.002697
p41-boxing-0021,brics-odroid-020_cam0,N1,108,685.925,304.393,-0.2323,1.015361
p41-boxing-0021,brics-odroid-020_cam1,N1,115,625.349,354.815,-0.32047,1.007707
p41-boxing-0021,brics-odroid-021_cam0,N1,103,611.17,329.683,-0.31187,1.006309
p41-boxing-0021,brics-odroid-021_cam1,N1,80,642.582,362.27,-0.31382,1.010687
p41-boxing-0021,brics-odroid-022_cam0,N1,2,621.285,334.8,-0.32056,1.012268
p41-boxing-0021,brics-odroid-023_cam0,N1,105,639.689,334.074,-0.26531,1.008593
p41-boxing-0021,brics-odroid-024_cam0,N1,98,640.02,325.425,-0.29376,1.009715
p41-boxing-0021,brics-odroid-024_cam1,N1,105,613.412,391.805,-0.32377,1.00853
p41-boxing-0021,brics-odroid-025_cam0,N1,106,666.679,326.532,-0.22296,1.009671
p41-boxing-0021,brics-odroid-025_cam1,N1,46,611.242,336.83,-0.30365,1.00877
p41-boxing-0021,brics-odroid-026_cam0,N1,42,667.885,340.859,-0.35039,1.008989
p41-boxing-0021,brics-odroid-026_cam1,N1,89,623.895,326.857,-0.32843,1.00427
p41-boxing-0021,brics-odroid-027_cam0,N1,32,635.196,370.85,-0.32856,1.008529
p41-boxing-0021,brics-odroid-028_cam0,N1,45,634.152,352.473,-0.34464,1.009331
p41-boxing-0021,brics-odroid-029_cam0,N1,35,653.291,335.683,-0.35542,1.007949
p41-boxing-0021,brics-odroid-029_cam1,N1,106,664.378,322.856,-0.37497,1.004044
p41-boxing-0021,brics-odroid-030_cam0,N1,105,637.935,303.971,-0.28226,0.993441
p41-boxing-0021,brics-odroid-030_cam1,N1,100,643.799,359.605,-0.25649,1.011275
p41-plant-0004,brics-odroid-001_cam1,N1,117,625.367,288.306,-0.35742,1.009192
p41-plant-0004,brics-odroid-002_cam0,N1,99,670.133,301.495,-0.30504,1.011669
p41-plant-0004,brics-odroid-006_cam0,N1,119,687.268,373.177,-0.25887,1.0
p41-plant-0004,brics-odroid-007_cam0,N1,122,666.975,361.817,-0.26327,1.005599
p41-plant-0004,brics-odroid-007_cam1,N1,123,645.01,354.144,-0.34737,1.007703
p41-plant-0004,brics-odroid-009_cam1,N1,102,625.789,312.819,-0.22461,1.009988
p41-plant-0004,brics-odroid-010_cam0,N1,108,653.848,332.364,-0.21777,1.015019
p41-plant-0004,brics-odroid-010_cam1,N1,6,652.762,322.816,-0.32366,1.005289
p41-plant-0004,brics-odroid-011_cam0,N1,120,617.816,335.306,-0.34335,1.009825
p41-plant-0004,brics-odroid-012_cam0,N1,122,624.159,338.707,-0.21572,1.006076
p41-plant-0004,brics-odroid-012_cam1,N1,124,644.913,370.083,-0.27346,1.012026
p41-plant-0004,brics-odroid-014_cam1,N1,50,631.922,325.047,-0.28271,1.011547
p41-plant-0004,brics-odroid-015_cam0,N1,14,612.762,356.393,-0.34721,1.012273
p41-plant-0004,brics-odroid-015_cam1,N1,102,653.32,386.069,-0.26614,1.010349
p41-plant-0004,brics-odroid-016_cam0,N1,115,656.524,284.009,-0.35936,1.004099
p41-plant-0004,brics-odroid-017_cam0,N1,107,608.491,360.493,-0.27041,1.004952
p41-plant-0004,brics-odroid-017_cam1,N1,103,620.154,309.6,-0.31967,1.003456
p41-plant-0004,brics-odroid-019_cam1,N1,53,638.913,331.961,-0.34653,1.009117
p41-plant-0004,brics-odroid-020_cam0,N1,112,685.925,304.393,-0.15779,1.008934
p41-plant-0004,brics-odroid-020_cam1,N1,52,625.349,354.815,-0.17814,1.009265
p41-plant-0004,brics-odroid-021_cam0,N1,113,611.17,329.683,-0.27357,1.010389
p41-plant-0004,brics-odroid-021_cam1,N1,109,642.582,362.27,-0.29276,1.008595
p41-plant-0004,brics-odroid-022_cam0,N1,25,621.285,334.8,-0.32664,1.010647
p41-plant-0004,brics-odroid-022_cam1,N1,103,628.7,381.148,-0.27964,1.010787
p41-plant-0004,brics-odroid-023_cam0,N1,123,639.689,334.074,-0.26541,1.002628
p41-plant-0004,brics-odroid-024_cam0,N1,120,640.02,325.425,-0.25586,1.008374
p41-plant-0004,brics-odroid-024_cam1,N1,119,613.412,391.805,-0.25538,1.010186
p41-plant-0004,brics-odroid-025_cam0,N1,113,666.679,326.532,-0.19262,1.00286
p41-plant-0004,brics-odroid-025_cam1,N1,124,611.242,336.83,-0.16741,1.002763
p44-dog-0004,brics-odroid-001_cam1,N1,20,610.042,378.58,-0.3748,1.005711
p44-dog-0004,brics-odroid-002_cam0,N1,42,679.026,350.505,-0.32131,1.003703
p44-dog-0004,brics-odroid-006_cam0,N1,112,587.856,380.488,-0.24534,1.000774
p44-dog-0004,brics-odroid-007_cam0,N1,96,675.94,387.747,-0.30999,1.011156
p44-dog-0004,brics-odroid-007_cam1,N1,106,668.423,377.465,-0.29663,1.011739
p44-dog-0004,brics-odroid-008_cam0,N1,27,692.729,373.29,-0.40843,1.009661
p44-dog-0004,brics-odroid-009_cam1,N1,98,651.149,308.372,-0.33828,1.006013
p44-dog-0004,brics-odroid-010_cam0,N1,120,641.865,326.276,-0.28572,1.010297
p44-dog-0004,brics-odroid-011_cam0,N1,104,624.106,350.564,-0.28762,1.011802
p44-dog-0004,brics-odroid-012_cam0,N1,89,650.067,343.19,-0.32006,1.008754
p44-dog-0004,brics-odroid-012_cam1,N1,118,616.606,365.731,-0.29884,1.013703
p44-dog-0004,brics-odroid-014_cam1,N1,80,653.677,337.058,-0.27134,1.009073
p44-dog-0004,brics-odroid-015_cam1,N1,110,674.724,354.0,-0.26232,1.012085
p44-dog-0004,brics-odroid-016_cam0,N1,98,670.719,337.477,-0.38167,1.004695
p44-dog-0004,brics-odroid-017_cam0,N1,97,620.877,409.427,-0.29508,0.999143
p44-dog-0004,brics-odroid-017_cam1,N1,74,618.251,367.63,-0.32655,1.007353
p44-dog-0004,brics-odroid-019_cam1,N1,17,637.664,345.32,-0.39267,1.001093
p44-dog-0004,brics-odroid-020_cam0,N1,86,681.054,287.297,-0.24324,1.007721
p44-dog-0004,brics-odroid-020_cam1,N1,57,650.431,333.804,-0.26258,1.003961
p44-dog-0004,brics-odroid-021_cam0,N1,97,628.64,334.263,-0.28537,1.009653
p44-dog-0004,brics-odroid-021_cam1,N1,92,640.891,376.282,-0.34345,1.010961
p44-dog-0004,brics-odroid-022_cam0,N1,45,656.192,311.499,-0.32194,1.015242
p44-dog-0004,brics-odroid-022_cam1,N1,112,656.4,353.423,-0.24902,1.015744
p44-dog-0004,brics-odroid-023_cam0,N1,14,655.832,295.059,-0.22514,1.003149
p44-dog-0004,brics-odroid-024_cam0,N1,112,628.425,315.037,-0.23346,1.010232
p44-dog-0004,brics-odroid-024_cam1,N1,113,642.758,368.723,-0.25566,1.0138
p44-dog-0004,brics-odroid-025_cam0,N1,86,600.856,321.665,-0.19425,1.009289
p44-dog-0004,brics-odroid-025_cam1,N1,117,631.516,359.032,-0.22194,1.005891
p44-dog-0004,brics-odroid-026_cam0,N1,83,631.792,356.108,-0.39066,1.001904
p44-dog-0004,brics-odroid-026_cam1,N1,33,660.674,326.148,-0.38445,1.00928
p44-dog-0004,brics-odroid-027_cam0,N1,12,666.951,398.918,-0.37848,1.005923
p44-dog-0004,brics-odroid-027_cam1,N1,2,654.232,355.778,-0.32825,1.006741
p44-dog-0004,brics-odroid-029_cam0,N1,29,649.766,352.96,-0.35521,1.007464
p44-dog-0004,brics-odroid-029_cam1,N1,32,624.152,334.71,-0.30168,1.005219
p44-dog-0004,brics-odroid-030_cam0,N1,19,663.696,298.352,-0.27159,0.998144
p44-dog-0004,brics-odroid-030_cam1,N1,2,646.148,320.082,-0.25503,0.997448
p52-instrument-0034,brics-odroid-002_cam0,N1,128,655.872,293.961,-0.33466,1.00538
p52-instrument-0034,brics-odroid-007_cam0,N1,125,645.092,348.028,-0.31352,1.009877
p52-instrument-0034,brics-odroid-007_cam1,N1,128,643.478,336.38,-0.32638,1.010457
p52-instrument-0034,brics-odroid-012_cam1,N1,128,662.598,377.635,-0.34709,1.008419
p52-instrument-0034,brics-odroid-015_cam1,N1,128,643.381,375.457,-0.29251,1.010973
p52-instrument-0034,brics-odroid-016_cam0,N1,126,657.085,295.885,-0.45059,1.004346
p52-instrument-0034,brics-odroid-021_cam0,N1,128,624.337,314.389,-0.29169,1.006306
p52-instrument-0034,brics-odroid-023_cam0,N1,128,637.689,331.313,-0.3142,1.004807
p52-instrument-0034,brics-odroid-024_cam0,N1,128,623.888,297.47,-0.30372,1.006833
p52-instrument-0034,brics-odroid-025_cam1,N1,128,655.242,358.393,-0.29755,0.997064
p52-instrument-0034,brics-odroid-027_cam0,N1,47,620.033,375.397,-0.33903,1.008876
p52-instrument-0034,brics-odroid-030_cam0,N1,119,624.415,311.219,-0.29529,0.992119
p52-instrument-0034,brics-odroid-030_cam1,N1,26,653.387,377.023,-0.25923,1.01218
