condition,sequence,camera,physical_camera_id,L_hand_max_px,preferred_q,boundary,correct_direction,f_scene,f_reference
N0,p36-tea-0010,brics-odroid-001_cam0,brics-odroid-001_cam0,13.899081230163574,1.5,1,1,782.4989318847656,921.610657
N0,p36-tea-0010,brics-odroid-001_cam1,brics-odroid-001_cam1,8.190639734268188,0.7446058988571167,0,0,809.0219116210938,918.354065
N0,p36-tea-0010,brics-odroid-002_cam0,brics-odroid-002_cam0,11.408179998397827,1.5,1,1,877.6285705566406,940.340637
N0,p36-tea-0010,brics-odroid-006_cam0,brics-odroid-006_cam0,1.526526927947998,0.9732508063316345,0,0,852.055908203125,919.383789
N0,p36-tea-0010,brics-odroid-007_cam0,brics-odroid-007_cam0,7.148838043212891,1.3347413539886475,0,1,883.5841674804688,924.420349
N0,p36-tea-0010,brics-odroid-007_cam1,brics-odroid-007_cam1,10.052098751068115,1.3719085454940796,0,1,868.883056640625,931.304504
N0,p36-tea-0010,brics-odroid-009_cam1,brics-odroid-009_cam1,6.3636056780815125,1.1795625686645508,0,1,756.7066955566406,931.934998
N0,p36-tea-0010,brics-odroid-010_cam0,brics-odroid-010_cam0,3.048197090625763,1.0788346529006958,0,0,956.4916076660156,932.026672
N0,p36-tea-0010,brics-odroid-010_cam1,brics-odroid-010_cam1,1.4446945190429688,0.9149275422096252,0,0,815.4442138671875,934.134155
N0,p36-tea-0010,brics-odroid-011_cam0,brics-odroid-011_cam0,0.47368907928466797,1.0211718082427979,0,1,803.4896240234375,922.774414
N0,p36-tea-0010,brics-odroid-012_cam0,brics-odroid-012_cam0,0.7139531373977661,1.4198262691497803,0,1,862.0792846679688,926.425415
N0,p36-tea-0010,brics-odroid-012_cam1,brics-odroid-012_cam1,1.8202714920043945,1.3625208139419556,0,1,792.2678833007812,926.514709
N0,p36-tea-0010,brics-odroid-014_cam1,brics-odroid-014_cam1,0.9478636980056763,1.4394587278366089,0,1,849.4110717773438,922.314819
N0,p36-tea-0010,brics-odroid-015_cam0,brics-odroid-015_cam0,2.6790202856063843,1.5,1,1,820.3155517578125,914.97937
N0,p36-tea-0010,brics-odroid-015_cam1,brics-odroid-015_cam1,1.0965557098388672,1.4593626260757446,0,1,794.5360107421875,930.794434
N0,p36-tea-0010,brics-odroid-016_cam0,brics-odroid-016_cam0,1.5177198648452759,1.3256080150604248,0,0,948.880126953125,919.84082
N0,p36-tea-0010,brics-odroid-017_cam0,brics-odroid-017_cam0,0.9172277450561523,1.5,1,1,877.2437438964844,921.894775
N0,p36-tea-0010,brics-odroid-017_cam1,brics-odroid-017_cam1,1.1744701266288757,1.4795417785644531,0,1,865.5918273925781,938.321167
N0,p36-tea-0010,brics-odroid-019_cam1,brics-odroid-019_cam1,1.948011875152588,1.3531973361968994,0,0,934.014892578125,920.925659
N0,p36-tea-0010,brics-odroid-020_cam0,brics-odroid-020_cam0,2.560147523880005,1.116515874862671,0,1,828.335693359375,899.424316
N0,p36-tea-0010,brics-odroid-020_cam1,brics-odroid-020_cam1,0.6863425970077515,0.7497361898422241,0,0,798.2892150878906,925.858521
N0,p36-tea-0010,brics-odroid-021_cam0,brics-odroid-021_cam0,1.5751152038574219,1.1012879610061646,0,1,831.4344482421875,938.355225
N0,p36-tea-0010,brics-odroid-021_cam1,brics-odroid-021_cam1,1.3834166526794434,1.4004615545272827,0,1,779.1639099121094,920.78302
N0,p36-tea-0010,brics-odroid-022_cam0,brics-odroid-022_cam0,1.7527288794517517,1.5,1,1,823.7421264648438,916.312195
N0,p36-tea-0010,brics-odroid-022_cam1,brics-odroid-022_cam1,1.6031054258346558,1.5,1,1,835.8916625976562,903.016357
N0,p36-tea-0010,brics-odroid-023_cam0,brics-odroid-023_cam0,0.8254203796386719,1.056839108467102,0,1,867.6093444824219,914.887695
N0,p36-tea-0010,brics-odroid-024_cam0,brics-odroid-024_cam0,1.4629770517349243,1.5,1,1,814.3241577148438,931.895264
N0,p36-tea-0010,brics-odroid-024_cam1,brics-odroid-024_cam1,2.907833695411682,1.1795625686645508,0,1,852.5800476074219,951.805908
N0,p36-tea-0010,brics-odroid-025_cam0,brics-odroid-025_cam0,0.672663688659668,1.5,1,1,651.0626220703125,913.867126
N0,p36-tea-0010,brics-odroid-025_cam1,brics-odroid-025_cam1,1.4479179382324219,0.9799564480781555,0,0,810.9700317382812,879.872681
N0,p36-tea-0010,brics-odroid-026_cam0,brics-odroid-026_cam0,4.432561576366425,0.8901407122612,0,0,853.7727661132812,921.928467
N0,p36-tea-0010,brics-odroid-026_cam1,brics-odroid-026_cam1,1.5309898853302002,1.124208688735962,0,1,882.5094299316406,927.79425
N0,p36-tea-0010,brics-odroid-027_cam0,brics-odroid-027_cam0,1.9517552852630615,0.959976851940155,0,1,927.6569213867188,917.449829
N0,p36-tea-0010,brics-odroid-027_cam1,brics-odroid-027_cam1,0.8257436752319336,1.4493764638900757,0,1,788.4136352539062,919.998901
N0,p36-tea-0010,brics-odroid-028_cam0,brics-odroid-028_cam0,4.677828788757324,0.7244333624839783,0,0,815.2188110351562,919.052307
N0,p36-tea-0010,brics-odroid-029_cam0,brics-odroid-029_cam0,7.119087100028992,0.5069136619567871,0,1,1006.9344177246094,907.913086
N0,p36-tea-0010,brics-odroid-029_cam1,brics-odroid-029_cam1,0.5613143444061279,0.5542428493499756,0,0,801.7279663085938,905.857727
N0,p36-tea-0010,brics-odroid-030_cam0,brics-odroid-030_cam0,2.4092166423797607,1.1088758707046509,0,1,742.5394897460938,930.997131
N0,p36-tea-0010,brics-odroid-030_cam1,brics-odroid-030_cam1,5.010739326477051,0.7653401494026184,0,0,749.2306823730469,907.045105
N0,p41-boxing-0021,brics-odroid-001_cam1,brics-odroid-001_cam1,385.29016876220703,1.2547553777694702,0,1,846.1591186523438,918.354065
N0,p41-boxing-0021,brics-odroid-002_cam0,brics-odroid-002_cam0,389.0489592552185,1.0424250364303589,0,1,852.9806213378906,940.340637
N0,p41-boxing-0021,brics-odroid-006_cam0,brics-odroid-006_cam0,0.7801952362060547,1.5,1,1,842.8989562988281,919.383789
N0,p41-boxing-0021,brics-odroid-007_cam0,brics-odroid-007_cam0,4.4383052587509155,1.3075282573699951,0,1,904.1539611816406,924.420349
N0,p41-boxing-0021,brics-odroid-007_cam1,brics-odroid-007_cam1,16.396514892578125,1.4296088218688965,0,1,863.99072265625,931.304504
N0,p41-boxing-0021,brics-odroid-008_cam0,brics-odroid-008_cam0,11.346851229667664,1.124208688735962,0,1,914.1251831054688,919.474365
N0,p41-boxing-0021,brics-odroid-009_cam1,brics-odroid-009_cam1,4.573655068874359,1.1876896619796753,0,1,786.0307922363281,931.934998
N0,p41-boxing-0021,brics-odroid-010_cam0,brics-odroid-010_cam0,1.5502443313598633,0.8901407122612,0,0,870.7444458007812,932.026672
N0,p41-boxing-0021,brics-odroid-010_cam1,brics-odroid-010_cam1,9.929361343383789,1.4897358417510986,0,1,758.0070190429688,934.134155
N0,p41-boxing-0021,brics-odroid-011_cam0,brics-odroid-011_cam0,0.6881626844406128,1.3347413539886475,0,1,880.3270874023438,922.774414
N0,p41-boxing-0021,brics-odroid-012_cam0,brics-odroid-012_cam0,0.19352230429649353,0.781268835067749,0,0,881.3811950683594,926.425415
N0,p41-boxing-0021,brics-odroid-012_cam1,brics-odroid-012_cam1,1.453674077987671,0.871992290019989,0,0,853.9130859375,926.514709
N0,p41-boxing-0021,brics-odroid-014_cam1,brics-odroid-014_cam1,0.5825073719024658,1.5,1,1,844.539306640625,922.314819
N0,p41-boxing-0021,brics-odroid-015_cam0,brics-odroid-015_cam0,0.8576877117156982,1.5,1,1,853.3829345703125,914.97937
N0,p41-boxing-0021,brics-odroid-015_cam1,brics-odroid-015_cam1,0.7139042019844055,1.5,1,1,831.7035827636719,930.794434
N0,p41-boxing-0021,brics-odroid-016_cam0,brics-odroid-016_cam0,3.5046101808547974,1.0211718082427979,0,0,923.7862548828125,919.84082
N0,p41-boxing-0021,brics-odroid-017_cam0,brics-odroid-017_cam0,6.453963279724121,1.5,1,1,855.9795532226562,921.894775
N0,p41-boxing-0021,brics-odroid-017_cam1,brics-odroid-017_cam1,3.21465665102005,1.343937635421753,0,1,888.3526916503906,938.321167
N0,p41-boxing-0021,brics-odroid-019_cam1,brics-odroid-019_cam1,7.661088943481445,1.000351905822754,0,1,849.6828918457031,920.925659
N0,p41-boxing-0021,brics-odroid-020_cam0,brics-odroid-020_cam0,0.6384944915771484,1.4296088218688965,0,1,778.3577270507812,899.424316
N0,p41-boxing-0021,brics-odroid-020_cam1,brics-odroid-020_cam1,1.018044114112854,0.884049654006958,0,0,839.8180236816406,925.858521
N0,p41-boxing-0021,brics-odroid-021_cam0,brics-odroid-021_cam0,3.5901612043380737,1.5,1,1,833.8301086425781,938.355225
N0,p41-boxing-0021,brics-odroid-021_cam1,brics-odroid-021_cam1,2.6887662410736084,1.1088758707046509,0,1,771.5801391601562,920.78302
N0,p41-boxing-0021,brics-odroid-023_cam0,brics-odroid-023_cam0,0.3978663682937622,1.5,1,1,845.5962524414062,914.887695
N0,p41-boxing-0021,brics-odroid-024_cam0,brics-odroid-024_cam0,4.745328903198242,0.781268835067749,0,0,813.125,931.895264
N0,p41-boxing-0021,brics-odroid-024_cam1,brics-odroid-024_cam1,4.493407249450684,1.5,1,1,867.4207153320312,951.805908
N0,p41-boxing-0021,brics-odroid-025_cam0,brics-odroid-025_cam0,1.118321418762207,1.2461693286895752,0,1,720.8625183105469,913.867126
N0,p41-boxing-0021,brics-odroid-025_cam1,brics-odroid-025_cam1,8.57560920715332,1.390878438949585,0,1,839.1444091796875,879.872681
N0,p41-boxing-0021,brics-odroid-026_cam0,brics-odroid-026_cam0,14.177357017993927,1.410110592842102,0,1,842.8078002929688,921.928467
N0,p41-boxing-0021,brics-odroid-026_cam1,brics-odroid-026_cam1,0.31493520736694336,0.5895738005638123,0,0,847.140869140625,927.79425
N0,p41-boxing-0021,brics-odroid-027_cam0,brics-odroid-027_cam0,0.5558450222015381,0.685712993144989,0,0,883.7167663574219,917.449829
N0,p41-boxing-0021,brics-odroid-028_cam0,brics-odroid-028_cam0,15.908628702163696,0.959976851940155,0,0,822.0958251953125,919.052307
N0,p41-boxing-0021,brics-odroid-029_cam0,brics-odroid-029_cam0,1.306136131286621,0.9212313294410706,0,0,845.2771606445312,907.913086
N0,p41-boxing-0021,brics-odroid-029_cam1,brics-odroid-029_cam1,6.490000009536743,0.9732508063316345,0,0,893.2012939453125,905.857727
N0,p41-boxing-0021,brics-odroid-030_cam0,brics-odroid-030_cam0,0.4322679042816162,1.3719085454940796,0,1,784.0708312988281,930.997131
N0,p41-boxing-0021,brics-odroid-030_cam1,brics-odroid-030_cam1,1.7638212442398071,0.7975291013717651,0,0,755.7714538574219,907.045105
N0,p41-plant-0004,brics-odroid-001_cam1,brics-odroid-001_cam1,21.269746780395508,1.1634747982025146,0,1,865.3519897460938,918.354065
N0,p41-plant-0004,brics-odroid-002_cam0,brics-odroid-002_cam0,13.549837827682495,1.5,1,0,946.9852294921875,940.340637
N0,p41-plant-0004,brics-odroid-006_cam0,brics-odroid-006_cam0,1.5052109956741333,1.5,1,0,921.5813598632812,919.383789
N0,p41-plant-0004,brics-odroid-007_cam0,brics-odroid-007_cam0,3.8033387660980225,0.808556854724884,0,0,831.3410034179688,924.420349
N0,p41-plant-0004,brics-odroid-007_cam1,brics-odroid-007_cam1,5.966193675994873,1.410110592842102,0,1,867.8584594726562,931.304504
N0,p41-plant-0004,brics-odroid-009_cam1,brics-odroid-009_cam1,1.1014654636383057,1.049607276916504,0,1,779.2906494140625,931.934998
N0,p41-plant-0004,brics-odroid-010_cam0,brics-odroid-010_cam0,5.749289035797119,1.5,1,1,713.8148803710938,932.026672
N0,p41-plant-0004,brics-odroid-010_cam1,brics-odroid-010_cam1,5.411372661590576,1.5,1,1,860.66162109375,934.134155
N0,p41-plant-0004,brics-odroid-011_cam0,brics-odroid-011_cam0,0.31539636850357056,0.7446058988571167,0,0,889.6863403320312,922.774414
N0,p41-plant-0004,brics-odroid-012_cam0,brics-odroid-012_cam0,0.7003977298736572,0.9665910005569458,0,0,826.3524169921875,926.425415
N0,p41-plant-0004,brics-odroid-012_cam1,brics-odroid-012_cam1,0.38602399826049805,0.8542138934135437,0,0,819.677001953125,926.514709
N0,p41-plant-0004,brics-odroid-014_cam1,brics-odroid-014_cam1,0.6729466915130615,0.671732485294342,0,0,823.8992309570312,922.314819
N0,p41-plant-0004,brics-odroid-015_cam0,brics-odroid-015_cam0,1.3033723831176758,0.7706133127212524,0,0,869.7098388671875,914.97937
N0,p41-plant-0004,brics-odroid-015_cam1,brics-odroid-015_cam1,1.5310776233673096,1.4694175720214844,0,1,752.3020935058594,930.794434
N0,p41-plant-0004,brics-odroid-016_cam0,brics-odroid-016_cam0,0.6103442907333374,0.993506669998169,0,1,1061.8882446289062,919.84082
N0,p41-plant-0004,brics-odroid-017_cam0,brics-odroid-017_cam0,1.5208048820495605,1.4694175720214844,0,1,835.1065368652344,921.894775
N0,p41-plant-0004,brics-odroid-017_cam1,brics-odroid-017_cam1,1.074953317642212,1.093752145767212,0,1,880.7257385253906,938.321167
N0,p41-plant-0004,brics-odroid-019_cam1,brics-odroid-019_cam1,2.523808479309082,1.0282076597213745,0,1,907.995849609375,920.925659
N0,p41-plant-0004,brics-odroid-020_cam0,brics-odroid-020_cam0,1.4092934131622314,1.5,1,0,937.6947631835938,899.424316
N0,p41-plant-0004,brics-odroid-020_cam1,brics-odroid-020_cam1,0.31552577018737793,1.5,1,1,856.2704162597656,925.858521
