sequence,camera,n_hand_observations,n_frames,f_scene,n_scene_frames
p36-tea-0010,brics-odroid-001_cam0,4,2,782.499,2
p36-tea-0010,brics-odroid-001_cam1,90,45,809.022,45
p36-tea-0010,brics-odroid-002_cam0,80,40,877.629,40
p36-tea-0010,brics-odroid-006_cam0,54,27,852.056,27
p36-tea-0010,brics-odroid-007_cam0,119,60,883.584,60
p36-tea-0010,brics-odroid-007_cam1,111,59,868.883,59
p36-tea-0010,brics-odroid-009_cam1,115,60,756.707,60
p36-tea-0010,brics-odroid-010_cam0,47,24,956.492,24
p36-tea-0010,brics-odroid-010_cam1,56,28,815.444,28
p36-tea-0010,brics-odroid-011_cam0,116,59,803.49,59
p36-tea-0010,brics-odroid-012_cam0,92,50,862.079,50
p36-tea-0010,brics-odroid-012_cam1,94,47,792.268,47
p36-tea-0010,brics-odroid-014_cam1,33,18,849.411,18
p36-tea-0010,brics-odroid-015_cam0,91,49,820.316,49
p36-tea-0010,brics-odroid-015_cam1,119,60,794.536,60
p36-tea-0010,brics-odroid-016_cam0,102,53,948.88,53
p36-tea-0010,brics-odroid-017_cam0,100,50,877.244,50
p36-tea-0010,brics-odroid-017_cam1,107,54,865.592,54
p36-tea-0010,brics-odroid-019_cam1,72,36,934.015,36
p36-tea-0010,brics-odroid-020_cam0,36,30,828.336,30
p36-tea-0010,brics-odroid-020_cam1,51,30,798.289,30
p36-tea-0010,brics-odroid-021_cam0,97,49,831.434,49
p36-tea-0010,brics-odroid-021_cam1,86,46,779.164,46
p36-tea-0010,brics-odroid-022_cam0,44,22,823.742,22
p36-tea-0010,brics-odroid-022_cam1,76,38,835.892,38
p36-tea-0010,brics-odroid-023_cam0,100,50,867.609,50
p36-tea-0010,brics-odroid-024_cam0,91,46,814.324,46
p36-tea-0010,brics-odroid-024_cam1,108,60,852.58,60
p36-tea-0010,brics-odroid-025_cam0,62,31,651.063,31
p36-tea-0010,brics-odroid-025_cam1,119,60,810.97,60
p36-tea-0010,brics-odroid-026_cam0,29,16,853.773,16
p36-tea-0010,brics-odroid-026_cam1,47,26,882.509,26
p36-tea-0010,brics-odroid-027_cam0,37,21,927.657,21
p36-tea-0010,brics-odroid-027_cam1,5,3,788.414,3
p36-tea-0010,brics-odroid-028_cam0,16,13,815.219,13
p36-tea-0010,brics-odroid-029_cam0,4,2,1006.934,2
p36-tea-0010,brics-odroid-029_cam1,24,13,801.728,13
p36-tea-0010,brics-odroid-030_cam0,83,47,742.539,47
p36-tea-0010,brics-odroid-030_cam1,20,10,749.231,10
p41-boxing-0021,brics-odroid-001_cam1,26,13,846.159,13
p41-boxing-0021,brics-odroid-002_cam0,10,8,852.981,8
p41-boxing-0021,brics-odroid-006_cam0,94,48,842.899,48
p41-boxing-0021,brics-odroid-007_cam0,124,64,904.154,64
p41-boxing-0021,brics-odroid-007_cam1,110,57,863.991,57
p41-boxing-0021,brics-odroid-008_cam0,25,18,914.125,18
p41-boxing-0021,brics-odroid-009_cam1,122,62,786.031,62
p41-boxing-0021,brics-odroid-010_cam0,110,63,870.744,63
p41-boxing-0021,brics-odroid-010_cam1,6,3,758.007,3
p41-boxing-0021,brics-odroid-011_cam0,109,61,880.327,61
p41-boxing-0021,brics-odroid-012_cam0,87,50,881.381,50
p41-boxing-0021,brics-odroid-012_cam1,58,33,853.913,33
