sequence,camera,hand_observations,camera_under_test_in_inliers
p36-tea-0010,brics-odroid-001_cam0,4,0
p36-tea-0010,brics-odroid-001_cam1,90,0
p36-tea-0010,brics-odroid-002_cam0,80,0
p36-tea-0010,brics-odroid-006_cam0,54,0
p36-tea-0010,brics-odroid-007_cam0,120,0
p36-tea-0010,brics-odroid-007_cam1,111,0
p36-tea-0010,brics-odroid-009_cam1,117,0
p36-tea-0010,brics-odroid-010_cam0,47,0
p36-tea-0010,brics-odroid-010_cam1,56,0
p36-tea-0010,brics-odroid-011_cam0,118,0
p36-tea-0010,brics-odroid-012_cam0,92,0
p36-tea-0010,brics-odroid-012_cam1,94,0
p36-tea-0010,brics-odroid-014_cam1,34,0
p36-tea-0010,brics-odroid-015_cam0,91,0
p36-tea-0010,brics-odroid-015_cam1,119,0
p36-tea-0010,brics-odroid-016_cam0,104,0
p36-tea-0010,brics-odroid-017_cam0,100,0
p36-tea-0010,brics-odroid-017_cam1,107,0
p36-tea-0010,brics-odroid-019_cam1,72,0
p36-tea-0010,brics-odroid-020_cam0,36,0
p36-tea-0010,brics-odroid-020_cam1,53,0
p36-tea-0010,brics-odroid-021_cam0,98,0
p36-tea-0010,brics-odroid-021_cam1,86,0
p36-tea-0010,brics-odroid-022_cam0,44,0
p36-tea-0010,brics-odroid-022_cam1,76,0
p36-tea-0010,brics-odroid-023_cam0,100,0
p36-tea-0010,brics-odroid-024_cam0,91,0
p36-tea-0010,brics-odroid-024_cam1,109,0
p36-tea-0010,brics-odroid-025_cam0,62,0
p36-tea-0010,brics-odroid-025_cam1,120,0
p36-tea-0010,brics-odroid-026_cam0,30,0
p36-tea-0010,brics-odroid-026_cam1,47,0
p36-tea-0010,brics-odroid-027_cam0,37,0
p36-tea-0010,brics-odroid-027_cam1,5,0
p36-tea-0010,brics-odroid-028_cam0,16,0
p36-tea-0010,brics-odroid-029_cam0,4,0
p36-tea-0010,brics-odroid-029_cam1,24,0
p36-tea-0010,brics-odroid-030_cam0,84,0
p36-tea-0010,brics-odroid-030_cam1,20,0
p41-boxing-0021,brics-odroid-001_cam1,26,0
p41-boxing-0021,brics-odroid-002_cam0,10,0
p41-boxing-0021,brics-odroid-006_cam0,96,0
p41-boxing-0021,brics-odroid-007_cam0,128,0
p41-boxing-0021,brics-odroid-007_cam1,113,0
p41-boxing-0021,brics-odroid-008_cam0,25,0
p41-boxing-0021,brics-odroid-009_cam1,124,0
p41-boxing-0021,brics-odroid-010_cam0,110,0
p41-boxing-0021,brics-odroid-010_cam1,6,0
p41-boxing-0021,brics-odroid-011_cam0,109,0
p41-boxing-0021,brics-odroid-012_cam0,87,0
p41-boxing-0021,brics-odroid-012_cam1,58,0
p41-boxing-0021,brics-odroid-014_cam1,62,0
p41-boxing-0021,brics-odroid-015_cam0,108,0
p41-boxing-0021,brics-odroid-015_cam1,116,0
p41-boxing-0021,brics-odroid-016_cam0,97,0
p41-boxing-0021,brics-odroid-017_cam0,82,0
p41-boxing-0021,brics-odroid-017_cam1,116,0
p41-boxing-0021,brics-odroid-019_cam1,69,0
p41-boxing-0021,brics-odroid-020_cam0,108,0
p41-boxing-0021,brics-odroid-020_cam1,119,0
p41-boxing-0021,brics-odroid-021_cam0,104,0
p41-boxing-0021,brics-odroid-021_cam1,80,0
p41-boxing-0021,brics-odroid-022_cam0,2,0
p41-boxing-0021,brics-odroid-023_cam0,107,0
p41-boxing-0021,brics-odroid-024_cam0,102,0
p41-boxing-0021,brics-odroid-024_cam1,108,0
p41-boxing-0021,brics-odroid-025_cam0,109,0
p41-boxing-0021,brics-odroid-025_cam1,46,0
p41-boxing-0021,brics-odroid-026_cam0,44,0
p41-boxing-0021,brics-odroid-026_cam1,90,0
p41-boxing-0021,brics-odroid-027_cam0,32,0
p41-boxing-0021,brics-odroid-028_cam0,47,0
p41-boxing-0021,brics-odroid-029_cam0,37,0
p41-boxing-0021,brics-odroid-029_cam1,110,0
p41-boxing-0021,brics-odroid-030_cam0,105,0
p41-boxing-0021,brics-odroid-030_cam1,103,0
p41-plant-0004,brics-odroid-001_cam1,118,0
p41-plant-0004,brics-odroid-002_cam0,100,0
p41-plant-0004,brics-odroid-006_cam0,124,0
p41-plant-0004,brics-odroid-007_cam0,126,0
p41-plant-0004,brics-odroid-007_cam1,126,0
p41-plant-0004,brics-odroid-009_cam1,103,0
p41-plant-0004,brics-odroid-010_cam0,108,0
p41-plant-0004,brics-odroid-010_cam1,6,0
p41-plant-0004,brics-odroid-011_cam0,124,0
p41-plant-0004,brics-odroid-012_cam0,124,0
p41-plant-0004,brics-odroid-012_cam1,126,0
p41-plant-0004,brics-odroid-014_cam1,50,0
p41-plant-0004,brics-odroid-015_cam0,14,0
p41-plant-0004,brics-odroid-015_cam1,105,0
p41-plant-0004,brics-odroid-016_cam0,116,0
p41-plant-0004,brics-odroid-017_cam0,108,0
p41-plant-0004,brics-odroid-017_cam1,104,0
p41-plant-0004,brics-odroid-019_cam1,54,0
p41-plant-0004,brics-odroid-020_cam0,114,0
p41-plant-0004,brics-odroid-020_cam1,52,0
p41-plant-0004,brics-odroid-021_cam0,114,0
p41-plant-0004,brics-odroid-021_cam1,109,0
p41-plant-0004,brics-odroid-022_cam0,26,0
p41-plant-0004,brics-odroid-022_cam1,104,0
p41-plant-0004,brics-odroid-023_cam0,126,0
p41-plant-0004,brics-odroid-024_cam0,124,0
p41-plant-0004,brics-odroid-024_cam1,122,0
p41-plant-0004,brics-odroid-025_cam0,116,0
p41-plant-0004,brics-odroid-025_cam1,126,0
p44-dog-0004,brics-odroid-001_cam1,20,0
p44-dog-0004,brics-odroid-002_cam0,49,0
p44-dog-0004,brics-odroid-006_cam0,128,0
p44-dog-0004,brics-odroid-007_cam0,98,0
p44-dog-0004,brics-odroid-007_cam1,117,0
p44-dog-0004,brics-odroid-008_cam0,27,0
p44-dog-0004,brics-odroid-009_cam1,105,0
p44-dog-0004,brics-odroid-010_cam0,128,0
p44-dog-0004,brics-odroid-011_cam0,113,0
p44-dog-0004,brics-odroid-012_cam0,98,0
p44-dog-0004,brics-odroid-012_cam1,125,0
p44-dog-0004,brics-odroid-014_cam1,82,0
p44-dog-0004,brics-odroid-015_cam1,119,0
p44-dog-0004,brics-odroid-016_cam0,107,0
p44-dog-0004,brics-odroid-017_cam0,102,0
p44-dog-0004,brics-odroid-017_cam1,78,0
p44-dog-0004,brics-odroid-019_cam1,18,0
p44-dog-0004,brics-odroid-020_cam0,90,0
p44-dog-0004,brics-odroid-020_cam1,60,0
p44-dog-0004,brics-odroid-021_cam0,108,0
