sequence,camera,n_candidate_frames,first_frame,last_frame
p36-tea-0010,brics-odroid-001_cam0,6,27,79
p36-tea-0010,brics-odroid-001_cam1,262,0,374
p36-tea-0010,brics-odroid-002_cam0,223,0,374
p36-tea-0010,brics-odroid-006_cam0,175,0,374
p36-tea-0010,brics-odroid-007_cam0,344,0,374
p36-tea-0010,brics-odroid-007_cam1,339,0,374
p36-tea-0010,brics-odroid-008_cam0,6,4,41
p36-tea-0010,brics-odroid-009_cam1,344,0,374
p36-tea-0010,brics-odroid-010_cam0,124,0,372
p36-tea-0010,brics-odroid-010_cam1,161,20,374
p36-tea-0010,brics-odroid-011_cam0,343,0,374
p36-tea-0010,brics-odroid-012_cam0,293,0,374
p36-tea-0010,brics-odroid-012_cam1,283,0,374
p36-tea-0010,brics-odroid-014_cam1,130,40,267
p36-tea-0010,brics-odroid-015_cam0,293,35,373
p36-tea-0010,brics-odroid-015_cam1,340,0,374
p36-tea-0010,brics-odroid-016_cam0,322,0,374
p36-tea-0010,brics-odroid-017_cam0,278,0,374
p36-tea-0010,brics-odroid-017_cam1,305,0,374
p36-tea-0010,brics-odroid-019_cam1,196,0,374
p36-tea-0010,brics-odroid-020_cam0,170,20,374
p36-tea-0010,brics-odroid-020_cam1,153,20,336
p36-tea-0010,brics-odroid-021_cam0,277,0,374
p36-tea-0010,brics-odroid-021_cam1,261,0,374
p36-tea-0010,brics-odroid-022_cam0,119,1,374
p36-tea-0010,brics-odroid-022_cam1,217,0,374
p36-tea-0010,brics-odroid-023_cam0,283,0,374
p36-tea-0010,brics-odroid-024_cam0,250,0,374
p36-tea-0010,brics-odroid-024_cam1,343,0,374
p36-tea-0010,brics-odroid-025_cam0,172,0,374
p36-tea-0010,brics-odroid-025_cam1,344,0,374
p36-tea-0010,brics-odroid-026_cam0,104,16,303
p36-tea-0010,brics-odroid-026_cam1,160,0,241
p36-tea-0010,brics-odroid-027_cam0,118,61,374
p36-tea-0010,brics-odroid-027_cam1,11,66,374
p36-tea-0010,brics-odroid-028_cam0,85,0,373
p36-tea-0010,brics-odroid-029_cam0,26,1,296
p36-tea-0010,brics-odroid-029_cam1,70,1,374
p36-tea-0010,brics-odroid-030_cam0,278,0,374
p36-tea-0010,brics-odroid-030_cam1,49,11,187
p41-boxing-0021,brics-odroid-001_cam1,63,0,360
p41-boxing-0021,brics-odroid-002_cam0,39,0,359
p41-boxing-0021,brics-odroid-006_cam0,283,0,360
p41-boxing-0021,brics-odroid-007_cam0,354,0,360
p41-boxing-0021,brics-odroid-007_cam1,323,0,360
p41-boxing-0021,brics-odroid-008_cam0,105,5,360
p41-boxing-0021,brics-odroid-009_cam1,350,0,360
p41-boxing-0021,brics-odroid-010_cam0,352,0,360
p41-boxing-0021,brics-odroid-010_cam1,12,28,313
p41-boxing-0021,brics-odroid-011_cam0,349,0,360
p41-boxing-0021,brics-odroid-012_cam0,288,0,360
p41-boxing-0021,brics-odroid-012_cam1,175,0,360
p41-boxing-0021,brics-odroid-014_cam1,218,0,360
p41-boxing-0021,brics-odroid-015_cam0,341,0,360
p41-boxing-0021,brics-odroid-015_cam1,338,0,360
p41-boxing-0021,brics-odroid-016_cam0,275,0,360
p41-boxing-0021,brics-odroid-017_cam0,231,0,360
p41-boxing-0021,brics-odroid-017_cam1,328,0,360
