subset,condition,n_views,spearman,ci_lo,ci_hi
ALL_COMMON,S0,151,0.0948,-0.1124,0.2898
ALL_COMMON,H0,151,0.1233,-0.0346,0.283
DIVERSE16,S0,106,0.0732,-0.1611,0.2967
DIVERSE16,H0,106,0.0213,-0.2051,0.239
DIVERSE32,S0,106,0.0619,-0.1734,0.2917
DIVERSE32,H0,106,0.0742,-0.1233,0.2658
LOW16,S0,106,0.041,-0.1754,0.2545
LOW16,H0,106,0.0672,-0.1731,0.3036
LOW32,S0,106,0.0396,-0.1861,0.256
LOW32,H0,106,-0.0305,-0.2372,0.1734
N16,S0,133,0.0724,-0.1534,0.2793
N16,H0,133,0.052,-0.1251,0.2222
N32,S0,106,0.0697,-0.1654,0.2965
N32,H0,106,0.0261,-0.1571,0.2191
N64,S0,23,0.1472,-0.23,0.5068
N64,H0,23,-0.0514,-0.4757,0.3586
N8,S0,143,0.1254,-0.0925,0.3245
N8,H0,143,0.0377,-0.1194,0.1937
ALL_COMMON,S1,151,0.0966,,
DIVERSE16,S1,106,0.0876,,
DIVERSE32,S1,106,0.0581,,
LOW16,S1,106,0.0588,,
LOW32,S1,106,0.0651,,
N16,S1,133,0.0642,,
N32,S1,106,0.0877,,
N64,S1,23,0.1038,,
N8,S1,143,0.1314,,
