sequence,camera,n_all_common,has_diversity_subsets,n_N8,n_N16,n_N32,n_N64
p36-tea-0010,brics-odroid-001_cam0,2,0,,,,
p36-tea-0010,brics-odroid-001_cam1,45,1,8,16,32,
p36-tea-0010,brics-odroid-002_cam0,40,1,8,16,32,
p36-tea-0010,brics-odroid-006_cam0,27,0,8,16,,
p36-tea-0010,brics-odroid-007_cam0,60,1,8,16,32,
p36-tea-0010,brics-odroid-007_cam1,59,1,8,16,32,
p36-tea-0010,brics-odroid-009_cam1,60,1,8,16,32,
p36-tea-0010,brics-odroid-010_cam0,24,0,8,16,,
p36-tea-0010,brics-odroid-010_cam1,28,0,8,16,,
p36-tea-0010,brics-odroid-011_cam0,59,1,8,16,32,
p36-tea-0010,brics-odroid-012_cam0,50,1,8,16,32,
p36-tea-0010,brics-odroid-012_cam1,47,1,8,16,32,
p36-tea-0010,brics-odroid-014_cam1,18,0,8,16,,
p36-tea-0010,brics-odroid-015_cam0,49,1,8,16,32,
p36-tea-0010,brics-odroid-015_cam1,60,1,8,16,32,
p36-tea-0010,brics-odroid-016_cam0,53,1,8,16,32,
p36-tea-0010,brics-odroid-017_cam0,50,1,8,16,32,
p36-tea-0010,brics-odroid-017_cam1,54,1,8,16,32,
p36-tea-0010,brics-odroid-019_cam1,36,1,8,16,32,
p36-tea-0010,brics-odroid-020_cam0,30,0,8,16,,
p36-tea-0010,brics-odroid-020_cam1,30,0,8,16,,
p36-tea-0010,brics-odroid-021_cam0,49,1,8,16,32,
p36-tea-0010,brics-odroid-021_cam1,46,1,8,16,32,
p36-tea-0010,brics-odroid-022_cam0,22,0,8,16,,
p36-tea-0010,brics-odroid-022_cam1,38,1,8,16,32,
p36-tea-0010,brics-odroid-023_cam0,50,1,8,16,32,
p36-tea-0010,brics-odroid-024_cam0,46,1,8,16,32,
p36-tea-0010,brics-odroid-024_cam1,60,1,8,16,32,
p36-tea-0010,brics-odroid-025_cam0,31,0,8,16,,
p36-tea-0010,brics-odroid-025_cam1,60,1,8,16,32,
p36-tea-0010,brics-odroid-026_cam0,16,0,8,16,,
p36-tea-0010,brics-odroid-026_cam1,26,0,8,16,,
p36-tea-0010,brics-odroid-027_cam0,21,0,8,16,,
p36-tea-0010,brics-odroid-027_cam1,3,0,,,,
p36-tea-0010,brics-odroid-028_cam0,13,0,8,,,
p36-tea-0010,brics-odroid-029_cam0,2,0,,,,
p36-tea-0010,brics-odroid-029_cam1,13,0,8,,,
p36-tea-0010,brics-odroid-030_cam0,47,1,8,16,32,
p36-tea-0010,brics-odroid-030_cam1,10,0,8,,,
p41-boxing-0021,brics-odroid-001_cam1,13,0,8,,,
p41-boxing-0021,brics-odroid-002_cam0,8,0,8,,,
p41-boxing-0021,brics-odroid-006_cam0,48,1,8,16,32,
p41-boxing-0021,brics-odroid-007_cam0,64,1,8,16,32,64
p41-boxing-0021,brics-odroid-007_cam1,57,1,8,16,32,
p41-boxing-0021,brics-odroid-008_cam0,18,0,8,16,,
p41-boxing-0021,brics-odroid-009_cam1,62,1,8,16,32,
p41-boxing-0021,brics-odroid-010_cam0,63,1,8,16,32,
p41-boxing-0021,brics-odroid-010_cam1,3,0,,,,
p41-boxing-0021,brics-odroid-011_cam0,61,1,8,16,32,
p41-boxing-0021,brics-odroid-012_cam0,50,1,8,16,32,
p41-boxing-0021,brics-odroid-012_cam1,33,1,8,16,32,
p41-boxing-0021,brics-odroid-014_cam1,35,1,8,16,32,
p41-boxing-0021,brics-odroid-015_cam0,61,1,8,16,32,
p41-boxing-0021,brics-odroid-015_cam1,58,1,8,16,32,
p41-boxing-0021,brics-odroid-016_cam0,51,1,8,16,32,
p41-boxing-0021,brics-odroid-017_cam0,41,1,8,16,32,
p41-boxing-0021,brics-odroid-017_cam1,58,1,8,16,32,
p41-boxing-0021,brics-odroid-019_cam1,36,1,8,16,32,
p41-boxing-0021,brics-odroid-020_cam0,61,1,8,16,32,
p41-boxing-0021,brics-odroid-020_cam1,60,1,8,16,32,
p41-boxing-0021,brics-odroid-021_cam0,52,1,8,16,32,
p41-boxing-0021,brics-odroid-021_cam1,46,1,8,16,32,
p41-boxing-0021,brics-odroid-022_cam0,1,0,,,,
p41-boxing-0021,brics-odroid-023_cam0,54,1,8,16,32,
p41-boxing-0021,brics-odroid-024_cam0,51,1,8,16,32,
p41-boxing-0021,brics-odroid-024_cam1,55,1,8,16,32,
p41-boxing-0021,brics-odroid-025_cam0,56,1,8,16,32,
p41-boxing-0021,brics-odroid-025_cam1,24,0,8,16,,
p41-boxing-0021,brics-odroid-026_cam0,22,0,8,16,,
p41-boxing-0021,brics-odroid-026_cam1,45,1,8,16,32,
p41-boxing-0021,brics-odroid-027_cam0,16,0,8,16,,
p41-boxing-0021,brics-odroid-028_cam0,26,0,8,16,,
p41-boxing-0021,brics-odroid-029_cam0,19,0,8,16,,
p41-boxing-0021,brics-odroid-029_cam1,56,1,8,16,32,
p41-boxing-0021,brics-odroid-030_cam0,62,1,8,16,32,
p41-boxing-0021,brics-odroid-030_cam1,54,1,8,16,32,
p41-plant-0004,brics-odroid-001_cam1,59,1,8,16,32,
p41-plant-0004,brics-odroid-002_cam0,50,1,8,16,32,
p41-plant-0004,brics-odroid-006_cam0,62,1,8,16,32,
p41-plant-0004,brics-odroid-007_cam0,63,1,8,16,32,
p41-plant-0004,brics-odroid-007_cam1,63,1,8,16,32,
p41-plant-0004,brics-odroid-009_cam1,59,1,8,16,32,
p41-plant-0004,brics-odroid-010_cam0,55,1,8,16,32,
p41-plant-0004,brics-odroid-010_cam1,3,0,,,,
p41-plant-0004,brics-odroid-011_cam0,62,1,8,16,32,
p41-plant-0004,brics-odroid-012_cam0,62,1,8,16,32,
p41-plant-0004,brics-odroid-012_cam1,63,1,8,16,32,
p41-plant-0004,brics-odroid-014_cam1,27,0,8,16,,
p41-plant-0004,brics-odroid-015_cam0,7,0,,,,
p41-plant-0004,brics-odroid-015_cam1,54,1,8,16,32,
p41-plant-0004,brics-odroid-016_cam0,58,1,8,16,32,
p41-plant-0004,brics-odroid-017_cam0,54,1,8,16,32,
p41-plant-0004,brics-odroid-017_cam1,52,1,8,16,32,
p41-plant-0004,brics-odroid-019_cam1,27,0,8,16,,
p41-plant-0004,brics-odroid-020_cam0,57,1,8,16,32,
p41-plant-0004,brics-odroid-020_cam1,26,0,8,16,,
p41-plant-0004,brics-odroid-021_cam0,57,1,8,16,32,
p41-plant-0004,brics-odroid-021_cam1,55,1,8,16,32,
p41-plant-0004,brics-odroid-022_cam0,13,0,8,,,
p41-plant-0004,brics-odroid-022_cam1,52,1,8,16,32,
p41-plant-0004,brics-odroid-023_cam0,63,1,8,16,32,
p41-plant-0004,brics-odroid-024_cam0,62,1,8,16,32,
p41-plant-0004,brics-odroid-024_cam1,61,1,8,16,32,
p41-plant-0004,brics-odroid-025_cam0,58,1,8,16,32,
p41-plant-0004,brics-odroid-025_cam1,63,1,8,16,32,
p44-dog-0004,brics-odroid-001_cam1,18,0,8,16,,
p44-dog-0004,brics-odroid-002_cam0,25,0,8,16,,
p44-dog-0004,brics-odroid-006_cam0,64,1,8,16,32,64
p44-dog-0004,brics-odroid-007_cam0,64,1,8,16,32,64
p44-dog-0004,brics-odroid-007_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-008_cam0,14,0,8,,,
p44-dog-0004,brics-odroid-009_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-010_cam0,64,1,8,16,32,64
p44-dog-0004,brics-odroid-011_cam0,64,1,8,16,32,64
p44-dog-0004,brics-odroid-012_cam0,51,1,8,16,32,
p44-dog-0004,brics-odroid-012_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-014_cam1,41,1,8,16,32,
p44-dog-0004,brics-odroid-015_cam1,64,1,8,16,32,64
p44-dog-0004,brics-odroid-016_cam0,56,1,8,16,32,
p44-dog-0004,brics-odroid-017_cam0,51,1,8,16,32,
p44-dog-0004,brics-odroid-017_cam1,41,1,8,16,32,
p44-dog-0004,brics-odroid-019_cam1,9,0,8,,,
p44-dog-0004,brics-odroid-020_cam0,46,1,8,16,32,
p44-dog-0004,brics-odroid-020_cam1,41,1,8,16,32,
