view,L_hand_max_px,hand_preferred_q,boundary,n_hand_observations
p36-tea-0010__brics-odroid-001_cam0,10.866,1.5,1,4
p36-tea-0010__brics-odroid-001_cam1,9.6834,1.1555,0,90
p36-tea-0010__brics-odroid-002_cam0,11.5591,1.3814,0,80
p36-tea-0010__brics-odroid-006_cam0,0.627,0.6144,0,54
p36-tea-0010__brics-odroid-007_cam0,3.2292,1.0072,0,119
p36-tea-0010__brics-odroid-007_cam1,7.1467,1.5,1,111
p36-tea-0010__brics-odroid-009_cam1,3.7686,1.3075,0,115
p36-tea-0010__brics-odroid-010_cam0,3.5812,1.5,1,47
p36-tea-0010__brics-odroid-010_cam1,2.9551,1.3439,0,56
p36-tea-0010__brics-odroid-011_cam0,0.5502,1.4594,0,116
p36-tea-0010__brics-odroid-012_cam0,0.7896,1.2897,0,92
p36-tea-0010__brics-odroid-012_cam1,1.7255,1.1165,0,94
p36-tea-0010__brics-odroid-014_cam1,0.8041,1.0212,0,33
p36-tea-0010__brics-odroid-015_cam0,2.2867,1.2292,0,91
p36-tea-0010__brics-odroid-015_cam1,0.9636,1.3814,0,119
p36-tea-0010__brics-odroid-016_cam0,1.4483,1.132,0,102
p36-tea-0010__brics-odroid-017_cam0,0.5491,0.7497,0,100
p36-tea-0010__brics-odroid-017_cam1,1.2875,1.5,1,107
p36-tea-0010__brics-odroid-019_cam1,2.2472,0.9867,0,72
p36-tea-0010__brics-odroid-020_cam0,2.5712,1.1635,0,36
p36-tea-0010__brics-odroid-020_cam1,1.046,1.0424,0,51
p36-tea-0010__brics-odroid-021_cam0,1.6762,1.0424,0,97
p36-tea-0010__brics-odroid-021_cam1,1.7061,0.7975,0,86
p36-tea-0010__brics-odroid-022_cam0,1.7931,1.5,1,44
p36-tea-0010__brics-odroid-022_cam1,1.4583,1.5,1,76
p36-tea-0010__brics-odroid-023_cam0,0.9615,1.1165,0,100
p36-tea-0010__brics-odroid-024_cam0,1.3595,1.0863,0,91
p36-tea-0010__brics-odroid-024_cam1,3.6458,1.4795,0,108
p36-tea-0010__brics-odroid-025_cam0,0.4857,0.606,0,62
p36-tea-0010__brics-odroid-025_cam1,1.6185,0.9867,0,119
p36-tea-0010__brics-odroid-026_cam0,4.3303,1.3814,0,29
p36-tea-0010__brics-odroid-026_cam1,1.3298,1.4005,0,47
p36-tea-0010__brics-odroid-027_cam0,1.4581,0.878,0,37
p36-tea-0010__brics-odroid-027_cam1,1.7535,0.7497,0,5
p36-tea-0010__brics-odroid-028_cam0,9.5793,0.8963,0,16
p36-tea-0010__brics-odroid-029_cam0,1.1355,1.1013,0,4
p36-tea-0010__brics-odroid-029_cam1,0.6218,0.6358,0,24
p36-tea-0010__brics-odroid-030_cam0,1.7969,1.3625,0,83
p36-tea-0010__brics-odroid-030_cam1,3.1922,1.2292,0,20
p41-boxing-0021__brics-odroid-001_cam1,319.7894,1.0863,0,26
p41-boxing-0021__brics-odroid-002_cam0,371.61,1.0424,0,10
p41-boxing-0021__brics-odroid-006_cam0,1.1595,1.4101,0,94
p41-boxing-0021__brics-odroid-007_cam0,4.8867,1.0641,0,124
p41-boxing-0021__brics-odroid-007_cam1,16.2751,1.4395,0,110
p41-boxing-0021__brics-odroid-008_cam0,11.9952,1.0496,0,25
p41-boxing-0021__brics-odroid-009_cam1,5.3185,1.0641,0,122
p41-boxing-0021__brics-odroid-010_cam0,1.0973,1.0424,0,110
p41-boxing-0021__brics-odroid-010_cam1,5.5748,0.8484,0,6
p41-boxing-0021__brics-odroid-011_cam0,0.5793,1.2124,0,109
p41-boxing-0021__brics-odroid-012_cam0,0.1971,1.0863,0,87
p41-boxing-0021__brics-odroid-012_cam1,1.5114,0.8197,0,58
p41-boxing-0021__brics-odroid-014_cam1,0.3383,0.803,0,61
p41-boxing-0021__brics-odroid-015_cam0,0.7766,1.0072,0,108
p41-boxing-0021__brics-odroid-015_cam1,0.7674,1.2548,0,114
p41-boxing-0021__brics-odroid-016_cam0,2.7395,1.3532,0,95
p41-boxing-0021__brics-odroid-017_cam0,8.6225,1.5,1,81
p41-boxing-0021__brics-odroid-017_cam1,2.4064,1.0788,0,114
p41-boxing-0021__brics-odroid-019_cam1,6.7914,1.0715,0,67
p41-boxing-0021__brics-odroid-020_cam0,0.9611,1.3075,0,108
p41-boxing-0021__brics-odroid-020_cam1,1.3951,0.8963,0,115
p41-boxing-0021__brics-odroid-021_cam0,3.9784,1.5,1,103
p41-boxing-0021__brics-odroid-021_cam1,2.5807,1.0788,0,80
p41-boxing-0021__brics-odroid-022_cam0,2.1415,1.1089,0,2
p41-boxing-0021__brics-odroid-023_cam0,1.12,1.0715,0,105
p41-boxing-0021__brics-odroid-024_cam0,4.293,1.0496,0,98
p41-boxing-0021__brics-odroid-024_cam1,4.1839,1.1877,0,105
p41-boxing-0021__brics-odroid-025_cam0,1.3234,1.5,1,106
p41-boxing-0021__brics-odroid-025_cam1,4.13,1.5,1,46
p41-boxing-0021__brics-odroid-026_cam0,14.0632,1.5,1,42
p41-boxing-0021__brics-odroid-026_cam1,0.3328,0.5658,0,89
p41-boxing-0021__brics-odroid-027_cam0,0.5443,1.4897,1,32
p41-boxing-0021__brics-odroid-028_cam0,14.9799,0.9935,0,45
p41-boxing-0021__brics-odroid-029_cam0,1.7503,0.8542,0,35
p41-boxing-0021__brics-odroid-029_cam1,5.6897,1.2897,0,106
p41-boxing-0021__brics-odroid-030_cam0,0.4659,0.7,0,105
p41-boxing-0021__brics-odroid-030_cam1,1.6875,1.5,1,100
p41-plant-0004__brics-odroid-001_cam1,22.3958,1.4795,0,117
p41-plant-0004__brics-odroid-002_cam0,13.588,1.3909,0,99
p41-plant-0004__brics-odroid-006_cam0,1.6661,1.4395,0,119
p41-plant-0004__brics-odroid-007_cam0,2.991,1.5,1,122
p41-plant-0004__brics-odroid-007_cam1,4.6826,1.2376,0,123
p41-plant-0004__brics-odroid-009_cam1,1.1191,1.4594,0,102
p41-plant-0004__brics-odroid-010_cam0,6.4775,1.5,1,108
p41-plant-0004__brics-odroid-010_cam1,5.7346,1.5,1,6
p41-plant-0004__brics-odroid-011_cam0,0.2709,0.8086,0,120
p41-plant-0004__brics-odroid-012_cam0,0.7298,1.5,1,122
p41-plant-0004__brics-odroid-012_cam1,0.6139,0.6904,0,124
p41-plant-0004__brics-odroid-014_cam1,0.7552,1.4198,0,50
p41-plant-0004__brics-odroid-015_cam0,2.0212,0.6857,0,14
p41-plant-0004__brics-odroid-015_cam1,1.5104,1.4694,0,102
p41-plant-0004__brics-odroid-016_cam0,0.7851,0.9276,0,115
p41-plant-0004__brics-odroid-017_cam0,1.784,1.5,1,107
p41-plant-0004__brics-odroid-017_cam1,1.0024,0.9024,0,103
p41-plant-0004__brics-odroid-019_cam1,3.085,0.8601,0,53
p41-plant-0004__brics-odroid-020_cam0,1.4288,1.0938,0,112
p41-plant-0004__brics-odroid-020_cam1,0.3837,0.5392,0,52
p41-plant-0004__brics-odroid-021_cam0,1.5205,1.2041,0,113
p41-plant-0004__brics-odroid-021_cam1,1.2984,1.1476,0,109
p41-plant-0004__brics-odroid-022_cam0,0.6531,0.5581,0,25
p41-plant-0004__brics-odroid-022_cam1,1.9546,0.8484,0,103
p41-plant-0004__brics-odroid-023_cam0,1.2682,1.2124,0,123
p41-plant-0004__brics-odroid-024_cam0,1.8595,1.5,1,120
p41-plant-0004__brics-odroid-024_cam1,2.2167,1.4897,1,119
p41-plant-0004__brics-odroid-025_cam0,4.3059,1.4694,0,113
p41-plant-0004__brics-odroid-025_cam1,4.4714,1.4101,0,124
p44-dog-0004__brics-odroid-001_cam1,12.941,0.8086,0,20
p44-dog-0004__brics-odroid-002_cam0,7.6863,1.1796,0,42
p44-dog-0004__brics-odroid-006_cam0,0.5069,0.7294,0,112
p44-dog-0004__brics-odroid-007_cam0,2.1177,1.5,1,96
p44-dog-0004__brics-odroid-007_cam1,5.5813,1.5,1,106
p44-dog-0004__brics-odroid-008_cam0,2.319,0.6764,0,27
p44-dog-0004__brics-odroid-009_cam1,2.5731,1.0142,0,98
p44-dog-0004__brics-odroid-010_cam0,0.8106,0.6857,0,120
