protocol,subset,condition,n_views,S0_median_err_pct,S1_median_err_pct,S0_within5,S1_within5,median_paired_gain_pp,gain_ci_lo,gain_ci_hi,relative_reduction_pct,within5_gain_pp,share_views_improved,S1_estimate_cv_pct,reference_cv_pct,S1_tracking_spearman,S0_tracking_spearman,median_lambda
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,151,8.8658,8.6719,0.2252,0.2185,0.0317,0.0116,0.0654,2.1871,-0.67,0.6225,7.979,1.733,0.0966,0.0948,3.0
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,151,8.8658,9.2881,0.2252,0.2119,0.0006,0.0001,0.1341,-4.7632,-1.33,0.5894,8.144,1.733,0.0687,0.0948,10.0
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,151,8.8658,9.0048,0.2252,0.2185,0.0478,-0.017,0.1336,-1.5678,-0.67,0.5894,9.115,1.733,0.0769,0.0948,10.0
LOCO_PHYSICAL_CAMERA,DIVERSE16,S1,106,9.9308,10.1837,0.1604,0.1887,0.0002,0.0,0.0008,-2.5466,2.83,0.5943,7.899,1.709,0.0876,0.0732,3.0
LOCO_PHYSICAL_CAMERA,DIVERSE16,C1,106,9.9308,9.9266,0.1604,0.1981,0.0003,0.0001,0.0019,0.0423,3.77,0.5943,8.386,1.709,0.0629,0.0732,10.0
LOCO_PHYSICAL_CAMERA,DIVERSE16,C2,106,9.9308,8.9994,0.1604,0.1887,0.0893,-0.0287,0.1842,9.3789,2.83,0.5943,9.405,1.709,0.0394,0.0732,10.0
LOCO_PHYSICAL_CAMERA,DIVERSE32,S1,106,9.7402,9.772,0.1887,0.1981,0.0292,0.0003,0.1588,-0.3265,0.94,0.6509,7.846,1.709,0.0581,0.0619,10.0
LOCO_PHYSICAL_CAMERA,DIVERSE32,C1,106,9.7402,10.0304,0.1887,0.1981,0.0002,-0.0001,0.0017,-2.9794,0.94,0.5566,8.141,1.709,0.0793,0.0619,3.0
LOCO_PHYSICAL_CAMERA,DIVERSE32,C2,106,9.7402,8.7683,0.1887,0.1698,0.0654,-0.0279,0.2276,9.9782,-1.89,0.5849,9.581,1.709,0.0473,0.0619,10.0
LOCO_PHYSICAL_CAMERA,LOW16,S1,106,10.0828,10.0595,0.2075,0.2075,0.0844,0.0001,0.1967,0.2311,0.0,0.6038,8.288,1.709,0.0588,0.041,10.0
LOCO_PHYSICAL_CAMERA,LOW16,C1,106,10.0828,10.197,0.2075,0.1792,0.0001,-0.0002,0.0057,-1.1326,-2.83,0.5283,8.295,1.709,0.0384,0.041,3.0
