protocol,subset,condition,fold,held_out,lambda,train_median_err_pct,n_train_views
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,0,brics-odroid-001_cam0,3.0,8.5431,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,0,brics-odroid-001_cam0,10.0,8.7773,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,0,brics-odroid-001_cam0,10.0,8.6041,150
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,1,brics-odroid-001_cam1,3.0,8.5638,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,1,brics-odroid-001_cam1,0.01,8.8667,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,1,brics-odroid-001_cam1,10.0,8.6452,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,2,brics-odroid-002_cam0,10.0,9.1936,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,2,brics-odroid-002_cam0,10.0,9.0363,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,2,brics-odroid-002_cam0,10.0,8.8229,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,3,brics-odroid-006_cam0,3.0,8.6719,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,3,brics-odroid-006_cam0,10.0,8.9131,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,3,brics-odroid-006_cam0,10.0,8.8099,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,4,brics-odroid-007_cam0,3.0,8.9278,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,4,brics-odroid-007_cam0,10.0,9.0363,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,4,brics-odroid-007_cam0,10.0,8.8229,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,5,brics-odroid-007_cam1,3.0,8.6179,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,5,brics-odroid-007_cam1,10.0,8.9239,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,5,brics-odroid-007_cam1,10.0,8.7275,146
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,6,brics-odroid-008_cam0,3.0,8.6719,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,6,brics-odroid-008_cam0,10.0,8.9346,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,6,brics-odroid-008_cam0,10.0,8.8099,149
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,7,brics-odroid-009_cam1,3.0,8.4844,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,7,brics-odroid-009_cam1,10.0,8.4405,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,7,brics-odroid-009_cam1,10.0,8.3643,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,8,brics-odroid-010_cam0,3.0,8.6719,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,8,brics-odroid-010_cam0,10.0,8.9346,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,8,brics-odroid-010_cam0,10.0,8.8099,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,9,brics-odroid-010_cam1,3.0,8.5431,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,9,brics-odroid-010_cam1,10.0,8.7773,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,9,brics-odroid-010_cam1,10.0,8.6041,148
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,10,brics-odroid-011_cam0,3.0,8.5638,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,10,brics-odroid-011_cam0,0.01,8.8667,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,10,brics-odroid-011_cam0,10.0,8.8099,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,11,brics-odroid-012_cam0,3.0,8.5638,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C1,11,brics-odroid-012_cam0,0.01,8.8667,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,C2,11,brics-odroid-012_cam0,10.0,8.6452,147
LOCO_PHYSICAL_CAMERA,ALL_COMMON,S1,12,brics-odroid-012_cam1,3.0,8.6179,146
