sequence,camera,subset,n_frames,frame_hash_scene,frame_hash_fusion,scene_prediction_hash_scene,scene_prediction_hash_fusion,grid_hash_scene,grid_hash_fusion,f_scene_scene,f_scene_fusion,same_frames,same_scene,same_grid,same_scene_nuisance,C3_flat_hand_reproduces_S0,only_hand_term_differs
p36-tea-0010,brics-odroid-001_cam0,ALL_COMMON,2,fa75a4a5d99c1c64655fdbc1daf907c4899cd06ced7842dc9b84504a97a871b1,fa75a4a5d99c1c64655fdbc1daf907c4899cd06ced7842dc9b84504a97a871b1,a418d112041b18dfec03a9a7878927fe4cb81653464246e5af321b6d29e01a42,a418d112041b18dfec03a9a7878927fe4cb81653464246e5af321b6d29e01a42,2f7b480a97aa5d777a9573136b6ca1bdee46e8f65220882a73ce230ea5767f8e,2f7b480a97aa5d777a9573136b6ca1bdee46e8f65220882a73ce230ea5767f8e,782.4989318847656,782.4989318847656,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,ALL_COMMON,45,24d015af26dee75de0b70953d7b44b38564db4c52df95beb1c67cc836c1645d6,24d015af26dee75de0b70953d7b44b38564db4c52df95beb1c67cc836c1645d6,3c48327659b5233657501164ed480c7e2312882be60a49789530b7ebcf74cd3a,3c48327659b5233657501164ed480c7e2312882be60a49789530b7ebcf74cd3a,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,809.0219116210938,809.0219116210938,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,DIVERSE16,16,450f82e53c9b0cfc34950ed7a40ceceff0b5ff715b6392e9dfc9ce89219af7e4,450f82e53c9b0cfc34950ed7a40ceceff0b5ff715b6392e9dfc9ce89219af7e4,0817cb75863b287dd9ac10e7e9ac4e67a6b95123a3023857b6e2ac17f658f48a,0817cb75863b287dd9ac10e7e9ac4e67a6b95123a3023857b6e2ac17f658f48a,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,810.5741577148438,810.5741577148438,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,DIVERSE32,32,c818e93986cc9ebb75b04a3db3113a1d09b75423e468f8c1f6f7679322017795,c818e93986cc9ebb75b04a3db3113a1d09b75423e468f8c1f6f7679322017795,f3a7ccaa59d57787c2e659d74bdb639a9b1a0a5bdb5b2bda7207e998cb12add6,f3a7ccaa59d57787c2e659d74bdb639a9b1a0a5bdb5b2bda7207e998cb12add6,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,811.2046508789062,811.2046508789062,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,LOW16,16,449a5216d006bcd8fa8c7781424cfb0439348269bfacb0be93a08c7b417bcf44,449a5216d006bcd8fa8c7781424cfb0439348269bfacb0be93a08c7b417bcf44,4e7e49e6aa367e7514ab2e121e8fe5f6e53eb592a6c123c709612153d35c43da,4e7e49e6aa367e7514ab2e121e8fe5f6e53eb592a6c123c709612153d35c43da,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,796.6028137207031,796.6028137207031,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,LOW32,32,012b768480adfb152b2bf54a76c1461e6594b39c152e324b2c67aaf8e0952833,012b768480adfb152b2bf54a76c1461e6594b39c152e324b2c67aaf8e0952833,eb58cf992aeff2c66d2987b61d06844af484a5d44bc087c3b3630273c80ef63d,eb58cf992aeff2c66d2987b61d06844af484a5d44bc087c3b3630273c80ef63d,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,804.5909423828125,804.5909423828125,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,N16,16,96825b630f45e361e8fd079837696cd32534b342177c893f04270d092d09b89b,96825b630f45e361e8fd079837696cd32534b342177c893f04270d092d09b89b,86e38635c7b914f7085db17998b58cf76663e468a5800c3aa2665178c7c6652d,86e38635c7b914f7085db17998b58cf76663e468a5800c3aa2665178c7c6652d,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,810.9009399414062,810.9009399414062,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,N32,32,4bb2242f39495c74c473263a04e2dbb43a80802ee945e1e3c3c56e0a5f6084bb,4bb2242f39495c74c473263a04e2dbb43a80802ee945e1e3c3c56e0a5f6084bb,800bef1893ed2c52f4e3c27ff2468fe9a0908f3ca11fcb3052ea1db02e037093,800bef1893ed2c52f4e3c27ff2468fe9a0908f3ca11fcb3052ea1db02e037093,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,807.9064331054688,807.9064331054688,1,1,1,1,1,1
p36-tea-0010,brics-odroid-001_cam1,N8,8,02d5c605d216f3ccd40b265dd2eb957e741acd82e376ff7a60af2a9d70aabdfd,02d5c605d216f3ccd40b265dd2eb957e741acd82e376ff7a60af2a9d70aabdfd,95053cb4370b54c76e1f188a8137ba1feda3481c7cbebb22f095f0155a06a4e5,95053cb4370b54c76e1f188a8137ba1feda3481c7cbebb22f095f0155a06a4e5,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,bbc1733caf7012533b14f5f6d4eeb64f797841351db217e8f8a6de6ffe637b6e,808.73486328125,808.73486328125,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,ALL_COMMON,40,4fe172329ea8ceadfd7949bf4068b2a61e863326c595d52ed7202dc1cb0e2c9d,4fe172329ea8ceadfd7949bf4068b2a61e863326c595d52ed7202dc1cb0e2c9d,cd57e79bbf9a5f8ffccc1836f4c1f07f99b88e9bba5ccadcc4ee1a7a20567bac,cd57e79bbf9a5f8ffccc1836f4c1f07f99b88e9bba5ccadcc4ee1a7a20567bac,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,877.6285705566406,877.6285705566406,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,DIVERSE16,16,b9139c9ca51509d56f25e614673f0742ac90dfc3ad742e3ae1013ac273d1122b,b9139c9ca51509d56f25e614673f0742ac90dfc3ad742e3ae1013ac273d1122b,a23d0eb3cbe3decc08fe51b484b0d9764dad7c42c3e5fb0ea786bfc67a997304,a23d0eb3cbe3decc08fe51b484b0d9764dad7c42c3e5fb0ea786bfc67a997304,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,883.7166748046875,883.7166748046875,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,DIVERSE32,32,42dee5e6fda5646fe5c41c7e4369ed2ab2bdf907b48bd865ca117793bd64778b,42dee5e6fda5646fe5c41c7e4369ed2ab2bdf907b48bd865ca117793bd64778b,9b9263ed4add46bd21470c80a5d1345d059db875b6b63259ecaffb1987d958f4,9b9263ed4add46bd21470c80a5d1345d059db875b6b63259ecaffb1987d958f4,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,882.2941589355469,882.2941589355469,1,1,1,1,1,1
p36-tea-0010,brics-odroid-002_cam0,LOW16,16,720a9695cb5a8931edb86505bda9a698c2a766840173a533d156a6f3f4c06944,720a9695cb5a8931edb86505bda9a698c2a766840173a533d156a6f3f4c06944,dd7e0e5028b12c666e0d433556eeb446c7c174d3b6db8cec8e343c944f009ebf,dd7e0e5028b12c666e0d433556eeb446c7c174d3b6db8cec8e343c944f009ebf,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,b07acb88da033d3fa972e5bc08d94e16ad73d9cac8f922a1e65d109df7910045,872.5909423828125,872.5909423828125,1,1,1,1,1,1
