condition,n_trials,fitreproj_median_recovered_q,fitreproj_median_focal_err_pct,fitreproj_within_5pct,fitreproj_boundary_rate,heldreproj_median_recovered_q,heldreproj_median_focal_err_pct,heldreproj_within_5pct,heldreproj_boundary_rate,bilat_median_recovered_q,bilat_median_focal_err_pct,bilat_within_5pct,bilat_boundary_rate,bilat_wrongcorr_median_recovered_q,bilat_wrongcorr_median_focal_err_pct,bilat_wrongcorr_within_5pct,bilat_wrongcorr_boundary_rate,bilat_swap_median_recovered_q,bilat_swap_median_focal_err_pct,bilat_swap_within_5pct,bilat_swap_boundary_rate,bilat_fixed_median_recovered_q,bilat_fixed_median_focal_err_pct,bilat_fixed_within_5pct,bilat_fixed_boundary_rate,bilat_fixed_range_median,bilat_rel_dynamic_range
DIST_2x,20,1.5,50.0,0.0,0.9,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.9,1.0107,7.145,0.4,0.0,1.5,50.0,0.0,0.9,0.5,50.0,0.0,1.0,0.0,3.2271
DIST_4x,20,1.5,50.0,0.0,0.85,1.5,50.0,0.0,0.7,1.5,50.0,0.0,0.95,0.6337,36.635,0.0,0.15,1.5,50.0,0.05,0.8,0.5,50.0,0.0,1.0,0.0,2.7987
DIST_8x,20,1.5,50.0,0.0,0.85,1.5,50.0,0.0,0.9,1.5,50.0,0.0,0.95,0.5,50.0,0.0,0.55,1.5,50.0,0.0,0.9,0.5,50.0,0.0,1.0,0.0,2.0191
DIST_16x,20,1.5,50.0,0.0,1.0,1.5,50.0,0.0,0.95,1.5,50.0,0.0,0.95,0.5,50.0,0.0,0.8,1.5,50.0,0.0,0.95,0.5,50.0,0.0,1.0,0.0,2.2928
DIST_32x,20,1.5,50.0,0.0,1.0,1.5,50.0,0.0,1.0,1.5,50.0,0.0,1.0,0.9087,40.019,0.05,0.4,1.5,50.0,0.0,0.95,0.5,50.0,0.0,1.0,0.0,2.587
ASYM_0.0,20,1.5,50.0,0.0,0.65,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.95,0.6627,33.729,0.0,0.15,1.5,50.0,0.05,0.65,0.5,50.0,0.0,1.0,0.0,3.1958
ASYM_0.01,20,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.95,1.5,50.0,0.0,1.0,0.6741,32.592,0.0,0.05,1.5,50.0,0.0,0.95,0.5,50.0,0.0,1.0,0.0,3.4872
ASYM_0.02,20,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.65,1.5,50.0,0.0,0.9,0.6469,35.307,0.0,0.1,1.5,50.0,0.0,0.8,0.5,50.0,0.0,1.0,0.0,2.8316
ASYM_0.05,20,1.5,50.0,0.0,0.85,1.5,50.0,0.0,0.8,1.5,50.0,0.0,1.0,0.6424,35.758,0.0,0.05,1.5,50.0,0.0,0.85,0.5,50.0,0.0,1.0,0.0,2.785
NOISE_0.0px,20,1.5,50.0,0.0,0.9,1.5,50.0,0.0,0.75,1.5,50.0,0.0,1.0,0.6515,34.852,0.05,0.0,1.5,50.0,0.05,0.75,0.5,50.0,0.0,1.0,0.0,3.3239
NOISE_0.5px,20,1.5,50.0,0.0,0.8,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.95,0.6123,38.773,0.0,0.15,1.5,50.0,0.0,0.65,0.5,50.0,0.0,1.0,0.0,2.9026
NOISE_1.0px,20,1.5,50.0,0.0,0.85,1.5,50.0,0.0,0.8,1.5,50.0,0.0,0.95,0.6123,38.773,0.0,0.2,1.5,50.0,0.0,1.0,0.5,50.0,0.0,1.0,0.0,3.1586
NOISE_2.0px,20,1.4897,48.974,0.0,0.45,1.5,50.0,0.0,0.7,1.5,50.0,0.0,0.95,0.6102,38.983,0.0,0.1,1.5,50.0,0.0,0.9,0.5,50.0,0.0,1.0,0.0,2.9508
NOISE_4.0px,20,1.5,50.0,0.0,0.65,1.5,50.0,0.0,0.65,1.5,50.0,0.0,0.95,0.5936,40.635,0.0,0.05,1.5,50.0,0.05,0.75,0.5,50.0,0.0,1.0,0.0,2.7593
POSE_LOW,20,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.85,1.5,50.0,0.0,0.8,0.7122,28.779,0.0,0.0,1.5,50.0,0.0,0.75,0.5,50.0,0.0,1.0,0.0,3.2777
POSE_MEDIUM,20,1.5,50.0,0.0,0.8,1.5,50.0,0.0,0.75,1.5,50.0,0.0,0.95,0.598,40.205,0.0,0.1,1.5,50.0,0.0,0.9,0.5,50.0,0.0,1.0,0.0,2.8539
POSE_HIGH,20,1.5,50.0,0.0,0.7,1.5,50.0,0.0,0.8,1.5,50.0,0.0,0.9,0.5283,47.172,0.0,0.4,1.5,50.0,0.0,0.85,0.5,50.0,0.0,1.0,0.0,2.4329
