frame,time_sec,hand,legacy_root_z_m,anycalib_root_z_m,e2_root_z_m
0,0.0,Left,0.957529,0.191722,0.217029
0,0.0,Right,2.122291,0.418866,0.475158
1,0.033,Left,0.972643,0.194669,0.220378
1,0.033,Right,2.084137,0.411426,0.466703
2,0.067,Left,0.991554,0.198357,0.224569
2,0.067,Right,2.169719,0.428116,0.48567
3,0.1,Left,0.989028,0.197863,0.224009
3,0.1,Right,2.203773,0.434756,0.493216
4,0.133,Left,0.982817,0.196653,0.222633
4,0.133,Right,2.180308,0.430181,0.488017
5,0.167,Left,0.983063,0.196701,0.222688
5,0.167,Right,2.225307,0.438954,0.497987
6,0.2,Left,0.979334,0.195974,0.221862
6,0.2,Right,2.138901,0.422103,0.478838
7,0.233,Left,0.986677,0.197405,0.223488
7,0.233,Right,2.17522,0.429188,0.486888
8,0.267,Left,0.987712,0.197608,0.223718
8,0.267,Right,2.211185,0.436201,0.494859
9,0.3,Left,0.994753,0.198982,0.225279
9,0.3,Right,2.16267,0.426741,0.484108
10,0.333,Left,0.984924,0.197064,0.2231
10,0.333,Right,2.177007,0.429536,0.487285
11,0.367,Left,1.000401,0.200082,0.22653
11,0.367,Right,2.125918,0.41957,0.475959
12,0.4,Left,1.001734,0.200342,0.226825
12,0.4,Right,2.100592,0.414634,0.470349
13,0.433,Left,0.991686,0.198382,0.224598
13,0.433,Right,2.14329,0.422958,0.47981
14,0.467,Left,0.989348,0.197925,0.224079
14,0.467,Right,2.087904,0.412156,0.467534
15,0.5,Left,0.989498,0.197956,0.224114
15,0.5,Right,2.14663,0.423608,0.480549
16,0.533,Left,0.987124,0.197491,0.223586
16,0.533,Right,2.090075,0.412581,0.468016
17,0.567,Left,0.977343,0.195585,0.221419
17,0.567,Right,2.082951,0.411192,0.466438
18,0.6,Left,0.975767,0.195278,0.22107
18,0.6,Right,2.049109,0.404592,0.458938
19,0.633,Left,0.973794,0.194892,0.220632
19,0.633,Right,2.010869,0.397136,0.450465
20,0.667,Left,0.96551,0.193278,0.218798
20,0.667,Right,1.977434,0.390614,0.443053
21,0.7,Left,0.945425,0.189362,0.214348
21,0.7,Right,1.933366,0.38202,0.433287
22,0.733,Left,0.948745,0.190008,0.215082
22,0.733,Right,1.929876,0.381339,0.432513
23,0.767,Left,0.946548,0.189579,0.214595
23,0.767,Right,1.829424,0.361745,0.410247
24,0.8,Left,0.941894,0.188672,0.213564
24,0.8,Right,1.880959,0.371794,0.421667
25,0.833,Left,0.927853,0.185934,0.210452
25,0.833,Right,1.803684,0.356725,0.404542
26,0.867,Left,0.919832,0.184369,0.208674
26,0.867,Right,1.904452,0.376376,0.426874
27,0.9,Left,0.895829,0.17969,0.203356
27,0.9,Right,1.85707,0.367137,0.416375
28,0.933,Left,0.884585,0.177498,0.200865
28,0.933,Right,1.939399,0.383191,0.434619
29,0.967,Left,0.884414,0.177465,0.200827
29,0.967,Right,1.777516,0.351622,0.398743
30,1.0,Left,0.890557,0.178663,0.202189
30,1.0,Right,1.804014,0.356791,0.404616
31,1.033,Left,0.886822,0.177936,0.201363
31,1.033,Right,1.809172,0.357797,0.40576
32,1.067,Left,0.875521,0.175731,0.198857
32,1.067,Right,1.819993,0.359908,0.408159
33,1.1,Left,0.867649,0.174195,0.197111
33,1.1,Right,1.79529,0.355089,0.402683
34,1.133,Left,0.861423,0.172981,0.195732
34,1.133,Right,1.78364,0.352817,0.400101
35,1.167,Left,0.858431,0.172398,0.195069
35,1.167,Right,1.754934,0.347219,0.393739
36,1.2,Left,0.85756,0.172228,0.194876
36,1.2,Right,1.731696,0.342688,0.38859
37,1.233,Left,0.848596,0.17048,0.192889
37,1.233,Right,1.705915,0.337663,0.382879
38,1.267,Left,0.852444,0.17123,0.193742
38,1.267,Right,1.721937,0.340785,0.386427
39,1.3,Left,0.871685,0.174985,0.198008
39,1.3,Right,1.747572,0.345783,0.392107
40,1.333,Left,0.885857,0.177748,0.201149
40,1.333,Right,1.866704,0.369018,0.418511
41,1.367,Left,0.886546,0.177881,0.2013
41,1.367,Right,1.901271,0.37576,0.426173
42,1.4,Left,0.892022,0.178948,0.202513
42,1.4,Right,1.938916,0.383101,0.434516
43,1.433,Left,0.895862,0.179697,0.203364
43,1.433,Right,1.951429,0.385541,0.437289
44,1.467,Left,0.904045,0.181293,0.205178
44,1.467,Right,1.808015,0.357572,0.405505
45,1.5,Left,0.895688,0.179664,0.203326
45,1.5,Right,1.621722,0.321245,0.364222
46,1.533,Left,0.888771,0.178315,0.201793
46,1.533,Right,1.602252,0.317447,0.359905
47,1.567,Left,0.898803,0.180272,0.204017
47,1.567,Right,1.623029,0.321501,0.364512
48,1.6,Left,0.900305,0.180565,0.20435
48,1.6,Right,1.650818,0.326919,0.370669
49,1.633,Left,0.903682,0.181223,0.205097
49,1.633,Right,1.640142,0.324837,0.368304
50,1.667,Left,0.903369,0.181161,0.205028
50,1.667,Right,1.637048,0.324234,0.367618
51,1.7,Left,0.911216,0.182692,0.206767
51,1.7,Right,1.742607,0.344818,0.39101
52,1.733,Left,0.908919,0.182245,0.206259
52,1.733,Right,1.628051,0.322479,0.365624
53,1.767,Left,0.903244,0.181137,0.205
53,1.767,Right,1.719372,0.340288,0.385862
54,1.8,Left,0.907611,0.18199,0.205969
54,1.8,Right,1.706239,0.337726,0.382951
55,1.833,Left,0.903568,0.181201,0.205073
55,1.833,Right,1.670861,0.330828,0.375112
56,1.867,Left,0.902698,0.181032,0.20488
56,1.867,Right,1.652694,0.327284,0.371085
57,1.9,Left,0.910795,0.18261,0.206674
57,1.9,Right,1.630398,0.322934,0.366141
58,1.933,Left,0.903714,0.18123,0.205106
58,1.933,Right,1.629437,0.322747,0.365929
59,1.967,Left,0.918296,0.184073,0.208336
59,1.967,Right,1.6147,0.319873,0.362663
60,2.0,Left,0.916438,0.183712,0.207926
60,2.0,Right,1.58383,0.313853,0.355821
61,2.033,Left,0.917905,0.183998,0.208251
61,2.033,Right,1.63281,0.323405,0.366676
62,2.067,Left,0.921649,0.184728,0.20908
62,2.067,Right,1.649753,0.326707,0.37043
63,2.1,Left,0.919544,0.184317,0.208614
63,2.1,Right,1.643184,0.325426,0.368974
64,2.133,Left,0.920254,0.184456,0.208771
64,2.133,Right,1.665095,0.329699,0.37383
65,2.167,Left,0.925958,0.185569,0.210036
65,2.167,Right,1.649536,0.326664,0.37038
66,2.2,Left,0.927969,0.18596,0.210481
66,2.2,Right,1.685289,0.333637,0.378305
67,2.233,Left,0.922645,0.184923,0.209302
67,2.233,Right,1.656142,0.327953,0.371846
68,2.267,Left,0.925559,0.18549,0.209947
68,2.267,Right,1.684697,0.333521,0.378173
69,2.3,Left,0.925364,0.185452,0.209904
69,2.3,Right,1.688001,0.334166,0.378906
70,2.333,Left,0.930843,0.186521,0.211119
70,2.333,Right,1.647732,0.326315,0.369984
71,2.367,Left,0.930212,0.186399,0.210979
71,2.367,Right,1.653832,0.327504,0.371334
72,2.4,Left,0.932065,0.18676,0.21139
72,2.4,Right,1.648812,0.326525,0.370222
73,2.433,Left,0.929399,0.18624,0.210799
73,2.433,Right,1.630216,0.322899,0.366101
74,2.467,Left,0.927226,0.185816,0.210317
74,2.467,Right,1.66387,0.329461,0.373558
75,2.5,Left,0.932908,0.186924,0.211576
75,2.5,Right,1.65692,0.328106,0.372019
76,2.533,Left,0.933008,0.186944,0.211598
76,2.533,Right,1.668371,0.330339,0.374556
77,2.567,Left,0.93478,0.187289,0.211991
77,2.567,Right,1.735289,0.343388,0.389386
78,2.6,Left,0.931881,0.186723,0.211348
78,2.6,Right,1.734957,0.343323,0.389312
79,2.633,Left,0.929029,0.186168,0.210717
79,2.633,Right,1.692863,0.335115,0.379984
80,2.667,Left,0.927656,0.1859,0.210412
80,2.667,Right,1.751399,0.34653,0.392957
81,2.7,Left,0.927637,0.185896,0.210408
81,2.7,Right,1.746461,0.345567,0.391862
82,2.733,Left,0.926493,0.185673,0.210155
82,2.733,Right,1.718406,0.340096,0.385645
83,2.767,Left,0.923368,0.185064,0.209463
83,2.767,Right,1.743244,0.344941,0.39115
84,2.8,Left,0.932005,0.186748,0.211376
84,2.8,Right,1.67421,0.331479,0.375852
85,2.833,Left,0.931201,0.186591,0.211198
85,2.833,Right,1.648523,0.32647,0.370159
86,2.867,Left,0.924716,0.185327,0.209761
86,2.867,Right,1.697912,0.3361,0.381103
87,2.9,Left,0.922431,0.184881,0.209254
87,2.9,Right,1.617945,0.320504,0.36338
88,2.933,Left,0.923004,0.184993,0.209382
88,2.933,Right,1.63421,0.323676,0.366984
89,2.967,Left,0.922453,0.184885,0.209259
89,2.967,Right,1.628544,0.32257,0.365728
90,3.0,Left,0.918437,0.184103,0.20837
90,3.0,Right,1.646669,0.326106,0.369746
91,3.033,Left,0.915942,0.183616,0.207817
91,3.033,Right,1.640283,0.324861,0.368331
92,3.067,Left,0.917595,0.183939,0.208183
92,3.067,Right,1.622651,0.321422,0.364423
93,3.1,Left,0.917893,0.183997,0.208249
93,3.1,Right,1.639311,0.324671,0.368115
94,3.133,Left,0.922397,0.184874,0.209247
94,3.133,Right,1.620767,0.321054,0.364005
95,3.167,Left,0.923054,0.185002,0.209392
95,3.167,Right,1.639769,0.32476,0.368217
96,3.2,Left,0.92202,0.1848,0.209163
96,3.2,Right,1.622909,0.321471,0.36448
97,3.233,Left,0.922715,0.184935,0.209317
97,3.233,Right,1.635527,0.323932,0.367276
98,3.267,Left,0.919924,0.184391,0.208698
98,3.267,Right,1.625636,0.322004,0.365084
99,3.3,Left,0.917903,0.183998,0.208251
99,3.3,Right,1.60523,0.318024,0.360562
100,3.333,Left,0.922684,0.184931,0.209311
100,3.333,Right,1.614975,0.319923,0.362721
101,3.367,Left,0.925763,0.185531,0.209993
101,3.367,Right,1.607544,0.318475,0.361074
102,3.4,Left,0.926932,0.185759,0.210252
102,3.4,Right,1.630132,0.322879,0.36608
103,3.433,Left,0.927099,0.185793,0.21029
103,3.433,Right,1.638475,0.324507,0.367929
104,3.467,Left,0.936433,0.187613,0.212359
104,3.467,Right,1.63058,0.322967,0.366179
105,3.5,Left,0.939074,0.188127,0.212943
105,3.5,Right,1.629392,0.322736,0.365916
106,3.533,Left,0.934449,0.187225,0.211918
106,3.533,Right,1.631734,0.323193,0.366436
107,3.567,Left,0.943361,0.188963,0.213893
107,3.567,Right,1.663004,0.329292,0.373367
108,3.6,Left,0.931175,0.186587,0.211193
108,3.6,Right,1.64305,0.325401,0.368945
109,3.633,Left,0.931533,0.186656,0.211272
109,3.633,Right,1.60198,0.31739,0.359841
110,3.667,Left,0.944656,0.189215,0.21418
110,3.667,Right,1.627441,0.322355,0.365483
111,3.7,Left,0.944532,0.189191,0.214153
111,3.7,Right,1.597005,0.31642,0.358739
112,3.733,Left,0.943735,0.189036,0.213976
112,3.733,Right,1.617298,0.320377,0.363236
113,3.767,Left,0.944008,0.189089,0.214037
113,3.767,Right,1.607552,0.318477,0.361076
114,3.8,Left,0.944229,0.189132,0.214086
114,3.8,Right,1.62564,0.322003,0.365084
115,3.833,Left,0.948984,0.190059,0.215139
115,3.833,Right,1.643773,0.325539,0.369102
116,3.867,Left,0.950184,0.190293,0.215405
116,3.867,Right,1.658669,0.328444,0.372404
117,3.9,Left,0.941891,0.188677,0.213568
117,3.9,Right,1.669024,0.330464,0.374699
118,3.933,Left,0.953797,0.190999,0.216207
118,3.933,Right,1.615537,0.320033,0.362845
119,3.967,Left,0.965283,0.193238,0.218751
119,3.967,Right,1.667135,0.330096,0.374281
120,4.0,Left,0.970148,0.194187,0.219829
120,4.0,Right,1.68613,0.3338,0.37849
121,4.033,Left,0.976456,0.195417,0.221227
121,4.033,Right,1.683642,0.333314,0.377938
122,4.067,Left,0.966995,0.193571,0.219131
122,4.067,Right,1.671234,0.330895,0.375189
123,4.1,Left,0.970855,0.194323,0.219985
123,4.1,Right,1.649536,0.326664,0.37038
124,4.133,Left,0.964578,0.193097,0.218592
124,4.133,Right,1.67917,0.332443,0.376948
125,4.167,Left,0.97194,0.194531,0.220222
125,4.167,Right,1.664081,0.3295,0.373603
126,4.2,Left,0.966458,0.19346,0.219005
126,4.2,Right,1.630465,0.322942,0.366152
127,4.233,Left,0.975839,0.195292,0.221086
127,4.233,Right,1.63789,0.32439,0.367797
128,4.267,Left,1.002369,0.200472,0.226972
128,4.267,Right,1.711809,0.338807,0.38418
129,4.3,Left,1.010077,0.201975,0.22868
129,4.3,Right,1.715816,0.339591,0.38507
130,4.333,Left,1.008327,0.201634,0.228292
130,4.333,Right,1.738412,0.343997,0.390078
131,4.367,Left,0.997106,0.199445,0.225805
131,4.367,Right,1.697759,0.336069,0.381068
132,4.4,Left,0.996615,0.19935,0.225697
132,4.4,Right,1.686706,0.333913,0.378618
133,4.433,Left,0.983333,0.196759,0.222753
133,4.433,Right,1.699988,0.336503,0.381562
134,4.467,Left,0.980441,0.196194,0.222111
134,4.467,Right,1.696479,0.33582,0.380785
135,4.5,Left,0.99283,0.198609,0.224855
135,4.5,Right,1.636784,0.324179,0.367556
136,4.533,Left,0.970775,0.194309,0.219969
136,4.533,Right,1.674386,0.331509,0.375887
137,4.567,Left,0.974499,0.195036,0.220795
137,4.567,Right,1.643262,0.32544,0.36899
138,4.6,Left,0.98586,0.197253,0.223314
138,4.6,Right,1.651244,0.326997,0.370758
139,4.633,Left,0.987266,0.197528,0.223626
